,Unnamed: 0,CandidateId,CandidateNo,FirstName,LastName,PartyName,PartyNumber,Title,Votable,province_id,province_name,zone_number,PartyTerminated,Age,Occupation,HighestEducation,ImageFileId,SelfIntroduceFileId
0,0,82547da2-ee9e-4e55-a9e0-9aa414956075,1,ไกรสีห์,รัตนเศียร,ชาติพัฒนา,45,นาย,True,23,ตราด,1,False,61,ทำสวน,ปริญญาโท,5c57e022fbcb5f1eec0e1e9d,5c5d0de4fbcb5f0fd884e50e
1,1,f5a5be93-b2d7-44d9-beea-415d20ef30e2,2,พัชรี,มนัสสนิท,เพื่อชาติ,149,นางสาว,True,23,ตราด,1,False,28,ครูอัตราจ้าง,ปริญญาโท,5c57e074fbcb5f1eec0e2028,5c5d1868fbcb5f0fd8850f43
2,2,01a27143-b760-4056-aa16-1e18d1c1ff2a,3,ธีระ,สลักเพชร,ประชาธิปัตย์,1,นาย,True,23,ตราด,1,False,61,นักการเมือง,ปริญญาโท,5c57e27efbcb5f1eec0e2c79,5c5d1b7bfbcb5f0fd8851d90
3,3,54ec3055-4d4a-4be9-a9a7-b9384a4e0914,4,วุฒิกร,โลหะคุปต์,พลังประชารัฐ,192,นาย,True,23,ตราด,1,False,50,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,5c57e9bdfbcb5f1eec0e6a6c,5c5d2447fbcb5f0fd8855f70
4,4,0a6f15ea-6d3c-4f03-aeac-a82a5af8bbe0,5,ไสว,ชัยบุญเรือง,ประชานิยม,191,นาย,True,23,ตราด,1,False,60,พนักงานรัฐวิสาหกิจ (การไฟฟ้าส่วนภูมิภาค),ปริญญาโท,5c57ed0cfbcb5f1eec0e852a,5c5d2641fbcb5f0fd8856f6e
5,5,bd9dc5c9-43e0-4e8f-a414-d8c650e0fe50,6,สัมภาษณ์ ,อัศวภูมิ,พลังท้องถิ่นไท,124,นาย,True,23,ตราด,1,False,54,ทำสวน,ต่ำกว่าปริญญาตรี,5c57ee94fbcb5f1eec0e957b,5c5d2922fbcb5f0fd885883d
6,6,396a5ee3-0eb2-43ec-bda4-1affc8d67cbc,7,วศิน,พงษ์ศิริ,ภูมิใจไทย,63,นาย,True,23,ตราด,1,False,48,ผู้บริหารบริษัทเอกชน,ปริญญาตรี,5c57f106fbcb5f1eec0eac1d,5c5d2ac9fbcb5f0fd8859636
7,7,985bd88b-c068-409c-a47f-742c8e003e01,8,ทินวัฒน์,เจียมอุย,ไทยรักษาชาติ,77,นาย,True,23,ตราด,1,True,54,ธุรกิจส่วนตัว,ปริญญาตรี,5c580188fbcb5f1eec0f70c7,5c5d2e17fbcb5f0fd885b30e
8,8,f3bad92c-ccea-4112-8283-2563766e1466,9,ศักดินัย,นุ่มหนู,อนาคตใหม่,177,นาย,True,23,ตราด,1,False,53,ธุรกิจจำหน่ายแป้งขนมจีน,ต่ำกว่าปริญญาตรี,5c5801b3fbcb5f1eec0f7418,5c5d31f9fbcb5f0fd885d322
9,9,100fb50f-f317-4e67-8169-7d79c7ee9ec7,10,สุรศักดิ์,รมยานนท์,ประชาชาติ,187,พล.ต.ต.,True,23,ตราด,1,False,64,รับราชการตำรวจ,ปริญญาโท,5c5801e0fbcb5f1eec0f7739,5c5d3e98fbcb5f0fd8863e4c
10,10,5815369f-48aa-47a2-8ba0-cd878af0a55e,11,เอกอรุณ,มีวรรณ,ทางเลือกใหม่,170,นาย,True,23,ตราด,1,False,42,เจ้าของกิจการร้านเเว่นตา,ต่ำกว่าปริญญาตรี,5c58020dfbcb5f1eec0f7a74,5c5d43a4fbcb5f0fd886739f
