idx,province,zone,title,name,surname,no.,party,manual edited
1,กระบี่,1,นาย,แสงชัย,วสุนธรา,2,พลังประชารัฐ,
2,กระบี่,1,นาย,สมพร,จันทร์อ่อน,3,ไทยรักษาชาติ,
3,กระบี่,1,นาย,สมคิด,แซ่ฮ่อ,4,ประชาธิปไตยใหม่,
4,กระบี่,1,นาย,วศิน,สิริเกียรติกุล,5,เสรีรวมไทย,
5,กระบี่,1,นาย,จุรุพงค์,โชคไพศาล,6,ชาติพัฒนา,
6,กระบี่,1,นาย,ไชยา,ดำดี,7,ชาติไทยพัฒนา,
7,กระบี่,1,นาง,วิชญาดา,บุญฤทธิ์,8,แทนคุณแผ่นดิน,
8,กระบี่,1,ร.ต.อ.,นิตินัย,พรหมเจริญ,9,พลังธรรมใหม่,
9,กระบี่,1,นาย,จักรพรรดิ,สุคนธกนิษฐ,11,รวมพลังประชาชาติไทย,
10,กระบี่,1,พ.ต.ท.,สมมาตร,เกลี้ยงสิน,12,ประชานิยม,
11,กระบี่,1,นาย,สุทัศ,แก้วแสวง,13,พลังท้องถิ่นไท,
12,กระบี่,1,นาง,วาสนา,แซ่ฉั่ว,14,พลังชาติไทย,
13,กระบี่,1,นาย,ยุทธนา,อ่าวลึกน้อย,15,อนาคตใหม่,
14,กระบี่,1,นาย,ทวีเกียรติ,ใจดี,16,ประชาชาติ,
15,กระบี่,1,นาย,ไพบูลย์,เกกินะ,17,เพื่อชาติ,
16,กระบี่,1,นาย,สาคร,เกี่ยวข้อง,18,ประชาธิปัตย์,
17,กระบี่,1,นาย,สมใจ,นวลนุ่น,19,รักษ์ผืนป่าประเทศไทย,
18,กระบี่,1,นาย,รุ่งโรจน์,ศรีนวลละออง,20,ครูไทยเพื่อประชาชน,
19,กระบี่,2,นาย,สมัชชา,เอ่งฉ้วน,1,พลังประชารัฐ,
20,กระบี่,2,นาย,สฤษฏ์พงษ์,เกี่ยวข้อง,3,ภูมิใจไทย,
21,กระบี่,2,นาย,นุกูล,จินดาวงษ์,4,พลังธรรมใหม่,
22,กระบี่,2,นาย,สวัสดิ์,พยายาม,5,ประชาชาติ,
23,กระบี่,2,นางสาว,กมลชนก,ราชไมตรี,6,รักษ์ผืนป่าประเทศไทย,
24,กระบี่,2,นาย,สถาปนา,ดวงน้ำแก้ว,7,เสรีรวมไทย,
25,กระบี่,2,ว่าที่พันตรี,เจ๊ะห้าสัน,ยะลา,8,ชาติพัฒนา,
26,กระบี่,2,นาย,ภิญโญ,สายนุ้ย,9,ครูไทยเพื่อประชาชน,
27,กระบี่,2,นาย,ร้อหมาด,คลองมดคัน,10,ประชานิยม,
28,กระบี่,2,นาย,ประพันธ์,แก้วทอง,11,อนาคตใหม่,
29,กระบี่,2,นาย,อริษฎ์พล,เอกธนากุลพัชร,12,แทนคุณแผ่นดิน,
30,กระบี่,2,นาย,สุชีน,เอ่งฉ้วน,13,ประชาธิปัตย์,
31,กระบี่,2,นาย,ประหยัด,สายนุ้ย,14,ชาติไทยพัฒนา,
