name,desc,image,PartyName,memberType,province_name,zone_number
วินัย จันทริก,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/402b8d13-1956-47c3-9e3a-49a0ffa9e050.jpg,กรีน,zone,พังงา,1
ปรมินทร์ จอมเทพมาลา,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/427a53d1-6b38-47e9-861c-73cd4920b232.jpg,กรีน,zone,ระนอง,1
มนตรี ขวัญเดือน,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/b3c95381-9310-4b00-85a5-8e523ee935a9.jpg,กรีน,zone,กระบี่,1
รุ่งโรจน์ รักกมล,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/9777e521-eeb5-45d6-a3ea-2ed8d64ea4f9.jpg,กรีน,zone,กระบี่,2
อภิรักษ์ แตงขาว,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/eae40d71-5875-4be1-843e-9650a69d7a48.jpg,กรีน,zone,อุตรดิตถ์,1
รัตนา ภูเหม็น,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/f0afa170-6084-424c-b42a-ac5922306faf.jpg,กรีน,zone,อุทัยธานี,2
สิทธิชัย สุวดิษฐ์,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/d9392395-6225-4467-9e87-1291acb2e2a8.jpg,กรีน,zone,จันทบุรี,1
วิษณุ พันธุสิงห์,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/74ed0163-48a8-4883-9cf4-adc7cff54fb7.jpg,กรีน,zone,จันทบุรี,2
จิราพร นาโถจำรัส,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/92657ec3-8e93-4f59-a251-d441162e1a3c.jpg,กรีน,zone,จันทบุรี,3
หนึ่งฤทัย พันกุ่ม,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/f6c6315d-caec-42e7-98f8-1f58871ddab2.jpg,กรีน,zone,ชุมพร,1
อภิศักดิ์ ศรีเผด็จ,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/f725ba22-133e-4498-b0e1-41cc0c4e2b01.jpg,กรีน,zone,ชุมพร,2
พีรพงศ์ แซ่หลี,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/b668e3c4-044d-44cc-859b-e8d3b943105a.jpg,กรีน,zone,ชุมพร,3
ธวัฎน์ ว่องวรานนท์,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/619ed131-dbf7-4349-88a4-d5b75b9576e7.jpg,กรีน,zone,ตรัง,1
ยงยุทธ กูลเมือง,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/80970e18-8d7c-4955-84a6-456d0dad6f58.jpg,กรีน,zone,ตรัง,2
อาคม สรรเพชร,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/664d033a-f806-452d-998f-c486c2f47727.jpg,กรีน,zone,ตรัง,3
วณิชชา บุพการีพร,ส.ส. เขต (ตาก เขต 1),http://202.6.26.16/images/candidate/thumb/63/1/98b7d0b4-1d48-4c61-92de-6c28cddf6a34.jpg,กรีน,zone,ตาก,1
ศุภชัย มาลีศรีอมร,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/fad2d576-762c-4391-912b-cbe14d567b4b.jpg,กรีน,zone,ตาก,2
