name,desc,image,PartyName,memberType,province_name,zone_number
กนกคัคนางค พงศ์สถาพร,ส.ส. เขต (สมุทรสาคร เขต 1),http://202.6.26.16/images/candidate/thumb/74/1/ee56ed32-b372-4ae2-9c94-bc65043f0a0d.jpg,กลาง,zone,สมุทรสาคร,1
ชัยวัฒน์ พหลทัพย์,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/422707cf-1aba-4894-b819-df47d950b6a3.jpg,กลาง,zone,หนองบัวลำภู,3
ศุภศิษฏ์ อนันตศาลา,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/7c457d7e-9bdd-4c21-9491-7607b4a69256.jpg,กลาง,zone,ลพบุรี,1
นิติพงษ์ จันทบาล,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/32c23468-e489-4d40-8f28-4d02cad551dc.jpg,กลาง,zone,ลพบุรี,2
ประดิษฐ์ แซ่เอี๋ยว,ส.ส. เขต (ลพบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/16/3/fecd0ba8-f773-4a03-beab-26c1e27399af.jpg,กลาง,zone,ลพบุรี,3
แก่นจันทร์ ภูสีเขียว,ส.ส. เขต (กาฬสินธุ์ เขต 2),http://202.6.26.16/images/candidate/thumb/46/2/1ea66bf5-b52b-4dc0-aa6a-af47ca679bd1.jpg,กลาง,zone,กาฬสินธุ์,2
ราชพฤกษ์ เพิ่มขึ้น,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/a88aa487-25ae-4554-8532-c04573b963ce.jpg,กลาง,zone,กาฬสินธุ์,5
ดนัยชญาพัฒน์ อุทัยเรือง,ส.ส. เขต (มหาสารคาม เขต 1),http://202.6.26.16/images/candidate/thumb/44/1/9336b70e-ae90-4f25-af5f-cefd3b00b4b7.jpg,กลาง,zone,มหาสารคาม,1
ชินกร ศรีคราม,ส.ส. เขต (มหาสารคาม เขต 4),http://202.6.26.16/images/candidate/thumb/44/4/b98cd412-e2df-481b-b243-064eece0e510.jpg,กลาง,zone,มหาสารคาม,4
สรนันท์ ศรีวงษ์,ส.ส. เขต (ชัยภูมิ เขต 1),http://202.6.26.16/images/candidate/thumb/36/1/100cc49e-2ed1-43f5-b3b7-fc2ef096a29a.jpg,กลาง,zone,ชัยภูมิ,1
วรวิทย์ จึงสุระ,ส.ส. เขต (ปทุมธานี เขต 4),http://202.6.26.16/images/candidate/thumb/13/4/e9dd164e-da00-45e5-8731-da74a9c0c38d.jpg,กลาง,zone,ปทุมธานี,4
จิรพรรณ แซ่อุ่ย,ส.ส. เขต (นครศรีธรรมราช เขต 2),http://202.6.26.16/images/candidate/thumb/80/2/dec6455a-bf2b-4f93-9880-44a64244e0d4.jpg,กลาง,zone,นครศรีธรรมราช,2
สุรธัช เณรภักดี,ส.ส. เขต (นครศรีธรรมราช เขต 3),http://202.6.26.16/images/candidate/thumb/80/3/1be2cf52-860c-4a9c-87c3-38ade5c2eb68.jpg,กลาง,zone,นครศรีธรรมราช,3
