name,desc,image,PartyName,memberType,province_name,zone_number
ธัญวรินทร์ แดงอาจ,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/50a1b5a9-b274-40a3-9d67-5d131033574a.jpg,ครูไทยเพื่อประชาชน,zone,ตราด,1
เกียรติภัช เกิดรี,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/19e2b08e-ff84-4992-9618-565e9e5ddb19.jpg,ครูไทยเพื่อประชาชน,zone,นครนายก,1
วินัย มัจฉาเวช,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/cdb1a204-e212-4c9f-9d9f-5df846655be4.jpg,ครูไทยเพื่อประชาชน,zone,พังงา,1
สมศรี สิทธิบุญ,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/641dcf84-ea30-4080-aa7e-b97f142bb5c5.jpg,ครูไทยเพื่อประชาชน,zone,แม่ฮ่องสอน,1
อารียา เฮงสกุล,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/ef4d66fb-c1fa-479f-9634-f90fa7dfdb34.jpg,ครูไทยเพื่อประชาชน,zone,สมุทรสงคราม,1
วิภาธรัศม์ สิริรัตนนุกูล,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/3bdbd242-0add-493a-b5d1-4b880bf63f02.jpg,ครูไทยเพื่อประชาชน,zone,สิงห์บุรี,1
รุ่งโรจน์ ศรีนวลละออง,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/107b45ea-b10e-4a24-a94c-4bc6bc927f8e.jpg,ครูไทยเพื่อประชาชน,zone,กระบี่,1
ภิญโญ สายนุ้ย,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/ba5d8815-9bd4-4679-9011-a0c8eb853771.jpg,ครูไทยเพื่อประชาชน,zone,กระบี่,2
ดำรง ไชยสิทธิ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/c95bd3d2-8ad8-42bd-b3bc-b118d8e29395.jpg,ครูไทยเพื่อประชาชน,zone,บึงกาฬ,1
เพ็ง ลมกาหลง,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/f3d6c1a4-3f72-4391-ae5f-e59e2ff553b2.jpg,ครูไทยเพื่อประชาชน,zone,บึงกาฬ,2
ภาวัต เสนปัญญา,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/53441d74-089c-4217-9cee-e388805e2816.jpg,ครูไทยเพื่อประชาชน,zone,แพร่,1
เดชวัฒนะกิจ จารเขียน,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/ea78dfed-cedf-4fb8-a40b-946143ca0929.jpg,ครูไทยเพื่อประชาชน,zone,แพร่,2
เสริญ สุขเกษม,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/d3607cfe-57ee-424d-8251-97f932f88ac6.jpg,ครูไทยเพื่อประชาชน,zone,ภูเก็ต,1
ชัยภัทร บุนนาค,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/0a179ed2-fa07-428b-9741-d2a2edd0e777.jpg,ครูไทยเพื่อประชาชน,zone,ภูเก็ต,2
สุรพร ผิวงาม,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/fa7ca8e6-6adb-42c4-a6f9-93892dc42908.jpg,ครูไทยเพื่อประชาชน,zone,มุกดาหาร,1
สาคร รอบรู้,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/3e1cd893-1d18-4668-a5f3-0d033930146f.jpg,ครูไทยเพื่อประชาชน,zone,มุกดาหาร,2
จำนง อุประโจง,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/78770eaa-7119-4d4c-9832-72c39bf4ea74.jpg,ครูไทยเพื่อประชาชน,zone,ลำพูน,1
ศักดิ์ ณ ลำพูน,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/e3646c90-073f-4dec-aafb-0e255f1de0ce.jpg,ครูไทยเพื่อประชาชน,zone,ลำพูน,2
นลินนาถ นพสุวรรณ,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/0e26d89c-8159-48a8-b148-d5eed509594e.jpg,ครูไทยเพื่อประชาชน,zone,สตูล,1
นิรัณน์ แอโส๊ะ,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/79e7a0f5-cc3b-4c95-bd15-aa61b205a971.jpg,ครูไทยเพื่อประชาชน,zone,สตูล,2
สุนาย ศาลารมย์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/d9cbdaca-f46c-49f6-8633-77f96ac91af6.jpg,ครูไทยเพื่อประชาชน,zone,อำนาจเจริญ,1
พิสิษฐ์ พัฒนาศุภสิทธิ์,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/78e87e62-54e6-455c-8b60-a64f04b8d74a.jpg,ครูไทยเพื่อประชาชน,zone,อำนาจเจริญ,2
ชัยพร ศิริวัฒน์,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/0320004b-4bb1-4fa9-a1ab-b3e84b77ad98.jpg,ครูไทยเพื่อประชาชน,zone,อุตรดิตถ์,1
อัจฉราพรรณ รัตนสากล,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/06ccb39b-b915-46ac-aa6c-b2be253be975.jpg,ครูไทยเพื่อประชาชน,zone,อุตรดิตถ์,2
รุ่ง มนต์ประสิทธิ์,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/b78f3210-3941-41a7-a964-358edb9fe4c5.jpg,ครูไทยเพื่อประชาชน,zone,จันทบุรี,1
ชูศักดิ์ ศรีสมบูรณ์,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/f6ee5bb9-b078-4e7d-a163-cb37a0439cbc.jpg,ครูไทยเพื่อประชาชน,zone,จันทบุรี,2
ปราโมทย์ หยกจินดา,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/0dad4242-44b1-45cd-aec6-256bf6494cad.jpg,ครูไทยเพื่อประชาชน,zone,จันทบุรี,3
จักรกฤษณ์ จันทร์อุดม,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/f59c4b01-fba4-4289-b361-915826391ea6.jpg,ครูไทยเพื่อประชาชน,zone,ชุมพร,1
อำนาจ เอียดมิ่ง,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/29901cb1-e2e5-41f9-8e66-7e2eba78827d.jpg,ครูไทยเพื่อประชาชน,zone,ชุมพร,2
วิทย นาควิเชียร,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/66c1bb62-6e5e-46a4-8033-ebfc36c03292.jpg,ครูไทยเพื่อประชาชน,zone,ชุมพร,3
ศักดิ์ณสันต์ จินตสกุล,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/e9666201-02b6-42a6-a04a-6845d24a0fb3.jpg,ครูไทยเพื่อประชาชน,zone,ตรัง,1
