name,desc,image,PartyName,memberType,province_name,zone_number
อิฐหรอเหม ใจขยัน,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/0a88bc44-a06c-453a-84b9-e34703b3dbc6.jpg,คลองไทย,zone,พังงา,1
นิพนธ์ ช่วยบรรจง,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/d433d5f9-c36b-4d8d-b7d6-c058f5fa6e5e.jpg,คลองไทย,zone,ระนอง,1
ศราวุธ ผิวดี,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/a3b4d19e-e472-4fc7-8949-c1bc57331dd9.jpg,คลองไทย,zone,กระบี่,1
วัฒน์ เพ็ชรเครือ,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/bc581d84-1c30-4e23-92e0-bc44c2f93946.jpg,คลองไทย,zone,กระบี่,2
ชัยพิทักษ์ อึ๋งสินค้าตระกูล,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/6a9719a8-6205-4d52-95c3-c98cfa2b75a8.jpg,คลองไทย,zone,ภูเก็ต,1
จักรพงษ์ หัสชัย,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/9de7a337-4832-48bb-9663-345ee433964e.jpg,คลองไทย,zone,ภูเก็ต,2
ศราวุฒิ ศรเดช,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/171eb9a7-27e3-4d3f-a1e1-5e0de081a033.jpg,คลองไทย,zone,สตูล,1
นิรุตต์ กูลหลัง,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/ed73e70d-0e32-4d3a-9391-cfc2f0c2e62d.jpg,คลองไทย,zone,สตูล,2
สิริพร เลื่อนฉวี,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/199a3231-53cb-4944-b288-b54098e976aa.jpg,คลองไทย,zone,ชุมพร,1
สมมล ชัยวัฒน์จตุพร,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/0dfbe48b-dd04-4d35-a0a9-cb74a478b5ed.jpg,คลองไทย,zone,ชุมพร,2
อมรรัตน์ เลื่อนฉวี,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/c2c4d540-7111-41f6-8de4-0353b0fa76ba.jpg,คลองไทย,zone,ชุมพร,3
จิตรเลขา เลอพิพัฒวรพงศ์,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/964ba2c5-eb53-49bd-8a3b-95b2264cff39.jpg,คลองไทย,zone,ตรัง,1
สิริพงษ์ สุจิตราภรณ์,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/66dd9755-73a4-498d-8d74-a8f69a260de6.jpg,คลองไทย,zone,ตรัง,2
ซ่อนกลิ่น รัตนะ,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/538a7323-55b7-4dd0-a4f0-797669cb9c78.jpg,คลองไทย,zone,ตรัง,3
เสริม ทวีตา,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/3b5df04e-79d7-4284-b7cf-7f652a9339b9.jpg,คลองไทย,zone,พัทลุง,1
บุญเลิศ เส้งรอด,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/856cb1d0-c1da-48b2-bcbf-5fd29684facf.jpg,คลองไทย,zone,พัทลุง,2
วีระ ไชยสินโณ,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/c3dcadd2-1009-4d2e-87d8-b20bfbf8f141.jpg,คลองไทย,zone,พัทลุง,3
อิสมาแอล ยามา,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/849ecbaf-995b-4318-8ace-8d9c102e49d7.jpg,คลองไทย,zone,ยะลา,1
