name,desc,image,PartyName,memberType,province_name,zone_number
วสันต์ ศรีรัตน์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/8086fb45-7e0f-4e98-ac2e-4f456de9b1a5.jpg,ความหวังใหม่,zone,พังงา,1
อุษา สายเส็น,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/800de9b6-e508-4294-a934-6672456fcd8a.jpg,ความหวังใหม่,zone,กระบี่,1
ลัดดา คงภักดี,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/208c5287-443b-4b61-9265-4231a98120c7.jpg,ความหวังใหม่,zone,กระบี่,2
สัญญา ด่านวันดี,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/267e7b54-1cce-4786-b73e-103eb74b0c31.jpg,ความหวังใหม่,zone,มุกดาหาร,2
สุนทร ขวัญดี,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/a61a3ade-283f-49d4-80bd-4f0ef3994986.jpg,ความหวังใหม่,zone,ตรัง,1
อำนาจ วงศ์ดารากุล,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/8f197f76-4929-431a-a155-fc3e232c447b.jpg,ความหวังใหม่,zone,ตรัง,2
พิน เบ็ญระเหม,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/8083dfda-5980-42ca-870a-a53656a6a8ac.jpg,ความหวังใหม่,zone,ตรัง,3
สริดา ทาบรรหาร,ส.ส. เขต (กาฬสินธุ์ เขต 1),http://202.6.26.16/images/candidate/thumb/46/1/8802454b-69e9-4a2d-83c3-5e90d1f84ff1.jpg,ความหวังใหม่,zone,กาฬสินธุ์,1
ธวัช โพนชัย,ส.ส. เขต (กาฬสินธุ์ เขต 2),http://202.6.26.16/images/candidate/thumb/46/2/2675feff-64ac-4c9e-8838-03435da7558b.jpg,ความหวังใหม่,zone,กาฬสินธุ์,2
ปริญญา ทองเสน,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/e9e0856c-f62a-4131-af22-b8a0a11bb269.jpg,ความหวังใหม่,zone,กาฬสินธุ์,3
ณรงค์พล ศรีสองเมือง,ส.ส. เขต (กาฬสินธุ์ เขต 4),http://202.6.26.16/images/candidate/thumb/46/4/87ccc64f-8bdd-4d84-a294-f888e57142c8.jpg,ความหวังใหม่,zone,กาฬสินธุ์,4
สุมาสิทธิ ศรีลำพัง,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/dfabbcf4-b9a4-44c4-b734-04cb903bb38b.jpg,ความหวังใหม่,zone,กาฬสินธุ์,5
เสรีพล ศรีอภัย,ส.ส. เขต (สุราษฎร์ธานี เขต 2),http://202.6.26.16/images/candidate/thumb/84/2/95a3a841-7725-4508-9965-636077d0a1fb.jpg,ความหวังใหม่,zone,สุราษฎร์ธานี,2
สิงหา อินทร์ชู,ส.ส. เขต (สุราษฎร์ธานี เขต 3),http://202.6.26.16/images/candidate/thumb/84/3/e0206fbf-6e11-44b2-9a59-cb6d4c3f8594.jpg,ความหวังใหม่,zone,สุราษฎร์ธานี,3
ธรรศ ทองคง,ส.ส. เขต (สุราษฎร์ธานี เขต 4),http://202.6.26.16/images/candidate/thumb/84/4/697e1afb-350d-4831-85fa-affb299395bf.jpg,ความหวังใหม่,zone,สุราษฎร์ธานี,4
ธีร รัตนกุล,ส.ส. เขต (สุราษฎร์ธานี เขต 5),http://202.6.26.16/images/candidate/thumb/84/5/a5e859c7-9107-482d-a9de-5ff26e688e80.jpg,ความหวังใหม่,zone,สุราษฎร์ธานี,5
