name,desc,image,PartyName,memberType,province_name,zone_number
ไกรสีห์ รัตนเศียร,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/82547da2-ee9e-4e55-a9e0-9aa414956075.jpg,ชาติพัฒนา,zone,ตราด,1
รัชฏะ สมรทินกร,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/fb00276d-0ce0-489e-b9ff-11449ee14bd0.jpg,ชาติพัฒนา,zone,นครนายก,1
ไพฑูรย์ สำราญไพรวัลย์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/c2ff82c3-a946-4e70-90c6-cfa1ac2d3ef0.jpg,ชาติพัฒนา,zone,แม่ฮ่องสอน,1
บุญยัง คุ้มเพชร,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/67661a28-90ac-4b7c-9ec6-79b345f83633.jpg,ชาติพัฒนา,zone,ระนอง,1
ศิวกรวิศิษฎ์ อ่วมป่วน,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/8c728b46-f3ac-4830-b995-ed72544ee2c6.jpg,ชาติพัฒนา,zone,สิงห์บุรี,1
ณภูพรรษ์ คล้ายแก้ว,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/f792172f-7577-4628-abce-2f9028519f77.jpg,ชาติพัฒนา,zone,อ่างทอง,1
จุรุพงค์ โชคไพศาล,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/99b18474-f4bf-4eb8-ab00-6072d3723c97.jpg,ชาติพัฒนา,zone,กระบี่,1
เจ๊ะห้าสัน ยะลา,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/5b43300a-8529-4b77-9e3e-bd54072cd2b5.jpg,ชาติพัฒนา,zone,กระบี่,2
ปัญญา สุขนิล,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/350426cc-ea6b-4cf3-b4ec-f9d649af66d7.jpg,ชาติพัฒนา,zone,ชัยนาท,2
วรรักษ์วัลย์ สมบูรณ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/03de2309-3d42-45a8-a615-dec256cc18ac.jpg,ชาติพัฒนา,zone,บึงกาฬ,1
พิต ไชยจักร์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/b5c0180b-3038-448e-a8fa-4e59295ffb50.jpg,ชาติพัฒนา,zone,มุกดาหาร,1
ถนอม สังเกตุ,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/de328d6d-523c-4510-b92a-41f07f5530d4.jpg,ชาติพัฒนา,zone,มุกดาหาร,2
โสภิศ อินทสโร,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/46d1794d-608b-45ae-a715-11d43cdaa145.jpg,ชาติพัฒนา,zone,ลำพูน,1
สุทัศน์ เอี้ยวเหล็ก,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/0649f334-6154-4dce-bdd1-0b0f7ae53e24.jpg,ชาติพัฒนา,zone,สตูล,2
ปิยะมาศ บัวแก้ว,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/c657f076-89d9-407c-89d4-0f4850960a55.jpg,ชาติพัฒนา,zone,อำนาจเจริญ,1
พสิษฐ์ สลักคำ,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/ae1a91c6-4a44-4827-b7f2-0470047c777b.jpg,ชาติพัฒนา,zone,อำนาจเจริญ,2
สุวิชาดา พุทธเกิด,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/d2438567-97d1-466f-a197-73d47a168d8a.jpg,ชาติพัฒนา,zone,ชุมพร,1
กฤษณะ ศุภสุทธิ์,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/9772a63b-315c-4de8-b6bf-d835d95df7b5.jpg,ชาติพัฒนา,zone,ชุมพร,2
ทวี จันทร์ฝาก,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/0fa45f5f-e948-48f2-a063-d0310ff92205.jpg,ชาติพัฒนา,zone,ตรัง,1
ก้องกฤษณ์ อ่อนรู้ที่,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/c7396efd-4bfe-4ed3-8edb-db2961725444.jpg,ชาติพัฒนา,zone,ตรัง,2
สุกัญญา ช่วยด้วง,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/debaedd3-666e-4ba6-862c-4eb0c2db1ff1.jpg,ชาติพัฒนา,zone,ตรัง,3
สงคราม ฟองมณี,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/92efadb6-0aa6-46b5-ad15-666328769a77.jpg,ชาติพัฒนา,zone,พัทลุง,1
ณิชชา แก้วนุ้ย,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/be3ba912-36b0-4086-a40f-9a74d672617a.jpg,ชาติพัฒนา,zone,พัทลุง,2
ก้าน แก้วพูล,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/0912f513-49d5-43b4-9881-a6bdaf50d7c0.jpg,ชาติพัฒนา,zone,พัทลุง,3
สุรวุธ ลิ้มธนาสวัสดิ์,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/8d36ac4b-26f7-4f3f-85fd-7367289ae41b.jpg,ชาติพัฒนา,zone,ยโสธร,1
สายน้ำผึ้ง สิริเรืองธนชัย,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/23c4775d-b546-4950-b6a2-2824a0e57061.jpg,ชาติพัฒนา,zone,ยโสธร,2
อุทัย ขันเงิน,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/72b4e514-8699-4b48-a2ef-6de606b06772.jpg,ชาติพัฒนา,zone,ยโสธร,3
ยูโซฟ หะยีอาซา,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/4065c969-61bd-4898-b2e2-903bf567e9da.jpg,ชาติพัฒนา,zone,ยะลา,1
อาแว สือเตาะ,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/86c43845-2484-4e67-8364-bada9c60cb15.jpg,ชาติพัฒนา,zone,ยะลา,2
วรชัย ชัยพิชญากุล,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/8cea8809-b0be-4245-9af1-ebfdcdf43b62.jpg,ชาติพัฒนา,zone,ยะลา,3
ทินกร ศรีจันทร์,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/8aabbcf3-48d3-4088-b4ac-6dffdb712138.jpg,ชาติพัฒนา,zone,เลย,1
พินิจ สิทธิโห,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/da21a585-99ba-4058-9982-2bda0a2c2da7.jpg,ชาติพัฒนา,zone,เลย,2
มงคล มงคลบุราณ,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/edc6bd8d-5b81-4f63-b0e0-9174bc115df5.jpg,ชาติพัฒนา,zone,เลย,3
นคร อุทัยกัณฑ์,ส.ส. เขต (สระบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/19/1/f43b2c4c-fd90-4fae-8298-10beca9b8590.jpg,ชาติพัฒนา,zone,สระบุรี,1
ชัยวัฒน์ วัธนเวคิน,ส.ส. เขต (สระบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/19/2/559214ff-3ce0-4a9a-8752-9ab62d02d0bd.jpg,ชาติพัฒนา,zone,สระบุรี,2
ภานุวัฒน์ แสงเรือง,ส.ส. เขต (สระบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/19/3/14517745-d6b0-4060-949e-14ef698005a1.jpg,ชาติพัฒนา,zone,สระบุรี,3
บุญธรรม ชาวเขียววงศ์,ส.ส. เขต (สุโขทัย เขต 1),http://202.6.26.16/images/candidate/thumb/64/1/c4cfccf3-9505-4710-b287-0d89c5be6364.jpg,ชาติพัฒนา,zone,สุโขทัย,1
ประเดิม ปั่นป่วน,ส.ส. เขต (สุโขทัย เขต 2),http://202.6.26.16/images/candidate/thumb/64/2/5ad1ea3d-2752-426d-a94a-3ad4be2585ea.jpg,ชาติพัฒนา,zone,สุโขทัย,2
