name,desc,image,PartyName,memberType,province_name,zone_number
วิศรุตวัฒต์ สุศิริวรรักษ์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/cfe97acf-2a96-42e0-9185-10238bbcd94f.jpg,ชาติพันธุ์ไทย,zone,แม่ฮ่องสอน,1
รัตนมาลี ทุ่งพรวญ,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/eade6de3-b171-46d3-a699-c7b95c7b35c2.jpg,ชาติพันธุ์ไทย,zone,แพร่,1
ธงไชย สุราช,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/3d9c602d-ce2b-42b1-aae1-543d0ac9083e.jpg,ชาติพันธุ์ไทย,zone,แพร่,2
ไชยยันต์ ชุ่มสวัสดิ์,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/3e82bca4-d18f-41c3-9031-8e848f947ca1.jpg,ชาติพันธุ์ไทย,zone,ลำพูน,1
พัทธนันท์ ศรีนำทา,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/e188c052-7578-4abf-9122-7afaf9b4b114.jpg,ชาติพันธุ์ไทย,zone,ลำพูน,2
สงคราม กุศลส่ง,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/44d21b8b-029e-4996-a9ae-d2d92ab5a81e.jpg,ชาติพันธุ์ไทย,zone,จันทบุรี,1
เฉิน ผันผาย,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/94147463-f7b9-4ca5-a6c4-bbc2d734b1bf.jpg,ชาติพันธุ์ไทย,zone,จันทบุรี,2
อินสงค์ จันทร์ดี,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/53679a20-11a7-4612-8bbd-505fb930725a.jpg,ชาติพันธุ์ไทย,zone,น่าน,1
สายันต์ ก้อนใหม่,ส.ส. เขต (น่าน เขต 2),http://202.6.26.16/images/candidate/thumb/55/2/007bdfbf-09fc-4cd1-a3ec-ba062510f503.jpg,ชาติพันธุ์ไทย,zone,น่าน,2
เลาหล้า  แซ่เล้า,ส.ส. เขต (น่าน เขต 3),http://202.6.26.16/images/candidate/thumb/55/3/35755698-502a-4f73-a565-2e4c891883ac.jpg,ชาติพันธุ์ไทย,zone,น่าน,3
ศิริเวศน์ มหาวรรณศรี,ส.ส. เขต (พะเยา เขต 1),http://202.6.26.16/images/candidate/thumb/56/1/68473bb0-9f33-402a-b59c-d29ed35a5a45.jpg,ชาติพันธุ์ไทย,zone,พะเยา,1
ทวี สุกันทา,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/ac5b9b26-51ee-4432-8e8b-a9e2583e5476.jpg,ชาติพันธุ์ไทย,zone,พะเยา,2
ลิไนพร ไชยลังกา,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/b4af1892-fbda-4610-9d5d-2bc2bb4c0ce5.jpg,ชาติพันธุ์ไทย,zone,พะเยา,3
อาทิตย์ แก้วอุ่นเรือน,ส.ส. เขต (ลำปาง เขต 1),http://202.6.26.16/images/candidate/thumb/52/1/61733d53-964e-4ab0-a9f1-0e5bb454640e.jpg,ชาติพันธุ์ไทย,zone,ลำปาง,1
ภาณุพงศ์ ศรีสมบัติ,ส.ส. เขต (ลำปาง เขต 2),http://202.6.26.16/images/candidate/thumb/52/2/18df0efa-eed2-490d-a3bd-5b636a2d2e39.jpg,ชาติพันธุ์ไทย,zone,ลำปาง,2
เสริม สูรยกานต์กูล,ส.ส. เขต (ลำปาง เขต 3),http://202.6.26.16/images/candidate/thumb/52/3/677ae043-717d-428f-b898-e976cd7af461.jpg,ชาติพันธุ์ไทย,zone,ลำปาง,3
อชิระจิตรพงศ์ ผดุงวงศ์ษา,ส.ส. เขต (ลำปาง เขต 4),http://202.6.26.16/images/candidate/thumb/52/4/99e0eca1-9e87-42f7-85ea-b01ee35a6066.jpg,ชาติพันธุ์ไทย,zone,ลำปาง,4
พงษ์ศักดิ์ กองสุเรือง,ส.ส. เขต (เชียงราย เขต 1),http://202.6.26.16/images/candidate/thumb/57/1/6f88fa24-c26c-4be3-ae65-caeb658eed30.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,1
ญาณิน อินต๊ะเทพ,ส.ส. เขต (เชียงราย เขต 2),http://202.6.26.16/images/candidate/thumb/57/2/7626d698-25bb-4b81-a987-a8a758601bc7.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,2
อุษาวดี วันดี,ส.ส. เขต (เชียงราย เขต 3),http://202.6.26.16/images/candidate/thumb/57/3/658b2f1a-732c-437f-bd90-091cbb4d1add.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,3
ณฐศร สมวรรณ์,ส.ส. เขต (เชียงราย เขต 4),http://202.6.26.16/images/candidate/thumb/57/4/359007b6-ed9f-4dfd-b63e-e3849cdd6453.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,4
ทินกร หอกทอง,ส.ส. เขต (เชียงราย เขต 5),http://202.6.26.16/images/candidate/thumb/57/5/1689e2a0-4188-4f07-a665-5e51353ba0a6.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,5
จักรพันธ์ ศิริเขียว,ส.ส. เขต (เชียงราย เขต 6),http://202.6.26.16/images/candidate/thumb/57/6/d94590f4-dca7-4dbd-bf06-ad6ba20ee003.jpg,ชาติพันธุ์ไทย,zone,เชียงราย,6
ธิดารัตน์ ศิริวิทยากร,ส.ส. เขต (เชียงใหม่ เขต 1),http://202.6.26.16/images/candidate/thumb/50/1/e5de2c71-5809-40e2-9f9e-fe48c4240a48.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,1
บัญชาการ พลชมชื่น,ส.ส. เขต (เชียงใหม่ เขต 2),http://202.6.26.16/images/candidate/thumb/50/2/f597f2a4-e275-404d-a354-c7a5294c582e.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,2
วัชระพงษ์ ณะธรรม,ส.ส. เขต (เชียงใหม่ เขต 3),http://202.6.26.16/images/candidate/thumb/50/3/0d3fa8f5-ccac-4cc4-be07-81993ba5d4c1.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,3
อรรถพล ไชยพล,ส.ส. เขต (เชียงใหม่ เขต 4),http://202.6.26.16/images/candidate/thumb/50/4/4b69fb03-e297-4fc4-a9e7-7d25f0844976.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,4
ธีรวัฒน์ ใจนันตา,ส.ส. เขต (เชียงใหม่ เขต 5),http://202.6.26.16/images/candidate/thumb/50/5/932928dd-5204-479c-975f-0656864d751d.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,5
นิธิพัฒน์ พันธุ์ขันคำ,ส.ส. เขต (เชียงใหม่ เขต 6),http://202.6.26.16/images/candidate/thumb/50/6/9d3527c2-9590-493e-be5f-a7c6f6d9fbcc.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,6
จำเริญ เชื่อมสกุล,ส.ส. เขต (เชียงใหม่ เขต 7),http://202.6.26.16/images/candidate/thumb/50/7/fd8c5d6c-f239-4377-9734-791a02bd0b9c.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,7
พัชรพงษ์ อัครเมธากุล,ส.ส. เขต (เชียงใหม่ เขต 8),http://202.6.26.16/images/candidate/thumb/50/8/b2bec224-317c-48a6-8e12-d094c688cf7d.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,8
อำนวย หารหม่อง,ส.ส. เขต (เชียงใหม่ เขต 9),http://202.6.26.16/images/candidate/thumb/50/9/ed4c52cf-917e-44cf-b06c-d2c56b3b53ec.jpg,ชาติพันธุ์ไทย,zone,เชียงใหม่,9
เอื้องฟ้า งามธุระ,ส.ส. เขต (กรุงเทพมหานคร เขต 5),http://202.6.26.16/images/candidate/thumb/10/5/ff002d8e-c2cc-4c52-a998-0f57a7fd8bfd.jpg,ชาติพันธุ์ไทย,zone,กรุงเทพมหานคร,5
พลศุภรักษ์ ศิริจันทรานนท์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/85/fad46c3c-f9a0-4c9e-b0da-71d2414c06e6.jpg,ชาติพันธุ์ไทย,partylist,-,-
โกวิทย์ จิรชนานนท์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/85/0079f84b-b806-4abe-8fd5-45a485799f1f.jpg,ชาติพันธุ์ไทย,partylist,-,-
ภราดล พรอำนวย,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/85/4739b823-6747-4ccd-a213-b80668c1b2bc.jpg,ชาติพันธุ์ไทย,partylist,-,-
สินีนุช ชยางศุ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 4),http://202.6.26.16/images/candidate/thumb/00/85/70d8f5d9-61c2-422c-a1fa-6da151f2d299.jpg,ชาติพันธุ์ไทย,partylist,-,-
อาทิตย์ เรืองวุฒิ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 5),http://202.6.26.16/images/candidate/thumb/00/85/9a3ceccd-623d-41c4-a3cb-f60a5526d77f.jpg,ชาติพันธุ์ไทย,partylist,-,-
โสฬส ตระกูลลีวัฒนา,ส.ส. บัญชีรายชื่อ (ลำดับที่ 6),http://202.6.26.16/images/candidate/thumb/00/85/2213bb1c-2ceb-4458-8868-af7444c11361.jpg,ชาติพันธุ์ไทย,partylist,-,-
จรัล สันคม,ส.ส. บัญชีรายชื่อ (ลำดับที่ 7),http://202.6.26.16/images/candidate/thumb/00/85/297f897a-6723-461b-b9d4-94096964e431.jpg,ชาติพันธุ์ไทย,partylist,-,-
ณิชรัตน์ วิรัชช์ดิชพงศ์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 8),http://202.6.26.16/images/candidate/thumb/00/85/7d827bcb-235a-469b-8510-189392bd9ff2.jpg,ชาติพันธุ์ไทย,partylist,-,-
วัฒนัน ณ ลำพูน,ส.ส. บัญชีรายชื่อ (ลำดับที่ 9),http://202.6.26.16/images/candidate/thumb/00/85/ba91a17d-4a31-40a5-afc9-a4026d638610.jpg,ชาติพันธุ์ไทย,partylist,-,-
รัชกร ปิยะสัจจบูลย์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 10),http://202.6.26.16/images/candidate/thumb/00/85/84c05b14-412a-4f8a-9203-799304f2b97a.jpg,ชาติพันธุ์ไทย,partylist,-,-
สนั่น พันธุ์อุโมงค์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 11),http://202.6.26.16/images/candidate/thumb/00/85/f29a3f33-16a5-4826-9cb5-6652a8a889c1.jpg,ชาติพันธุ์ไทย,partylist,-,-
จงกล สินทอง,ส.ส. บัญชีรายชื่อ (ลำดับที่ 12),http://202.6.26.16/images/candidate/thumb/00/85/5f4a9b3a-a776-4b2e-a205-751e6240140a.jpg,ชาติพันธุ์ไทย,partylist,-,-
นิศารัตน์ ปัญญาดี,ส.ส. บัญชีรายชื่อ (ลำดับที่ 13),http://202.6.26.16/images/candidate/thumb/00/85/06f29065-ea6b-451a-95a8-ae2eae32634d.jpg,ชาติพันธุ์ไทย,partylist,-,-
สิทธิศักดิ์ คุตพฤกษ์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 14),http://202.6.26.16/images/candidate/thumb/00/85/09803214-1dbd-43ee-aab5-f9fecd268874.jpg,ชาติพันธุ์ไทย,partylist,-,-
อำนวย ยาวิชัย,ส.ส. บัญชีรายชื่อ (ลำดับที่ 15),http://202.6.26.16/images/candidate/thumb/00/85/8b9c54f6-24c7-47c8-bba3-f32e421ce0d6.jpg,ชาติพันธุ์ไทย,partylist,-,-
