name,desc,image,PartyName,memberType,province_name,zone_number
วีระชัย จูห้อง,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/801321e6-2af5-4120-ac28-ba0858dcc998.jpg,ชาติไทยพัฒนา,zone,ตราด,1
เจือ สิริพร,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/f6da3e0b-c89d-4676-bae3-f6de812bb980.jpg,ชาติไทยพัฒนา,zone,พังงา,1
สมบูรณ์ ไพรวัลย์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/7db38108-97ac-4772-a481-fcee3adc89c2.jpg,ชาติไทยพัฒนา,zone,แม่ฮ่องสอน,1
อรุณ ศิริคณินทร์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/29726059-0f53-4e0b-b8ca-89a0f645d448.jpg,ชาติไทยพัฒนา,zone,ระนอง,1
วาณิชา โกวิทานนท์,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/299ade15-3960-4137-a6c7-a593a85836c8.jpg,ชาติไทยพัฒนา,zone,สมุทรสงคราม,1
ชารินทร์ สิงห์ดี,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/6c149fa8-8d14-4619-91cd-74de4662863c.jpg,ชาติไทยพัฒนา,zone,สิงห์บุรี,1
ไชยา ดำดี,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/0a5ef5cf-ee7a-4e85-b523-cbdf12b13495.jpg,ชาติไทยพัฒนา,zone,กระบี่,1
ประหยัด สายนุ้ย,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/8d2f2938-7fd9-46c2-86ca-bf6995087b63.jpg,ชาติไทยพัฒนา,zone,กระบี่,2
ประสิทธิ์ แพ่งกลิ่น,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/b569c53b-bdec-41bf-a4d2-efbe6265a583.jpg,ชาติไทยพัฒนา,zone,ชัยนาท,1
มานัฏฐ์ดลฌ์ เจริญภูวดล,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/e2867fe6-6a6f-40eb-b1be-4e882b4c50a1.jpg,ชาติไทยพัฒนา,zone,ชัยนาท,2
