name,desc,image,PartyName,memberType,province_name,zone_number
จิณณวัตร พรรณวงศ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/c6848723-b00a-4e8f-a6fd-c2d04515142b.jpg,ฐานรากไทย,zone,บึงกาฬ,1
จันทา หูพารักษา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/3e4214db-8c00-4b77-8c51-a8597929cbf3.jpg,ฐานรากไทย,zone,บึงกาฬ,2
บุญภูวนาถ เจ๊ะหมวก,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/2e685565-0146-48df-ab88-00bf7011e80b.jpg,ฐานรากไทย,zone,จันทบุรี,2
กชอาภา ทรงธรรม,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/7edbfcbf-8997-4642-babf-672696aa2829.jpg,ฐานรากไทย,zone,จันทบุรี,3
กอบกุล ภักดีโต,ส.ส. เขต (พิจิตร เขต 1),http://202.6.26.16/images/candidate/thumb/66/1/836b8cea-06ce-4588-932d-4cdca045062f.jpg,ฐานรากไทย,zone,พิจิตร,1
ภาณุวรรษ ไกรเกื้อกูล,ส.ส. เขต (พิจิตร เขต 2),http://202.6.26.16/images/candidate/thumb/66/2/0737da0d-d512-4f83-ae69-56ccb46b071b.jpg,ฐานรากไทย,zone,พิจิตร,2
ณัฐพงษ์ ภู่กลัดอัครวินท์,ส.ส. เขต (พิจิตร เขต 3),http://202.6.26.16/images/candidate/thumb/66/3/d133b8cc-966f-470b-adc6-088aa0eeb20c.jpg,ฐานรากไทย,zone,พิจิตร,3
ทิพวรรณ ยุถาวร,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/0bb08f06-894e-4304-9c49-b4b042ccd1a5.jpg,ฐานรากไทย,zone,ยโสธร,1
กฤษณะ พาภิรมย์,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/6e284b07-64dd-4e19-9dad-ed8e1a1cf23c.jpg,ฐานรากไทย,zone,กาฬสินธุ์,3
ธวัช ชุมหิน,ส.ส. เขต (เพชรบูรณ์ เขต 2),http://202.6.26.16/images/candidate/thumb/67/2/740c808e-bcaa-4bd0-a6f3-53d46576d4ab.jpg,ฐานรากไทย,zone,เพชรบูรณ์,2
