name,desc,image,PartyName,memberType,province_name,zone_number
วิรัช เจียรธนกฤติ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/70cf98a2-f704-4047-b897-b8c439a19173.jpg,ถิ่นกาขาวชาววิไล,zone,พังงา,1
พิทักษ์ ภารา,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/5ceeb637-0082-4d42-8a19-d94c836bb9d8.jpg,ถิ่นกาขาวชาววิไล,zone,กระบี่,1
อาหมาด ปะดุกา,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/b4a3b4c8-0166-4bdb-8805-070299a43df8.jpg,ถิ่นกาขาวชาววิไล,zone,สตูล,1
กอเด็ด รอโซยล๊ะ,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/9798df55-60a1-49e2-8fa9-b8f6ab9266d4.jpg,ถิ่นกาขาวชาววิไล,zone,สตูล,2
ภาวนา สะดะ,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/3530ca90-b8de-4aae-89eb-7adf5290777b.jpg,ถิ่นกาขาวชาววิไล,zone,ตรัง,1
วรนาฎ วงศ์สวัสดิ์,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/2c838c92-5b03-4abc-b225-ca80f89c7841.jpg,ถิ่นกาขาวชาววิไล,zone,ตรัง,2
พงค์ศักดิ์ ชุมสกุล,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/2c1e9b50-2e13-4257-89c5-18a2e06fc06f.jpg,ถิ่นกาขาวชาววิไล,zone,ตรัง,3
วิสุทธิ์ นะแหล่,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/b66ad214-bc1b-43f6-80a1-00b7ef8d1e08.jpg,ถิ่นกาขาวชาววิไล,zone,พัทลุง,1
วิรัช ทองแก้ว,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/5fc23388-c987-46ba-a0a1-eb52e55eb2ce.jpg,ถิ่นกาขาวชาววิไล,zone,พัทลุง,3
สุรศักดิ์ ยูโซ๊ะ,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/5218b450-1e2e-4217-abd3-06f6495560cd.jpg,ถิ่นกาขาวชาววิไล,zone,ยะลา,1
มะสือดี อาลีโตะมะ,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/03c9eea1-e698-4780-9d03-2c6a6abd43e8.jpg,ถิ่นกาขาวชาววิไล,zone,ยะลา,2
ภาณุพงศ์ สิบู,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/75d1d9f1-29a5-4f16-9bd3-4cc322a97ed7.jpg,ถิ่นกาขาวชาววิไล,zone,ยะลา,3
รอมือละ เจะหะ,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/68ce9db5-7efa-42fe-a238-4884dc3c08bd.jpg,ถิ่นกาขาวชาววิไล,zone,นราธิวาส,1
นิมุ ซาเม๊าะ,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/49ef1dc1-e559-46df-b660-e68751dff121.jpg,ถิ่นกาขาวชาววิไล,zone,นราธิวาส,2
สุขกรี แวนามะ,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/33a38769-50b5-4be6-9f0f-536aa6a88c47.jpg,ถิ่นกาขาวชาววิไล,zone,นราธิวาส,3
มะสูเกียน มามะ,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/84b58fff-9129-4406-bb6c-8f40c5b68c02.jpg,ถิ่นกาขาวชาววิไล,zone,นราธิวาส,4
อุดมศักดิ์ แวนิด,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/197d24f5-5de4-4d41-8c91-7e4c4d6cfcbe.jpg,ถิ่นกาขาวชาววิไล,zone,ปัตตานี,1
