name,desc,image,PartyName,memberType,province_name,zone_number
เอกอรุณ มีวรรณ,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/5815369f-48aa-47a2-8ba0-cd878af0a55e.jpg,ทางเลือกใหม่,zone,ตราด,1
อำนาจ แสงสกาย,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/9020749b-fd56-4513-9c7d-3bddf614027c.jpg,ทางเลือกใหม่,zone,แม่ฮ่องสอน,1
ลำเจียก วงษ์ไทย,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/b9033983-b9e0-4008-9ccb-9f20af62c525.jpg,ทางเลือกใหม่,zone,สมุทรสงคราม,1
ณรงค์ มาตย์โอสถ,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/6568799b-5fab-41b8-a5ee-45c7f719a3e4.jpg,ทางเลือกใหม่,zone,กระบี่,2
อาทร ออมทรัพย์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/99717edf-3285-49b0-b56f-f881525cf308.jpg,ทางเลือกใหม่,zone,ภูเก็ต,1
อนุชิต อัลมันศูรีย์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/b78ee4b6-7f44-4652-a7e8-57cad44b95bb.jpg,ทางเลือกใหม่,zone,ภูเก็ต,2
ขาน เชื้อคำฮด,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/d59714f1-50b8-4235-855b-69fe1d479a18.jpg,ทางเลือกใหม่,zone,มุกดาหาร,2
ประพันธ์ บุญมี,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/49fbcb5d-d53c-447d-a20c-10c6068691c6.jpg,ทางเลือกใหม่,zone,จันทบุรี,2
สมยศ มาเพิ่มผล,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/c00904e1-1ed2-4a3e-96fc-3052b0aa95db.jpg,ทางเลือกใหม่,zone,จันทบุรี,3
เกษมสันต์ วงศ์สุวัฒน์,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/c6de2d6a-2bc8-40c5-ac53-1faf40854a29.jpg,ทางเลือกใหม่,zone,ชุมพร,1
ธนภัทร ประสิทธิ์,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/0ff8378d-f107-4a8f-a51e-61d7d2558d72.jpg,ทางเลือกใหม่,zone,ชุมพร,2
ปฐมพัทธ์ วงศ์สุวัฒน์,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/7cd009c8-0995-4fd8-870d-7322df7a98fa.jpg,ทางเลือกใหม่,zone,ชุมพร,3
ปรีดิ์ปราโมทย์ เลิศวรภัทร,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/aadfbb94-11e4-452f-9030-d54a2c8029c7.jpg,ทางเลือกใหม่,zone,ตรัง,1
สันติ รักเพ็ชร,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/c3e2185e-2eac-45bc-aedd-0b1e415b35a1.jpg,ทางเลือกใหม่,zone,ตรัง,2
วิชิต กุลจิ,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/13d09f1c-807c-4c61-b0ec-41e362ab6f99.jpg,ทางเลือกใหม่,zone,ตรัง,3
นิพนธ์ อินต๊ะสอน,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/d6bfa4bb-cd0b-4c7f-8cdc-2e128d4a4f75.jpg,ทางเลือกใหม่,zone,น่าน,1
กัญญาณัฐ์ บุญธรรม,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/40e25b55-bdc6-4689-ab91-cb6e496173b0.jpg,ทางเลือกใหม่,zone,ปราจีนบุรี,1
เพชร์นภา แซ่ลิ้ม,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/1cdad3fb-e995-4278-b7ba-ca8fbab2c234.jpg,ทางเลือกใหม่,zone,ปราจีนบุรี,2
บึง อาสินรัมย์,ส.ส. เขต (ปราจีนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/25/3/e8387d48-76b1-4850-8c4a-a2d8f6d08f32.jpg,ทางเลือกใหม่,zone,ปราจีนบุรี,3
สุพัฒน์ ยาชะรัด,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/6e8668e8-a920-4945-9f39-4630383a7a26.jpg,ทางเลือกใหม่,zone,พัทลุง,3
นิชุติมา บัวเดช,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/4ac4af2b-a63e-408d-a78a-a41e98a339ce.jpg,ทางเลือกใหม่,zone,ยะลา,1
กุลนิตย์ นิลเกตุ,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/0ab1f665-9d72-4ca2-a9bb-23f5f13f606c.jpg,ทางเลือกใหม่,zone,หนองคาย,2
ตึ๋ง เนาวะเพชร,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/c6918523-6e94-4f3c-82e3-378b16c01e66.jpg,ทางเลือกใหม่,zone,หนองคาย,3
ภิญโญ เนียมสงค์,ส.ส. เขต (ฉะเชิงเทรา เขต 3),http://202.6.26.16/images/candidate/thumb/24/3/e56918a4-ea8c-4457-8847-2f89d134b3bc.jpg,ทางเลือกใหม่,zone,ฉะเชิงเทรา,3
เพ็ญทิพย์ เรียบร้อย,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/ca940277-7b63-4b7e-8e76-00f64c6f426c.jpg,ทางเลือกใหม่,zone,นราธิวาส,1
