name,desc,image,PartyName,memberType,province_name,zone_number
ธนินท์ธร เกษรมาลา,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/19a441f4-717d-4263-8e95-7f09fac22ac3.jpg,ประชากรไทย,zone,ตราด,1
วิศิษศักดิ์ ศรีสมบัติ,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/1cbcab78-038e-42af-9601-638e7569f41d.jpg,ประชากรไทย,zone,สมุทรสงคราม,1
ชาญธีรดล สมบูรณ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/231bc90d-df15-4381-a8da-10652c878575.jpg,ประชากรไทย,zone,บึงกาฬ,1
ชนิตา บุญประสิทธิ์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/79d9e387-29f4-4762-b8a8-ed87ed7eaea5.jpg,ประชากรไทย,zone,บึงกาฬ,2
กสานต์ อินทรรุจิกุล,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/d97af102-507c-440c-b1c3-fb980ae5601f.jpg,ประชากรไทย,zone,แพร่,1
กรัณย์ กันจะนะ,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/817069ea-952d-46f1-b5f6-3485b3ff30e2.jpg,ประชากรไทย,zone,แพร่,2
ลุกมาน เหล็มสีฟุต,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/5dad80ee-2c31-43ba-9296-3327455bf543.jpg,ประชากรไทย,zone,สตูล,2
ไพฑูรย์ คงกะเรียน,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/44a4f55b-4ca1-4d7e-8251-0e5590712313.jpg,ประชากรไทย,zone,ประจวบคีรีขันธ์,2
นงนภัส ปัญญาวงศ์,ส.ส. เขต (พะเยา เขต 1),http://202.6.26.16/images/candidate/thumb/56/1/84ea5b40-7c5e-45fe-b189-18b6eaa9805a.jpg,ประชากรไทย,zone,พะเยา,1
ปณชัย หายโศก,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/28fe9234-b91b-4b7a-b6bb-f13995595aec.jpg,ประชากรไทย,zone,พะเยา,2
ฑริกา ชาวเวียง,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/5d97b8cb-6cd6-4f69-91ac-871a3916b781.jpg,ประชากรไทย,zone,พะเยา,3
ณัฐดนัย ตาสา,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/37fdf06a-8fd4-4712-a62a-7ab9af9af595.jpg,ประชากรไทย,zone,เลย,1
บรรทม ศรีบุรินทร์,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/f3684776-c7fd-465c-ba77-0ef129c52e0a.jpg,ประชากรไทย,zone,เลย,3
แก้ว ดวงระยศ,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/f1714b0b-ca18-4502-87c1-61b5b3969648.jpg,ประชากรไทย,zone,หนองคาย,1
ณัฐพงษ์ ป้องปิ่น,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/79795a5c-ff3f-4d88-b65b-d403558cd95b.jpg,ประชากรไทย,zone,หนองคาย,2
ปวริศา สอนศิริ,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/d7ebf2f3-f114-4d9f-8e37-7caed374c4d5.jpg,ประชากรไทย,zone,หนองคาย,3
อินทัช อินทะจันทร์,ส.ส. เขต (กำแพงเพชร เขต 1),http://202.6.26.16/images/candidate/thumb/62/1/af5294d5-6cc1-437a-a668-5141c8e8257e.jpg,ประชากรไทย,zone,กำแพงเพชร,1
วุฒิพงษ์ โพธิจันทจินดา,ส.ส. เขต (กำแพงเพชร เขต 3),http://202.6.26.16/images/candidate/thumb/62/3/d924b549-35a5-4e4c-8ff9-f0070ddcdb1f.jpg,ประชากรไทย,zone,กำแพงเพชร,3
สมาน นาแถมทอง,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/a1dda498-1e3e-48fb-a045-1cc5d0fbf8c6.jpg,ประชากรไทย,zone,กาฬสินธุ์,3
ธารีรัตน์ โลหะพรม,ส.ส. เขต (กาฬสินธุ์ เขต 4),http://202.6.26.16/images/candidate/thumb/46/4/ad49d07f-2523-4fd7-b448-b526364550c1.jpg,ประชากรไทย,zone,กาฬสินธุ์,4
รัศมี สกุลฮูฮา,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/b8098bdc-e2c2-4e53-a0dd-fbd321093e78.jpg,ประชากรไทย,zone,กาฬสินธุ์,5
เศรษฐา สุทธิหล่อ,ส.ส. เขต (พิษณุโลก เขต 5),http://202.6.26.16/images/candidate/thumb/65/5/1046579e-2ba9-4850-870b-e81b62323ba8.jpg,ประชากรไทย,zone,พิษณุโลก,5
เตือนใจ มั่งมี,ส.ส. เขต (เพชรบูรณ์ เขต 1),http://202.6.26.16/images/candidate/thumb/67/1/48748872-c581-40ef-9095-24d1ea99d42e.jpg,ประชากรไทย,zone,เพชรบูรณ์,1
อภัสรดา วิริยะสกุลพันธุ์,ส.ส. เขต (เพชรบูรณ์ เขต 3),http://202.6.26.16/images/candidate/thumb/67/3/fe297eb0-b4db-4e11-b981-2eff733a8217.jpg,ประชากรไทย,zone,เพชรบูรณ์,3
ธนากร เถียรธีรทัต,ส.ส. เขต (เพชรบูรณ์ เขต 4),http://202.6.26.16/images/candidate/thumb/67/4/e2b99378-976f-40a5-91c4-d9d291a15153.jpg,ประชากรไทย,zone,เพชรบูรณ์,4
นารุต ประวาลวงศ์,ส.ส. เขต (เพชรบูรณ์ เขต 5),http://202.6.26.16/images/candidate/thumb/67/5/658b5175-e1a9-4d3c-ba7c-85ecb7070b22.jpg,ประชากรไทย,zone,เพชรบูรณ์,5
