name,desc,image,PartyName,memberType,province_name,zone_number
สมนึก สมศักดิ์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/d8f9021b-9457-4a88-b8b8-0f6b95e7b4d4.jpg,ประชาชนปฏิรูป,zone,พังงา,1
สุจินดา ดิษขนาน,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/fcf022e7-23aa-4142-b6c3-e27605a49646.jpg,ประชาชนปฏิรูป,zone,ระนอง,1
ประยงค์ รอดระวังภัย,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/ced27a25-0a21-4490-b60e-b441b7a61684.jpg,ประชาชนปฏิรูป,zone,สมุทรสงคราม,1
อรพินท์ สุดเอี่ยม,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/04ecad8e-cdf2-46df-885a-a6dc39a9a24b.jpg,ประชาชนปฏิรูป,zone,สิงห์บุรี,1
ประชา หาญบุญศรี,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/38f484f0-5739-4ae8-ad02-4de234600fd4.jpg,ประชาชนปฏิรูป,zone,อ่างทอง,1
จันทร์เทียม ชอบศิลป์,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/732756a0-9af7-4106-964b-5f2cc24118ae.jpg,ประชาชนปฏิรูป,zone,กระบี่,1
ภควัฒน์ บุผ่อง,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/79d54054-8ca9-413b-8a6e-9320735b1d59.jpg,ประชาชนปฏิรูป,zone,กระบี่,2
บุรินทร์ จิรวัฒน์จรรยา,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/c2158b21-d1ce-4f2a-a658-f8a94958cf16.jpg,ประชาชนปฏิรูป,zone,ชัยนาท,1
ไขแสง หอมรส,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/ba0ab664-5f6a-4ae7-8f55-8beaff6a38dc.jpg,ประชาชนปฏิรูป,zone,ชัยนาท,2
อาทิตย์ อักษรศิริ,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/31316403-e41d-4a93-943c-0317033af540.jpg,ประชาชนปฏิรูป,zone,บึงกาฬ,1
ประภัสสร ทองปาน,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/62f8c456-38bb-4d34-8d29-42144d0e98b0.jpg,ประชาชนปฏิรูป,zone,บึงกาฬ,2
พรพรรณ พุฒิพาณิชยกิจ,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/ec9886e5-32ff-4310-9ea5-4d53b4746220.jpg,ประชาชนปฏิรูป,zone,แพร่,1
ธีระ ปิกจุมปู,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/536b14ba-7b05-423d-9be2-6eed887d360c.jpg,ประชาชนปฏิรูป,zone,แพร่,2
กรณรัช คณานุรักษ์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/4fe1f752-8882-4e94-a929-8cfe81eccca0.jpg,ประชาชนปฏิรูป,zone,ภูเก็ต,1
จารึก ขุนทอง,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/c3fb077f-4d9c-4619-b84b-f9ada757fd17.jpg,ประชาชนปฏิรูป,zone,ภูเก็ต,2
แก่นเพชร ดีดวงพันธ์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/df3e3283-a7ef-466f-b048-33166237944e.jpg,ประชาชนปฏิรูป,zone,มุกดาหาร,1
พิชิตชัย ผ่องแผ้ว,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/af0d46f4-78be-4512-ae1d-a217397a90c8.jpg,ประชาชนปฏิรูป,zone,มุกดาหาร,2
ทวีศักดิ์ คำเรือง,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/184b3adf-42e9-40da-b40f-4758b551e880.jpg,ประชาชนปฏิรูป,zone,ลำพูน,1
ชลธิชา แสนพรหม,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/27c9299b-e314-4c57-b0b3-6c2136a5597e.jpg,ประชาชนปฏิรูป,zone,ลำพูน,2
อัษฎางค์ ดวงเอี่ยม,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/08c7332a-24a9-4522-9744-6efa7dcc94d8.jpg,ประชาชนปฏิรูป,zone,สตูล,1
สิรินลักษณ์รายา คณานุรักษ์,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/dd911205-da9b-42de-8740-b6a331f540fd.jpg,ประชาชนปฏิรูป,zone,สตูล,2
โสนิ สุวรรณี,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/88118ea1-61d0-430e-9171-46db21e5849a.jpg,ประชาชนปฏิรูป,zone,อำนาจเจริญ,1
สุรศักดิ์ ถ้ำหิน,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/6f318039-89f1-4249-b0da-c9b1e4ea22c2.jpg,ประชาชนปฏิรูป,zone,อำนาจเจริญ,2
ธีรจิต แก้วใจ,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/db89c521-3483-4ed7-83ae-188ec6b2e218.jpg,ประชาชนปฏิรูป,zone,อุตรดิตถ์,1
สุพัฒน์ ภูสี,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/c2bf33bb-23cd-4584-95ea-14c166315e85.jpg,ประชาชนปฏิรูป,zone,อุตรดิตถ์,2
สาธิต สุขรี,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/22f7aa2a-40a6-45a9-9693-4e0e052daba0.jpg,ประชาชนปฏิรูป,zone,อุทัยธานี,1
ณัฏฐชัย กุลพันธ์,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/77dc6fbc-c9af-48d4-909e-57e02e63db58.jpg,ประชาชนปฏิรูป,zone,อุทัยธานี,2
สุภัค คำมี,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/f0e9f830-64b3-426c-a6ae-2152f9103de4.jpg,ประชาชนปฏิรูป,zone,จันทบุรี,1
โรจนะ สวัสดี,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/6a3cb5f4-1616-4a53-949d-d9d5bd07e6d6.jpg,ประชาชนปฏิรูป,zone,จันทบุรี,2
ธนิดา พรมอ่อน,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/6f52f799-45b8-442f-9f3a-94e56536b96e.jpg,ประชาชนปฏิรูป,zone,จันทบุรี,3
ธวัช นุ้ยรัตน์,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/ea161e3c-9e7b-4edb-b871-54a91f9d1313.jpg,ประชาชนปฏิรูป,zone,ชุมพร,2
ชัยวัฒน์ ขวัญโต,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/386f4c2b-011d-46dc-b121-3af66d2ed414.jpg,ประชาชนปฏิรูป,zone,ชุมพร,3
จิราเจตณ์ อ่อนมาก,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/221084d7-0be2-41cb-98e1-7284c3896055.jpg,ประชาชนปฏิรูป,zone,ตรัง,1
วิสิษฐ์ สังขโชติ,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/12e5232e-5802-4048-a2a0-c4c913281d7b.jpg,ประชาชนปฏิรูป,zone,ตรัง,2
นราวุธ คงปาน,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/a1160c2b-3eb3-42e7-95e4-81f9167fe9f8.jpg,ประชาชนปฏิรูป,zone,ตรัง,3
สงวนศักดิ์ สังข์สำราญสกุล,ส.ส. เขต (ตาก เขต 1),http://202.6.26.16/images/candidate/thumb/63/1/4db8c7a6-1afd-4765-a5c1-ccd3048d75bc.jpg,ประชาชนปฏิรูป,zone,ตาก,1
สุทธิเกียรติ บุตรา,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/83651740-bfac-49d1-af5c-43339ec218de.jpg,ประชาชนปฏิรูป,zone,ตาก,2
สกนธ์ สังข์สำราญสกุล,ส.ส. เขต (ตาก เขต 3),http://202.6.26.16/images/candidate/thumb/63/3/d74b7abf-e834-40fb-88a6-9472fe9a1d86.jpg,ประชาชนปฏิรูป,zone,ตาก,3
วิโรจน์ เป็งแก้ว,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/5d76d85e-d82f-446f-bc22-5c17a5104756.jpg,ประชาชนปฏิรูป,zone,น่าน,1
หฤษฏกูล ชูดิษยสกุล,ส.ส. เขต (น่าน เขต 2),http://202.6.26.16/images/candidate/thumb/55/2/19e93833-cc1a-4ad7-9cbf-a39f57205495.jpg,ประชาชนปฏิรูป,zone,น่าน,2
ทัศนีย์ เจดีย์ยศ,ส.ส. เขต (น่าน เขต 3),http://202.6.26.16/images/candidate/thumb/55/3/a3919582-0dcc-41b6-8b1a-723671310e4f.jpg,ประชาชนปฏิรูป,zone,น่าน,3
บุญชู ละอองอ่อน,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/c460367d-5768-4397-8f2b-c89821bbd2bc.jpg,ประชาชนปฏิรูป,zone,ประจวบคีรีขันธ์,1
ละออ จงศรี,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/eb78f433-6e4f-4a4f-a189-c530188b012c.jpg,ประชาชนปฏิรูป,zone,ประจวบคีรีขันธ์,2
วระภัทร ปิ่นศิริ,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/0aad7573-d6ef-41d0-8347-1ecc8f255252.jpg,ประชาชนปฏิรูป,zone,ประจวบคีรีขันธ์,3
ประสันต์ ชาวกัณหา,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/350ea986-bb15-4b63-8b6e-234d3ca25cdf.jpg,ประชาชนปฏิรูป,zone,ปราจีนบุรี,1
สนิท คำลือ,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/d7d4a62c-c9b0-435d-98b6-52d0fd49c690.jpg,ประชาชนปฏิรูป,zone,ปราจีนบุรี,2
เจริญ เทพมา,ส.ส. เขต (พะเยา เขต 1),http://202.6.26.16/images/candidate/thumb/56/1/37a0e99d-d5bf-4c74-8c75-226cc622641c.jpg,ประชาชนปฏิรูป,zone,พะเยา,1
ชูเชิด ปิยวรรณหงส์,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/7f182ab3-28f2-43b7-bb78-8a3e696d7bae.jpg,ประชาชนปฏิรูป,zone,พะเยา,2
สายฝน ไชยวุฒิ,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/34bc54a3-486c-4ea8-a16b-31c56c0828b6.jpg,ประชาชนปฏิรูป,zone,พะเยา,3
ปาพจน์ สุขาทร,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/1b5c6c68-c9ee-4d96-8067-150ca37aa317.jpg,ประชาชนปฏิรูป,zone,พัทลุง,1
ประสิทธิ์ วงศาสวัสดิ์,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/73a160e2-7e35-4812-86b3-acaf997ffc5f.jpg,ประชาชนปฏิรูป,zone,พัทลุง,2
แก้วใจ ขุนเดื่อ,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/eec2bee6-257d-4f14-905d-97dd09cbc9cd.jpg,ประชาชนปฏิรูป,zone,พัทลุง,3
