name,desc,image,PartyName,memberType,province_name,zone_number
สุรศักดิ์ รมยานนท์,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/100fb50f-f317-4e67-8169-7d79c7ee9ec7.jpg,ประชาชาติ,zone,ตราด,1
มูมัด มั่นคง,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/dc16f3b3-4855-4fd1-880e-1f090a96133b.jpg,ประชาชาติ,zone,นครนายก,1
นิยม หัศนี,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/e925800c-6a22-4d49-ac61-e85a493be300.jpg,ประชาชาติ,zone,พังงา,1
ซัวหยี้ แซ่หัน,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/49ffb995-00bc-437f-ab06-7863ffc473a1.jpg,ประชาชาติ,zone,แม่ฮ่องสอน,1
ชยพล บัวดิษ,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/30d7dbb9-ebf4-4fb9-a9ae-8df1b21b1297.jpg,ประชาชาติ,zone,ระนอง,1
คมสัน ศรีวนิชย์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/575f1f17-2e42-4cfe-89b8-ab1b4e258f76.jpg,ประชาชาติ,zone,อ่างทอง,1
ทวีเกียรติ ใจดี,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/0ea3979e-19df-4806-8ae3-5582a96cd44d.jpg,ประชาชาติ,zone,กระบี่,1
สวัสดิ์ พยายาม,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/8d02e13c-4b35-4c0e-8a28-56a4b84ea549.jpg,ประชาชาติ,zone,กระบี่,2
ปิยนุช ปาปี,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/387e70f6-e954-45b0-8fc0-8e71e2e48511.jpg,ประชาชาติ,zone,ชัยนาท,1
เกริกชัย พลชา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/c2644330-f6ad-46e3-9bea-135bc6ac7456.jpg,ประชาชาติ,zone,บึงกาฬ,2
ธีระเดช พู่นำชัย,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/397dd152-1ee9-4224-8b73-6b897f5e1358.jpg,ประชาชาติ,zone,ภูเก็ต,1
เจริญ ถิ่นเกาะแก้ว,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/58757281-dd1b-470f-9b18-39e7da13814a.jpg,ประชาชาติ,zone,ภูเก็ต,2
พงษ์ศักดิ์ จันทจวง,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/53799ca9-42ec-4bf6-9e85-3dd08e01683d.jpg,ประชาชาติ,zone,มุกดาหาร,1
หาดชัย คนเพียร,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/98c6fc59-aeaa-4c80-a4cb-24da9dfa40bf.jpg,ประชาชาติ,zone,มุกดาหาร,2
นเรศร์ แสงยาสมุทร,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/f126c5a6-6f19-4d13-986f-d122c88edf97.jpg,ประชาชาติ,zone,ลำพูน,1
ชินชัย แก้วเรือน,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/5a02f4a4-2e43-4387-8561-68deba53ddbd.jpg,ประชาชาติ,zone,ลำพูน,2
รอสี ใบกาเด็ม,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/4ae29a0b-911a-49cb-8c77-4c00a7b3b00d.jpg,ประชาชาติ,zone,สตูล,1
สมพร เหมรา,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/d7f0e9e8-7022-4040-a91c-688a8126593e.jpg,ประชาชาติ,zone,สตูล,2
ประเสริฐ กานานนท์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/fc4e57c2-f734-4232-b4e9-e4ffd9c16968.jpg,ประชาชาติ,zone,อำนาจเจริญ,1
ภาณุมาศ เพ็ชรคีรี,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/0e5ac939-c2da-4c5b-83c7-b0092eccb5ee.jpg,ประชาชาติ,zone,ชุมพร,2
เสริมสุข ไฝขาว,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/86b9960c-e396-4cb4-92c8-64c35840914d.jpg,ประชาชาติ,zone,ชุมพร,3
ทวีศักดิ์ คีรีรัตน์,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/f29c02b5-34af-415c-bb48-11062800356d.jpg,ประชาชาติ,zone,ตรัง,1
ทวี ปรังพันธ์,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/77fbdf2e-588d-421b-8f2b-fb2cfc389cc2.jpg,ประชาชาติ,zone,ตรัง,2
เนติวิทย์ ขาวดี,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/d86c7e4e-43e1-42cf-934c-a762ea448a66.jpg,ประชาชาติ,zone,ตรัง,3
