name,desc,image,PartyName,memberType,province_name,zone_number
สาวิตรี สืบสอน,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/aa8b5d57-8687-47ef-84cd-d7a680d47eab.jpg,ประชาธรรมไทย,zone,ตราด,1
ณัฐปคัลภ์ ศักดิ์ปิยเมธากุล,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/03df49ca-1718-4624-a1fb-c9727f9fd0c0.jpg,ประชาธรรมไทย,zone,แม่ฮ่องสอน,1
อำพร ทองนุช,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/944be69e-7230-4f02-bbed-dc313b303c9d.jpg,ประชาธรรมไทย,zone,สมุทรสงคราม,1
ประสาร ชาญน้ำ,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/049506a3-aa1b-402e-bd09-ec65f010e8de.jpg,ประชาธรรมไทย,zone,กระบี่,2
สุริยันต์ วงศ์ษา,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/c3ec292a-ecdc-45ff-abd1-982a6034cf5c.jpg,ประชาธรรมไทย,zone,บึงกาฬ,1
อุทัย วงศ์อามาตย์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/4d0382ed-903e-4766-bca2-56efc50a3c1d.jpg,ประชาธรรมไทย,zone,บึงกาฬ,2
ธวัช เหมืองหม้อ,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/20ccb61a-b970-47b1-8350-87a09d2eaa19.jpg,ประชาธรรมไทย,zone,แพร่,1
คณิน แพร่น่าน,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/1f09437d-954c-44fd-aad4-a7d03032658d.jpg,ประชาธรรมไทย,zone,แพร่,2
สุเมธ เพชรอาวุธ,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/4fd7e3c2-8125-42a8-8f42-1581fa248242.jpg,ประชาธรรมไทย,zone,ภูเก็ต,1
ประเภท ติระนนท์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/53c25ff3-5c40-4d78-b3b6-ee288abbf3cf.jpg,ประชาธรรมไทย,zone,ภูเก็ต,2
สุธาสินี ผิวทอง,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/a2e018c3-a34b-48c2-836e-4d5793e23caa.jpg,ประชาธรรมไทย,zone,มุกดาหาร,1
ชาญสินธ์ สุพรรณโมก,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/803d13e5-23c0-4c78-b2ef-8bff39cf7e9e.jpg,ประชาธรรมไทย,zone,มุกดาหาร,2
วีนัส ยศศิลป์ศักดิ์,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/2c806997-890e-40dc-bac2-732b5324989a.jpg,ประชาธรรมไทย,zone,ลำพูน,1
อัยรีน เส็นติหย๊ะ,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/fb730ee1-bcc6-4791-85d1-d2b62cd477af.jpg,ประชาธรรมไทย,zone,สตูล,1
ฤทธิรงค์ ศิริวิริยานันท์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/64acd42f-7ff9-4a52-95bf-ea24e710c501.jpg,ประชาธรรมไทย,zone,อำนาจเจริญ,1
พจนชัยญ์ สัจธรรม,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/e2231ba9-83a4-4270-8f07-b72fc763da42.jpg,ประชาธรรมไทย,zone,อำนาจเจริญ,2
ภณภัค ทวีเจริญรักข์,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/65d3d2c0-dd2c-46a9-84d3-1b0bffd1f895.jpg,ประชาธรรมไทย,zone,อุตรดิตถ์,1
บุญช่วย จิวิสาย,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/2402c477-8ebf-4eb1-973a-b501bb771245.jpg,ประชาธรรมไทย,zone,อุตรดิตถ์,2
บุศรา ไชยรัตน์ติเวช,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/c67aa96b-6337-4cb7-8395-36932c3c6ecd.jpg,ประชาธรรมไทย,zone,จันทบุรี,1
อ๊อด ไกรนิวรณ์,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/4c636ebd-6ca4-44ca-93bc-bd09efcb5d9f.jpg,ประชาธรรมไทย,zone,จันทบุรี,2
กฤษณพันธุ์ พันธศรีนิธิศ,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/11684004-ccdb-4d29-8b1d-5969bff3175f.jpg,ประชาธรรมไทย,zone,จันทบุรี,3
ปพน รัตนโสภา,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/b3c0640e-b588-4034-83b1-23ece3b43de4.jpg,ประชาธรรมไทย,zone,ชุมพร,1
สมโภชน์ ศรีสุภา,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/85bf8511-ebc5-488e-983d-c30274dfe783.jpg,ประชาธรรมไทย,zone,ชุมพร,2
