name,desc,image,PartyName,memberType,province_name,zone_number
ธีระ สลักเพชร,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/01a27143-b760-4056-aa16-1e18d1c1ff2a.jpg,ประชาธิปัตย์,zone,ตราด,1
สกลชัย อิสระเสนารักษ์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/46db98f7-2dde-4bf6-9383-5b48167e3726.jpg,ประชาธิปัตย์,zone,นครนายก,1
กันตวรรณ ตันเถียร,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/72d2eea6-4310-43d6-970e-748cc0cbd559.jpg,ประชาธิปัตย์,zone,พังงา,1
สมบัติ ยะสินธุ์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/58cb67b8-ded1-4aa2-ae1b-cbb02c38e3ac.jpg,ประชาธิปัตย์,zone,แม่ฮ่องสอน,1
วิรัช ร่มเย็น,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/48ef1c46-c22c-423e-ab20-3bcb9a842492.jpg,ประชาธิปัตย์,zone,ระนอง,1
รังสิมา รอดรัศมี,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/1be4e84f-f5b2-4e81-a3a7-418b7d9b052a.jpg,ประชาธิปัตย์,zone,สมุทรสงคราม,1
สาโรจน์ พันธาสุ,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/7a329966-f3f6-40e2-9f68-e64d91d1d7b9.jpg,ประชาธิปัตย์,zone,สิงห์บุรี,1
อรชุน ประสิทธิ์สมบัติ,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/f2fe2e92-d58e-4fce-ab82-0a3681fd1493.jpg,ประชาธิปัตย์,zone,อ่างทอง,1
สาคร เกี่ยวข้อง,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/ab819a9b-2194-4627-b240-84c109ac7241.jpg,ประชาธิปัตย์,zone,กระบี่,1
สุชีน เอ่งฉ้วน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/bc56dfc7-fee0-4e82-91f1-1ca40890f396.jpg,ประชาธิปัตย์,zone,กระบี่,2
ประชา ยอดวานิช,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/55c132a9-d9cd-4dcc-a998-e3bd95493d92.jpg,ประชาธิปัตย์,zone,ชัยนาท,1
สนธยา ภูษิต,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/9c4a7d7a-b2a5-47e9-88f3-a9016ed42e06.jpg,ประชาธิปัตย์,zone,ชัยนาท,2
ปรวรรษ หวายฤทธิ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/3eb446ed-e640-48dd-a032-ffc4bfd645c7.jpg,ประชาธิปัตย์,zone,บึงกาฬ,1
วินัย ติยะบุตร,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/295bb734-14e2-40f4-b7a2-bb1b9ac1bb78.jpg,ประชาธิปัตย์,zone,บึงกาฬ,2
ธนินจิตรา ศุภศิริ,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/d9ce5727-0d3a-47c4-b85a-70199599ea97.jpg,ประชาธิปัตย์,zone,แพร่,1
