name,desc,image,PartyName,memberType,province_name,zone_number
ธนเดช กล่อมจอหอ,ส.ส. เขต (ขอนแก่น เขต 1),http://202.6.26.16/images/candidate/thumb/40/1/9456e10c-2277-4356-9224-26e94766d0b1.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,1
เรือง สุระเสียง,ส.ส. เขต (ขอนแก่น เขต 2),http://202.6.26.16/images/candidate/thumb/40/2/6937cdff-758e-4f78-b349-8a0ac4deaefe.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,2
พิฐชญาณ์ ธนสุกิจเศรษฐ์,ส.ส. เขต (ขอนแก่น เขต 3),http://202.6.26.16/images/candidate/thumb/40/3/5c179a06-e946-4a6c-9850-9bde196e019a.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,3
สิทธิชัย วรธิพรหมมา,ส.ส. เขต (ขอนแก่น เขต 4),http://202.6.26.16/images/candidate/thumb/40/4/18641c54-46c7-46e1-8a55-d8d35c988cdf.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,4
ทวีสิทธิ์ ขุนน้อย,ส.ส. เขต (ขอนแก่น เขต 5),http://202.6.26.16/images/candidate/thumb/40/5/4836e7b0-f76f-4f75-8f31-d40a1917db58.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,5
กรรณิการ์ พุฒพันธุ์,ส.ส. เขต (ขอนแก่น เขต 7),http://202.6.26.16/images/candidate/thumb/40/7/55311c86-c983-4b04-ae09-a41bffc5181a.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,7
กำพล นาหก,ส.ส. เขต (ขอนแก่น เขต 8),http://202.6.26.16/images/candidate/thumb/40/8/1a199e4d-d692-4586-9865-e67be8cc3b5c.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,8
ประเชิญ โนนพะยอม,ส.ส. เขต (ขอนแก่น เขต 9),http://202.6.26.16/images/candidate/thumb/40/9/268f30e8-3ecc-4245-b8c4-568d31127396.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,9
ประยุกต์ พุฒพันธุ์,ส.ส. เขต (ขอนแก่น เขต 10),http://202.6.26.16/images/candidate/thumb/40/10/84519b8f-52fc-4ef9-bbc3-b2eb26d17db5.jpg,ประชาธิปไตยเพื่อประชาชน,zone,ขอนแก่น,10
ประมวล พิมพ์เสน,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/58/325078ea-450e-4cbf-8ea2-c1318ec0b8c1.jpg,ประชาธิปไตยเพื่อประชาชน,partylist,-,-
รักสยาม นามานุภาพ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/58/f095f116-b31e-4200-97e9-85938c2f9468.jpg,ประชาธิปไตยเพื่อประชาชน,partylist,-,-
สนอง ผาสุข,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/58/6635c96b-1e51-457d-acf4-87199bdecb99.jpg,ประชาธิปไตยเพื่อประชาชน,partylist,-,-
