name,desc,image,PartyName,memberType,province_name,zone_number
สุริยา ดวงจิตร,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/1c808a49-9673-480d-b32e-9718e41f428d.jpg,ประชาธิปไตยใหม่,zone,นครนายก,1
นนทพันธ์ เมฆฉาย,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/3f273b34-4ca3-44ba-88a9-41f30d34d924.jpg,ประชาธิปไตยใหม่,zone,สมุทรสงคราม,1
สมคิด แซ่ฮ่อ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/97692d17-3bc8-4e83-8dc9-b9a5225139b5.jpg,ประชาธิปไตยใหม่,zone,กระบี่,1
กฤษฎีกา มณีมัย,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/8c4f5311-ee88-4b88-bddd-7dfd68e3aa38.jpg,ประชาธิปไตยใหม่,zone,กระบี่,2
กิตติกรณ์ ศรีสงคราม,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/fc4b828a-8a36-4bd3-baba-76c254989b9d.jpg,ประชาธิปไตยใหม่,zone,บึงกาฬ,1
มุนิตย์ แสนวัง,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/f2fe94e2-9720-4454-b3aa-d4be1e890899.jpg,ประชาธิปไตยใหม่,zone,บึงกาฬ,2
อรนรินทร์ รัตนพันธุ์จักร์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/c32cdd00-37c3-490d-b690-5c2f5b851b08.jpg,ประชาธิปไตยใหม่,zone,แพร่,1
พยุงศักดิ์ ชอบชิน,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/e85101c7-27d2-4868-ac02-6a7fcfa004b8.jpg,ประชาธิปไตยใหม่,zone,แพร่,2
เพิ่มศักดิ์ อุณวงค์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/a5a19225-4b0e-48b4-86e5-e9f08a04ff97.jpg,ประชาธิปไตยใหม่,zone,มุกดาหาร,1
สอ คำศิริ,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/b03f09dc-7a22-4973-9c37-3fcd83e5227a.jpg,ประชาธิปไตยใหม่,zone,มุกดาหาร,2
ณภัทร วรรณกลาง,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/0d340fae-bd3b-458b-8a28-7e5fa209ae2f.jpg,ประชาธิปไตยใหม่,zone,อุตรดิตถ์,1
สมคิด พละเดช,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/0bac78b9-474c-43b1-99eb-6ccb34589275.jpg,ประชาธิปไตยใหม่,zone,จันทบุรี,1
สุชาติ บุญสิทธิ์,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/f0b78dba-edbd-40f0-85e4-06cfa1cb1687.jpg,ประชาธิปไตยใหม่,zone,จันทบุรี,2
ประจักษ์ ปัตตะ,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/77da0e5d-5391-4f2a-8bee-4801c064fb12.jpg,ประชาธิปไตยใหม่,zone,จันทบุรี,3
ฐิติรัตน์ สิทธิชัย,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/8547e335-63f0-4808-8b15-e9ba9e1cf57d.jpg,ประชาธิปไตยใหม่,zone,ตรัง,1
สมพร ขวัญศรีสุทธิ์,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/09a50f7a-449c-4758-9db4-fa800ab14dd9.jpg,ประชาธิปไตยใหม่,zone,ตรัง,2
สมหมาย จันทรมาศ,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/556aa709-7e6e-49a6-9f6d-4219f497d8fd.jpg,ประชาธิปไตยใหม่,zone,ตรัง,3
สมจิตร ไชยสลี,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/424fac04-97bc-4a84-a94e-093d26adf54d.jpg,ประชาธิปไตยใหม่,zone,น่าน,1
