name,desc,image,PartyName,memberType,province_name,zone_number
ไสว ชัยบุญเรือง,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/0a6f15ea-6d3c-4f03-aeac-a82a5af8bbe0.jpg,ประชานิยม,zone,ตราด,1
รพีพงศ์ วิริยะกุลมงคล,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/b3e771cc-4976-4a2d-8627-99e6d9b5ce34.jpg,ประชานิยม,zone,นครนายก,1
สมคิด เปาะทอง,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/bbb8cbbd-bca8-4a2a-862b-ea2d25848d03.jpg,ประชานิยม,zone,พังงา,1
กิตติศักดิ์ บัวแก้ว,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/cd945df3-0f92-4cd6-ad39-dafe8a6043a4.jpg,ประชานิยม,zone,แม่ฮ่องสอน,1
คะนอง เนาว์สุวรรณ,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/3450a81d-a8a4-43f6-a4a0-035dd7400125.jpg,ประชานิยม,zone,ระนอง,1
วีระ วิจิตรโชติ,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/a229c4c9-e524-4599-8cd4-3ea960f0384a.jpg,ประชานิยม,zone,สมุทรสงคราม,1
วีระ วัฒนกุล,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/a65cca87-28d1-4322-9b91-2fa354c8d181.jpg,ประชานิยม,zone,สิงห์บุรี,1
บุญสม มากสินธุ์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/a0cb7daf-4651-4546-897c-40cc53207169.jpg,ประชานิยม,zone,อ่างทอง,1
สมมาตร เกลี้ยงสิน,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/01be8b35-d34b-472b-a857-c7764c6de4f8.jpg,ประชานิยม,zone,กระบี่,1
ร้อหมาด คลองมดคัน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/7bc51c3a-96e8-4449-8fd0-b54a1689ce61.jpg,ประชานิยม,zone,กระบี่,2
กฤติเดช กิตติศาลโชติไพบูลย์,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/521192f4-cd0a-4fb0-bd3a-995c5f2a878a.jpg,ประชานิยม,zone,ชัยนาท,1
ไพบูลย์ เมตตาสุต,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/0043852c-cf40-4284-8901-b283936d2ddd.jpg,ประชานิยม,zone,ชัยนาท,2
สมพงษ์ อุตรธรณ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/e3b1b536-42c9-414d-9a97-7fc2145b65b1.jpg,ประชานิยม,zone,บึงกาฬ,1
หนูทอง มาตรพระคลัง,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/c2437662-41cf-452e-81fc-79215ea3d4ad.jpg,ประชานิยม,zone,บึงกาฬ,2
พีระพงค์ ผลประมูล,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/af88d0ba-5160-4e0c-924a-e2364109dd6c.jpg,ประชานิยม,zone,ภูเก็ต,1
