name,desc
รัฐ อภิบาลศรี,สส.เขต (ตราด เขต 1)
มาริสา บำรุง,สส.เขต (นครนายก เขต 1)
โรจน์ศักดิ์ บุญรักษ์,สส.เขต (พังงา เขต 1)
ดำริ สุมงคลลาภ,สส.เขต (แม่ฮ่องสอน เขต 1)
สุไหรหมาน บรรจบ,สส.เขต (ระนอง เขต 1)
ประไพพักตร์ พิทักษ์,สส.เขต (สมุทรสงคราม เขต 1)
พนม ดีสุข,สส.เขต (สิงห์บุรี เขต 1)
นันทพัฒน์ จึงเจริญทรัพย์,สส.เขต (อ่างทอง เขต 1)
วรวงค์ ระฆังทอง,สส.เขต (กระบี่ เขต 1)
วิชิต กลัดสุข,สส.เขต (ชัยนาท เขต 1)
สมชัย ชัยรัตนงามเดช,สส.เขต (ชัยนาท เขต 2)
กิตติมศักดิ์ พระราช,สส.เขต (บึงกาฬ เขต 1)
นวพล สิริกรรณ์,สส.เขต (บึงกาฬ เขต 2)
นฤมล บุญคง,สส.เขต (แพร่ เขต 1)
สวัสดิ์ แปงขา,สส.เขต (แพร่ เขต 2)
ชินสิช ตันเจริญ,สส.เขต (ภูเก็ต เขต 1)
วรธนัท วงศ์นา,สส.เขต (ภูเก็ต เขต 2)
ชินกร ขวัญเมือง,สส.เขต (มุกดาหาร เขต 1)
สำเนียง ใจสุข,สส.เขต (มุกดาหาร เขต 2)
เสรี น้อยโต,สส.เขต (ลำพูน เขต 1)
สุลักษณ์ ปุ๊ดแค,สส.เขต (ลำพูน เขต 2)
หวันอาบีดีน ปะดุกา,สส.เขต (สตูล เขต 1)
บุญโชค คงชู,สส.เขต (สตูล เขต 2)
ณชัย สันตะวงค์,สส.เขต (อำนาจเจริญ เขต 1)
คงไชย สันตะวงศ์,สส.เขต (อำนาจเจริญ เขต 2)
พิสิษฐ์ ธารบัวสวรรค์,สส.เขต (อุตรดิตถ์ เขต 1)
พีระชัย เทพศิริ,สส.เขต (อุตรดิตถ์ เขต 2)
พัฒนวิชญ์ ชินาธิปวีรนนท์,สส.เขต (อุทัยธานี เขต 1)
เอนก พงษ์เขตกิจ,สส.เขต (อุทัยธานี เขต 2)
ปิติพัฒน์ โรจน์ธนารันต์,สส.เขต (จันทบุรี เขต 1)
นเรนทร์ฤทธิ์ แสนหาญ,สส.เขต (จันทบุรี เขต 2)
ชัยพร วรลี,สส.เขต (จันทบุรี เขต 3)
ชณัญชิดา เผือกทอง,สส.เขต (ชุมพร เขต 1)
คมการ ศรีลาวรรณ,สส.เขต (ชุมพร เขต 2)
อานนท์ อินทร์ณรงค์,สส.เขต (ชุมพร เขต 3)
เอนก สีหมอก,สส.เขต (ตาก เขต 1)
ญาณพัฒน์ ไพรมีทรัพย์,สส.เขต (ตาก เขต 2)
วารี ฉันพลันรังสี,สส.เขต (ตาก เขต 3)
วีระชัย บั้งเงิน,สส.เขต (น่าน เขต 1)
สมาน บุตรราช,สส.เขต (น่าน เขต 2)
สมพงษ์ พิมพ์มาศ,สส.เขต (น่าน เขต 3)
พัฒน์ขจร เนียมจันทร์,สส.เขต (ประจวบคีรีขันธ์ เขต 1)
ธัญญมน อุดธิยา,สส.เขต (ประจวบคีรีขันธ์ เขต 2)
เอกอมร ชาติสีลา,สส.เขต (ประจวบคีรีขันธ์ เขต 3)
อโนภาส จิตพิทยานุภาพ,สส.เขต (ปราจีนบุรี เขต 1)
ณกรณ์ นึกเว้น,สส.เขต (ปราจีนบุรี เขต 2)
วรพันธ์ หงษ์ทอง,สส.เขต (ปราจีนบุรี เขต 3)
อำนวย วรรณมณี,สส.เขต (พะเยา เขต 1)
ขวัญชัย บัวผัด,สส.เขต (พะเยา เขต 2)
ชัยยุทธ มานะ,สส.เขต (พะเยา เขต 3)
สมจิต เซ่งฮวด,สส.เขต (พัทลุง เขต 1)
วีระศักดิ์ ฉิมฉ่ำ,สส.เขต (พัทลุง เขต 2)
กัลญา วรกาญจนานนท์,สส.เขต (พัทลุง เขต 3)
จริยวัตร สกุลพรเจริญ,สส.เขต (พิจิตร เขต 1)
จักรภฤต บรรเจิดกิจ,สส.เขต (พิจิตร เขต 2)
