name,desc,image,PartyName,memberType,province_name,zone_number
วันชัย ปัญญะสังข์,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/51ddaa8d-e38e-411a-9907-f89251ee1407.jpg,ประชาไทย,zone,สมุทรสงคราม,1
อภิชน คงอ่อน,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/7e9080e9-5407-47b4-8f4b-2f75e47b691e.jpg,ประชาไทย,zone,อ่างทอง,1
สมบัติ แก้วคง,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/a60337fb-fefe-4622-aa89-a555f6b3035c.jpg,ประชาไทย,zone,ชัยนาท,1
เกษมสุข สวัสดี,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/725424f2-d1c9-4f2f-a5ac-ddfb2f2d52ca.jpg,ประชาไทย,zone,มุกดาหาร,2
กฤศณา สุทธิกุล,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/9de19930-4c13-4e4e-9a4f-a50473529e9e.jpg,ประชาไทย,zone,ลำพูน,2
อังสุมาลี พงษ์สุข,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/92adef39-3f1b-4d70-b072-9316bc6d316f.jpg,ประชาไทย,zone,ชุมพร,2
สุรเชษฐ์ ปานยัง,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/daf6d688-13ab-43e7-8996-8c310cff761c.jpg,ประชาไทย,zone,ตรัง,1
เดโช บุญกราน,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/71a25104-3a3d-40a1-bf5f-cec971dff903.jpg,ประชาไทย,zone,ตรัง,2
ณภัทร ผลิผล,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/e8f5cc58-b0de-44d2-bbcf-4ef90a60cf45.jpg,ประชาไทย,zone,ตรัง,3
รหาญ โพธิ์งาม,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/03a6769c-dde2-4e26-9f27-4637bd7f4306.jpg,ประชาไทย,zone,ปราจีนบุรี,1
รัชวุฒิ วงษ์เสนา,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/9c077d3a-8d8f-461c-b7c3-7eb3efa45407.jpg,ประชาไทย,zone,ปราจีนบุรี,2
นงนุช กองยา,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/3d04de09-7532-4a8a-9461-201d7d0716ba.jpg,ประชาไทย,zone,พะเยา,3
ตันติกร หนูแป้น,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/0df258b3-5580-41d8-bd18-81f64cf6edaf.jpg,ประชาไทย,zone,พัทลุง,1
เจน สงแช้ม,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/3b8a762b-5c01-4543-b6bb-96ef411035e6.jpg,ประชาไทย,zone,พัทลุง,2
เส็น เหมือนกู้,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/a15016a6-60ce-447f-8375-c308c3e602c4.jpg,ประชาไทย,zone,พัทลุง,3
โพธิแก้ว หอธรรมรัตน์,ส.ส. เขต (เพชรบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/76/3/8675b6fb-b2a5-4f40-9ed3-db93cfec605d.jpg,ประชาไทย,zone,เพชรบุรี,3
พรนภา อ้นลำพูน,ส.ส. เขต (สมุทรสาคร เขต 3),http://202.6.26.16/images/candidate/thumb/74/3/390eadcb-5122-49d5-a1e4-0cd5c4bd4e58.jpg,ประชาไทย,zone,สมุทรสาคร,3
วิชัย พรมติ๊บ,ส.ส. เขต (สระบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/19/1/313e3979-e8de-49af-ac25-295077ab88e0.jpg,ประชาไทย,zone,สระบุรี,1
ศุภกร คำสง่า,ส.ส. เขต (สระบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/19/2/3c83d461-9c64-435a-aea3-1bd0d60eabba.jpg,ประชาไทย,zone,สระบุรี,2
