name,desc
สุนทร เทียบเพชร,สส.เขต (บึงกาฬ เขต 1)
สุริยา ภูยี่หวา,สส.เขต (บึงกาฬ เขต 2)
เสน่ห์ เพชรสุทธิ์,สส.เขต (ภูเก็ต เขต 1)
พีรพัฒน์ จตุรภุชกุลพงศ์,สส.เขต (ภูเก็ต เขต 2)
พิเชฐ อ่อนบัวขาว,สส.เขต (มุกดาหาร เขต 2)
เอก พรหมแสน,สส.เขต (ลำพูน เขต 1)
อิสยาภรณ์ ทองธนาคเณศร์,สส.เขต (ลำพูน เขต 2)
อภิปัญญา แก้วมา,สส.เขต (อุตรดิตถ์ เขต 1)
กระแส ยั่งยืน,สส.เขต (อุตรดิตถ์ เขต 2)
ประทีป โจ้งทอง,สส.เขต (ตรัง เขต 1)
มัลลิกา กุศล,สส.เขต (ตาก เขต 1)
กมล ผอบทิพย์,สส.เขต (ตาก เขต 2)
ทองม้วน สิทธิแก้ว,สส.เขต (ตาก เขต 3)
ฐานพัฒน์ วัฒนาศศินนท์,สส.เขต (พะเยา เขต 3)
สมบัติ ขวัญจร,สส.เขต (เลย เขต 1)
นคเรศ ศรีหนารถ,สส.เขต (เลย เขต 2)
ชูชาติ น้อยคุ้ม,สส.เขต (เลย เขต 3)
สยาม ม่วงทอง,สส.เขต (กำแพงเพชร เขต 1)
มลิวรรณ์ บุญหยาด,สส.เขต (กำแพงเพชร เขต 2)
สุจินต์ กันยาวงค์,สส.เขต (กำแพงเพชร เขต 3)
สุนทร ม่วงนอก,สส.เขต (กำแพงเพชร เขต 4)
กิตติพงษ์ ดอกชูรุ่ง,สส.เขต (เพชรบูรณ์ เขต 1)
พงศ์ธนนท์ แก้วเพียร,สส.เขต (เพชรบูรณ์ เขต 3)
พัสราพร แก้วแพง,สส.เขต (เพชรบูรณ์ เขต 4)
ชนากานต์ ริกากรณ์,สส.เขต (เพชรบูรณ์ เขต 5)
เพ็ญผกา อันชัน,สส.เขต (มหาสารคาม เขต 1)
สมัย ประทุม,สส.เขต (มหาสารคาม เขต 2)
ประเวช บุษบง,สส.เขต (มหาสารคาม เขต 3)
ประจวบ พรหมกัลป์,สส.เขต (มหาสารคาม เขต 4)
ราชันย์ ไชยะดา,สส.เขต (มหาสารคาม เขต 5)
นิคม เมฆวงค์ษา,สส.เขต (ชัยภูมิ เขต 1)
ดาริกา อุชาดี,สส.เขต (ชัยภูมิ เขต 2)
เอกวุฒิ พุทธแสน,สส.เขต (ชัยภูมิ เขต 3)
ปัญญา จันทะสุทโท,สส.เขต (ชัยภูมิ เขต 4)
ประยนต์ นวลอนันต์,สส.เขต (ชัยภูมิ เขต 5)
วีระ กุลภัสสรสุทธิ์,สส.เขต (ชัยภูมิ เขต 6)
อรุณรุ่ง อันเพลีย,สส.เขต (นครสวรรค์ เขต 1)
ทัศนีย์ ศรีไชยวาน,สส.เขต (นครสวรรค์ เขต 2)
ธีรพันธ์ ธนากิจเจริญชัย,สส.เขต (นครสวรรค์ เขต 3)
ศิริพร ศรีรัง,สส.เขต (นครสวรรค์ เขต 4)
วิกาณดา วิธีพันธุ์,สส.เขต (นครสวรรค์ เขต 5)
ชัชมาภรณ์ สมบัติทา,สส.เขต (นครสวรรค์ เขต 6)
มานิช บุญชาญ,สส.เขต (สกลนคร เขต 6)
จุฑานาฏฐสิ์ อาสนามินโฒณิ์,สส.เขต (เชียงราย เขต 5)
อภิชาญ อินธรัตนชาติ,สส.เขต (เชียงราย เขต 6)
พิมลรัตน์ ตั้งกิจเจริญถาวร,สส.เขต (เชียงราย เขต 7)
ชัยเกียรติ มิตรสันเทียะ,สส.เขต (ร้อยเอ็ด เขต 1)
สนอง วิระษร,สส.เขต (ร้อยเอ็ด เขต 2)
พวงแก้ว ก่ออิฐ,สส.เขต (ร้อยเอ็ด เขต 3)
เนาวรัตน์ ภาคภูมิ,สส.เขต (ร้อยเอ็ด เขต 5)
มนัศรา แสงแพง,สส.เขต (ร้อยเอ็ด เขต 6)
ชาญชัย ผาลี,สส.เขต (สุรินทร์ เขต 2)
คูณ ถิ่นทัพไทย,สส.เขต (สุรินทร์ เขต 4)
อภัสรา บรรณาการ,สส.เขต (สุรินทร์ เขต 6)
ภวัต ชอบอาภรณ์,สส.เขต (ชลบุรี เขต 3)
พลไพศาล พงศ์อำนาจ,สส.เขต (ชลบุรี เขต 4)
นุชนาถ พิทักษ์กุศลธิติ,สส.เขต (ชลบุรี เขต 7)
ศิริลัคน์ คำศรี,สส.เขต (ชลบุรี เขต 8)
อญาภรณ์ พรหมแก้ว,สส.เขต (นครศรีธรรมราช เขต 1)
กมลรัตน์ ฤทธิชัย,สส.เขต (นครศรีธรรมราช เขต 3)
รักษ์โยธี เจริญรัมย์,สส.เขต (บุรีรัมย์ เขต 1)
สงบ ไชยศิริ,สส.เขต (บุรีรัมย์ เขต 2)
สุทิน ศรีบุตร,สส.เขต (บุรีรัมย์ เขต 3)
ทองสา อ่อนน้ำคำ,สส.เขต (บุรีรัมย์ เขต 4)
สมพงษ์ อ่อนน้ำคำ,สส.เขต (บุรีรัมย์ เขต 5)
นพนัย รักเจริญ,สส.เขต (บุรีรัมย์ เขต 6)
ธรรมรงค์ สดนางรอง,สส.เขต (บุรีรัมย์ เขต 7)
เกรียงศักดิ์ ใหญ่กระโทก,สส.เขต (บุรีรัมย์ เขต 8)
สุธีมนต์ โชติจิรรัฐกรณ์,สส.เขต (สงขลา เขต 3)
สนั่นศักดิ์ ยุทธการ,สส.เขต (สงขลา เขต 4)
อนันตชัย นามสมบูรณ์,สส.เขต (อุดรธานี เขต 6)
อุทิศ มวลลี,สส.เขต (ขอนแก่น เขต 1)
สมจิตร์ อ่วมศิริ,สส.เขต (ขอนแก่น เขต 2)
