name,desc,image,PartyName,memberType,province_name,zone_number
สุรัตนา คำหนู,ส.ส. เขต (พิจิตร เขต 1),http://202.6.26.16/images/candidate/thumb/66/1/1c8f9aa8-1a30-4c53-be69-73584819ee5b.jpg,พลังครูไทย,zone,พิจิตร,1
ปิยพงศ์ เปี่ยมงาม,ส.ส. เขต (พิจิตร เขต 2),http://202.6.26.16/images/candidate/thumb/66/2/23ccbbea-c460-4502-9e52-7ca7e4852407.jpg,พลังครูไทย,zone,พิจิตร,2
ไชยยัณต์ กัณฑษา,ส.ส. เขต (พิจิตร เขต 3),http://202.6.26.16/images/candidate/thumb/66/3/8811f5b8-c53a-43ad-a975-8fee0981be6d.jpg,พลังครูไทย,zone,พิจิตร,3
เฉลิมศักดิ์ ภาระธัญญา,ส.ส. เขต (พระนครศรีอยุธยา เขต 2),http://202.6.26.16/images/candidate/thumb/14/2/fa00126e-7495-4cbe-9ae1-019affa800bd.jpg,พลังครูไทย,zone,พระนครศรีอยุธยา,2
ณัฐดนัย สามภักดี,ส.ส. เขต (พิษณุโลก เขต 1),http://202.6.26.16/images/candidate/thumb/65/1/ac02f1ca-8c00-43b0-ac8c-b8024ff18533.jpg,พลังครูไทย,zone,พิษณุโลก,1
จินตนา เวียงสุข,ส.ส. เขต (พิษณุโลก เขต 2),http://202.6.26.16/images/candidate/thumb/65/2/a40c811a-a345-4d9c-ae11-b9a7b98386a3.jpg,พลังครูไทย,zone,พิษณุโลก,2
สมส่าห์ เวียงสุข,ส.ส. เขต (พิษณุโลก เขต 3),http://202.6.26.16/images/candidate/thumb/65/3/474b2509-5dc3-4fd2-8c44-6606d012348c.jpg,พลังครูไทย,zone,พิษณุโลก,3
ลลิตา สีแสง,ส.ส. เขต (พิษณุโลก เขต 4),http://202.6.26.16/images/candidate/thumb/65/4/0780306d-2eb7-4b0e-9488-fb209e0c6025.jpg,พลังครูไทย,zone,พิษณุโลก,4
ทรงกลด สารีบุตร,ส.ส. เขต (พิษณุโลก เขต 5),http://202.6.26.16/images/candidate/thumb/65/5/e3e58bd4-e829-468e-ba4a-170abcc806f8.jpg,พลังครูไทย,zone,พิษณุโลก,5
สมบัติ นุชนิยม,ส.ส. เขต (เชียงราย เขต 1),http://202.6.26.16/images/candidate/thumb/57/1/f42f4207-7956-446e-8d8c-99b3759b90a4.jpg,พลังครูไทย,zone,เชียงราย,1
จำลอง แก้วศรีลา,ส.ส. เขต (เชียงราย เขต 2),http://202.6.26.16/images/candidate/thumb/57/2/0de368e2-503c-4f0f-b094-77c30e45b0c5.jpg,พลังครูไทย,zone,เชียงราย,2
ยุทธศักดิ์ เป็งสถาน,ส.ส. เขต (เชียงราย เขต 3),http://202.6.26.16/images/candidate/thumb/57/3/93e4c68d-aa08-4a2d-995f-ccc8f62ad6e8.jpg,พลังครูไทย,zone,เชียงราย,3
ประชัน จันระวังยศ,ส.ส. เขต (เชียงราย เขต 4),http://202.6.26.16/images/candidate/thumb/57/4/f0c198c7-313b-4ce9-a8bb-818ddf03a1ef.jpg,พลังครูไทย,zone,เชียงราย,4
จิรพูน มีปัญญา,ส.ส. เขต (เชียงราย เขต 5),http://202.6.26.16/images/candidate/thumb/57/5/39274d1e-7b3e-4d10-952d-e86869412079.jpg,พลังครูไทย,zone,เชียงราย,5
