name,desc,image,PartyName,memberType,province_name,zone_number
สุวรรณ สงวนหงษ์,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/158e34d4-6583-48e4-abf5-ba34010407c9.jpg,พลังชาติไทย,zone,ตราด,1
ประสิทธิ์ วงษ์อินทร์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/72b1e164-aff7-4557-abb3-3a4789ca8b31.jpg,พลังชาติไทย,zone,นครนายก,1
ชัยณรงค์ คงใหม่,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/911e6fb7-8120-4184-9759-70aa91ddd0ee.jpg,พลังชาติไทย,zone,พังงา,1
พันศักดิ์ จิตสว่าง,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/74066258-004a-4763-9589-d0bbf6221c30.jpg,พลังชาติไทย,zone,แม่ฮ่องสอน,1
โกเมนทร์ เพชรภู่,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/daca560f-4d29-483e-93f6-aeb660e51b0d.jpg,พลังชาติไทย,zone,ระนอง,1
สุรศักดิ์ สายแจ้ง,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/04c8015f-e6da-4dbc-8c37-4f6ccf670e03.jpg,พลังชาติไทย,zone,สมุทรสงคราม,1
สุชินชยันต์ เพ็ชรนิล,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/91902a78-d58e-43f0-880b-06415de9f792.jpg,พลังชาติไทย,zone,สิงห์บุรี,1
นิรันดร์ รักดี,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/9f96e4aa-4f0a-4179-a6be-05dda6b8e79f.jpg,พลังชาติไทย,zone,อ่างทอง,1
วาสนา แซ่ฉั่ว,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/efc97bb0-ffe6-4300-9260-0501a2f75121.jpg,พลังชาติไทย,zone,กระบี่,1
เสน่ห์ บุญรัตนะ,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/f970718d-d7d1-4ded-9e76-417599c7c5dd.jpg,พลังชาติไทย,zone,กระบี่,2
วรารัตน์ ทองมาก,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/764c7eda-52ca-4c64-87f0-b5a8380c81f4.jpg,พลังชาติไทย,zone,ชัยนาท,1
บุญชัย จารุพันธุ์,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/1238b91e-5edd-443f-b9dd-9bb0c8e16099.jpg,พลังชาติไทย,zone,ชัยนาท,2
จิรายุ สุทะสิงห์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/9bf94366-b741-422b-a130-1c9966941f73.jpg,พลังชาติไทย,zone,บึงกาฬ,1
ศุภนิจ อธิฏฐาน,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/09ae04e7-86e2-4378-b212-52a787a333ec.jpg,พลังชาติไทย,zone,บึงกาฬ,2
เดช เขื่อนรอบเขต,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/62d3e8c1-630a-4242-8793-9fff80d7eca8.jpg,พลังชาติไทย,zone,แพร่,1
พงศ์พันธ์ กระต่ายทอง,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/1ee0b12e-3a4c-4199-8061-094c29c8a2a7.jpg,พลังชาติไทย,zone,แพร่,2
สุรชาติ คงพูล,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/7ca04045-f3fe-47ab-a7a8-c62e8be3b7b0.jpg,พลังชาติไทย,zone,ภูเก็ต,2
อรรถสิทธิ์ สุวรรณศรี,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/f9259a8b-c940-4618-9b05-55c7f423058c.jpg,พลังชาติไทย,zone,มุกดาหาร,1
อัฐวิทย์ รัชอินทร์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/a43e8c80-d829-47c7-92bd-5e16c22810df.jpg,พลังชาติไทย,zone,มุกดาหาร,2
อนุวัติ สิทธิสงคราม,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/0c274a50-e582-4470-ae66-2ccb1a798304.jpg,พลังชาติไทย,zone,ลำพูน,1
เบญจมาภรณ์ ภู่แก้ว,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/519aba63-ddfc-4546-8091-ee75f9b1a59b.jpg,พลังชาติไทย,zone,ลำพูน,2
ปิยะนุช คงแดง,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/92ea5c03-3564-411d-8de4-53d4945dbd8a.jpg,พลังชาติไทย,zone,สตูล,1
ปิยะดา ทองนอก,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/eb4e3084-3a50-48fb-a11d-5062f3efe143.jpg,พลังชาติไทย,zone,สตูล,2
สุบรรณ แสนวงค์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/a441e524-fc4a-4c2c-a779-d3ff23c44fc3.jpg,พลังชาติไทย,zone,อำนาจเจริญ,1
จรัส ไกยพันธ์,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/8ff08e8e-0bb9-44d4-a9e7-c00ef6d9b8c7.jpg,พลังชาติไทย,zone,อำนาจเจริญ,2
ธนศร คำฟอง,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/2b02e541-f9fd-4624-bd81-55de80d4150c.jpg,พลังชาติไทย,zone,อุตรดิตถ์,1
วิรุทธิ์ เก่งกล้า,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/199c6efe-c102-4f18-9f40-859f0c4bb202.jpg,พลังชาติไทย,zone,อุตรดิตถ์,2
ทิพย์ จูเปีย,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/e873090f-4da6-46b1-8f8e-6806bb776cdf.jpg,พลังชาติไทย,zone,อุทัยธานี,1
สุชานันท์ สารสม,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/358eb815-2a61-44f4-9602-0d7134142184.jpg,พลังชาติไทย,zone,อุทัยธานี,2
กฤตพัฒน์ สุขภาคกิจ,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/16b83f9c-7d44-407f-8bde-1b2a2e906e4a.jpg,พลังชาติไทย,zone,จันทบุรี,1
ภูมิมินทร์ อินทร์สุข,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/e87fe032-b4a3-4eb4-836c-c3509dab8dbf.jpg,พลังชาติไทย,zone,จันทบุรี,2
ประสิทธิ์ ชัยวงศ์,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/1641b0ea-a6ea-4828-9ff6-b731bf51315f.jpg,พลังชาติไทย,zone,จันทบุรี,3
โอฬาร ประสมรัตน์,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/a7b7b73f-b577-4c41-9eb1-6cfd6a8c614a.jpg,พลังชาติไทย,zone,ชุมพร,2
วิกรม ศรีเกตุ,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/09226a21-4956-4b10-8a01-37b553db0946.jpg,พลังชาติไทย,zone,ตรัง,1
จักรกฤต แก้วทอง,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/ac4890b9-f738-4a64-b5d6-76296d09b382.jpg,พลังชาติไทย,zone,ตรัง,2
