name,desc,image,PartyName,memberType,province_name,zone_number
สัมภาษณ์  อัศวภูมิ,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/bd9dc5c9-43e0-4e8f-a414-d8c650e0fe50.jpg,พลังท้องถิ่นไท,zone,ตราด,1
นิคม พุ่มพิจิตร์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/5a4e1c87-667e-466f-b738-7c4c7826b9fd.jpg,พลังท้องถิ่นไท,zone,นครนายก,1
ธรณินทร์ กิตติวรรณาภรณ์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/24a609d9-26f0-4021-ada6-739969b7f30f.jpg,พลังท้องถิ่นไท,zone,พังงา,1
ชรินทร์ทิพย์ ชิงชัยพงษ์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/05e5ecd9-ae1b-482d-89f0-89a3cefbc06b.jpg,พลังท้องถิ่นไท,zone,แม่ฮ่องสอน,1
สราวุฒิ แผ่นมณี,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/5ac51f76-9a92-44a8-8322-9fa983d60e48.jpg,พลังท้องถิ่นไท,zone,ระนอง,1
สุเทพ รุ่งโรจน์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/05b7e3de-02e9-4b19-b28c-6264f2de0276.jpg,พลังท้องถิ่นไท,zone,สิงห์บุรี,1
เอนกพงษ์ อ่วมรอต,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/ef2ab1b4-94f4-47f2-9aad-02f7ee17d1d8.jpg,พลังท้องถิ่นไท,zone,อ่างทอง,1
สุทัศ แก้วแสวง,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/7e1e477e-dab4-4378-b834-8b5a53511b72.jpg,พลังท้องถิ่นไท,zone,กระบี่,1
ภูเมฆ สุวรรณเนาว์,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/777cdb30-b5bf-4222-9756-3e431ecd036a.jpg,พลังท้องถิ่นไท,zone,กระบี่,2
อนนต์ สิงหะสุริยะ,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/14b3b388-81ab-44c5-a56f-4e3214a312a5.jpg,พลังท้องถิ่นไท,zone,ชัยนาท,1
ธนพนธ์ แพ่งสภา,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/39c38503-cf14-4baf-abfc-b2a760c588df.jpg,พลังท้องถิ่นไท,zone,ชัยนาท,2
สุวิทย์ นาคลา,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/033fa2df-7cb6-4ddd-a402-3e795efe5104.jpg,พลังท้องถิ่นไท,zone,บึงกาฬ,1
ศิริวรรณ ปุดตะศิริวงษ์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/6d4bf2a5-bb38-4ecd-b342-196b64542e71.jpg,พลังท้องถิ่นไท,zone,บึงกาฬ,2
กฤตภัทร์ อาริยสุธรรม,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/739e6c85-9dd8-4677-9c7a-b3756951e003.jpg,พลังท้องถิ่นไท,zone,แพร่,1
รบ ถุงคำ,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/332d09c7-2b6b-4eec-b5ac-a5e8fbd1b3c9.jpg,พลังท้องถิ่นไท,zone,แพร่,2
จุฬา สามารถ,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/a8b9a840-dd4d-453a-ac97-1d5b99ef7522.jpg,พลังท้องถิ่นไท,zone,ภูเก็ต,1
สำพันธ์ สิงห์สีดา,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/498e6baf-c0fe-4cbb-8f10-ea555b02a8e8.jpg,พลังท้องถิ่นไท,zone,ภูเก็ต,2
ชัชวาล กลางประพันธ์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/76775e45-e361-49df-b3fd-9d4b579331ae.jpg,พลังท้องถิ่นไท,zone,มุกดาหาร,1
