name,desc,image,PartyName,memberType,province_name,zone_number
กิตติชัย ประสงค์ผล,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/7138ef41-9bcb-4ecf-82c6-ea7087f5aa53.jpg,พลังธรรมใหม่,zone,พังงา,1
รัตน์ติการ เสริมเสรี,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/83a7c94a-312f-445d-a88f-9cd51da219c0.jpg,พลังธรรมใหม่,zone,แม่ฮ่องสอน,1
มอฮัมหมาด มาโนต,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/aaead810-3b96-45d0-86ce-27f0eb7c2a73.jpg,พลังธรรมใหม่,zone,ระนอง,1
นิตินัย พรหมเจริญ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/be84dfcb-a387-427a-8c74-4a4af9c0dc78.jpg,พลังธรรมใหม่,zone,กระบี่,1
นุกูล จินดาวงษ์,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/555ebe56-e2c4-4658-b691-3111aa5fd76f.jpg,พลังธรรมใหม่,zone,กระบี่,2
ชาดี ผ่านชมภู,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/f0bf409f-bd88-4703-a762-296679f1104a.jpg,พลังธรรมใหม่,zone,บึงกาฬ,1
ชาตรี คันธะวงศ์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/8d306bbd-197d-47cc-bf44-73feeaac9362.jpg,พลังธรรมใหม่,zone,แพร่,1
ดนัย พิสุทธิ์วิริยานันท์,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/f735fdee-1f4c-4f8f-8597-208118cc9e55.jpg,พลังธรรมใหม่,zone,แพร่,2
ประวิตร์ นาวี,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/404c7d8a-49ef-4d98-bcd6-39fa54eeed31.jpg,พลังธรรมใหม่,zone,ภูเก็ต,1
พัทธ์พิชญา เพ็ชรพันธ์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/acd02b87-e245-4cd0-9bd0-d41ba76ed402.jpg,พลังธรรมใหม่,zone,ภูเก็ต,2
พนมศักดิ์ เรชิวงศ์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/100fb303-92ca-4220-9653-a29908c91f78.jpg,พลังธรรมใหม่,zone,มุกดาหาร,1
ศรัญญา คืนดี,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/fee25d40-5935-4a8d-af4f-6fad7a2bb335.jpg,พลังธรรมใหม่,zone,มุกดาหาร,2
ชาติชาย เมืองลือ,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/3a1267e7-21ca-400e-88ba-003a00bbdf2b.jpg,พลังธรรมใหม่,zone,ลำพูน,1
กรณ์ดนัย สลีวงค์,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/0108ede8-9450-45a5-98c0-168fc95565c6.jpg,พลังธรรมใหม่,zone,ลำพูน,2
พนัส ใจภักดี,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/713b8aef-5475-439d-b206-43e2a243601a.jpg,พลังธรรมใหม่,zone,อุตรดิตถ์,1
ณัฏฐพล แก้วผัด,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/8b75a2f0-b6d7-48cd-8dbc-8d7e2694a3b0.jpg,พลังธรรมใหม่,zone,อุตรดิตถ์,2
อลงกรณ์ คงฉาง,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/0a76bdcf-6e68-4b44-ab69-46c8d919edfc.jpg,พลังธรรมใหม่,zone,ตรัง,1
วิจัย น้อยหนู,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/15671cc2-7093-4ad8-9db6-a26199eba3e5.jpg,พลังธรรมใหม่,zone,ตรัง,2
อนิวัฒน์ ศรีสุข,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/86fa8832-2e82-4a12-a99d-7f86dd9236f9.jpg,พลังธรรมใหม่,zone,ตรัง,3
จรูญ พูนยิ้ม,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/17fe7a6a-b695-4e68-9e7c-3979a791ebbe.jpg,พลังธรรมใหม่,zone,ประจวบคีรีขันธ์,3
เจริญ ขวัญกลับ,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/70535e16-1a19-4927-9216-34436749f196.jpg,พลังธรรมใหม่,zone,พัทลุง,1
วิเชียร ศรีสุด,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/3c1c0be6-7b3e-43c7-a747-67105a4cdad7.jpg,พลังธรรมใหม่,zone,พัทลุง,2
สุทัศย์ นวลพรหม,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/e30ca2e5-d267-4873-9931-35a3061358e8.jpg,พลังธรรมใหม่,zone,พัทลุง,3
เกียรติชัย มาตะราช,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/22d0293c-ed9e-492e-9854-9e8265065117.jpg,พลังธรรมใหม่,zone,ยโสธร,1
เวียงชัย ขอสุข,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/a0efa60c-093e-4885-b6f0-2ee6188d3f50.jpg,พลังธรรมใหม่,zone,ยโสธร,2
เรืองวิสิฐ วงศ์อนันต์,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/4243ec71-3c8c-4fba-b6d1-a56a84832474.jpg,พลังธรรมใหม่,zone,ยโสธร,3
พิษณุ ถาโคตร,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/4dc6bb13-f13f-4e33-8070-64f237f94c2b.jpg,พลังธรรมใหม่,zone,เลย,1
เทพพิทักษ์ ตั้งตระกูล,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/e686b2e4-e474-4842-951d-2ce8c8ac7b14.jpg,พลังธรรมใหม่,zone,เลย,2
ธิติ พุทธิมา,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/9e95ef8f-83f9-4641-be8b-bd82c57a11f6.jpg,พลังธรรมใหม่,zone,เลย,3
จุรีสิณฑ์ เจริญวดี,ส.ส. เขต (สมุทรสาคร เขต 1),http://202.6.26.16/images/candidate/thumb/74/1/411127ba-d0e8-44ed-9fee-4304fa243d94.jpg,พลังธรรมใหม่,zone,สมุทรสาคร,1
ก้องไทย ทะสดวก,ส.ส. เขต (สมุทรสาคร เขต 3),http://202.6.26.16/images/candidate/thumb/74/3/a4cbf48b-338f-4987-bbbf-06fb98988584.jpg,พลังธรรมใหม่,zone,สมุทรสาคร,3
ทองพูน สมสา,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/f7e43249-2704-4587-8549-9292d76b72ba.jpg,พลังธรรมใหม่,zone,หนองคาย,1
สมคิด โพธิ์จุมพล,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/678e7914-6351-4296-a396-1da7ef56acc1.jpg,พลังธรรมใหม่,zone,หนองคาย,2
ปัญญภพ พรมไชยะ,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/8533556b-d988-4ee6-82c1-3eadb50fba72.jpg,พลังธรรมใหม่,zone,หนองคาย,3
เฉลิมชัย โกษาแสง,ส.ส. เขต (นครพนม เขต 1),http://202.6.26.16/images/candidate/thumb/48/1/288f908d-3375-46b0-b5f1-49d502899412.jpg,พลังธรรมใหม่,zone,นครพนม,1
จำลอง บัวสาย,ส.ส. เขต (นครพนม เขต 2),http://202.6.26.16/images/candidate/thumb/48/2/6c0e2f32-4b33-4def-85d0-09835728eafb.jpg,พลังธรรมใหม่,zone,นครพนม,2
บุญเรือง ตะวังทัน,ส.ส. เขต (นครพนม เขต 3),http://202.6.26.16/images/candidate/thumb/48/3/103d2855-4c75-422d-8535-76e54813d8c8.jpg,พลังธรรมใหม่,zone,นครพนม,3
ภูษิต จันดี,ส.ส. เขต (นครพนม เขต 4),http://202.6.26.16/images/candidate/thumb/48/4/b1d7f1ff-312b-47f7-8159-21d0ee62ab1f.jpg,พลังธรรมใหม่,zone,นครพนม,4
นพรัตน์ แป้นแก้ว,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/d1176f94-f81e-4b2e-b369-62aa86b1980a.jpg,พลังธรรมใหม่,zone,ลพบุรี,1
ทศพล พรหมแพทย์,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/d7d7b728-40c7-414d-8552-b8d9cc9bcc11.jpg,พลังธรรมใหม่,zone,ลพบุรี,2
