name,desc,image,PartyName,memberType,province_name,zone_number
ฐณโชค ตันเอี่ยม,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/b4fd2322-4cfc-40fa-a5b6-fc3c8fd77b01.jpg,พลังประชาธิปไตย,zone,สมุทรสงคราม,1
เพทาย ทัพมงคล,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/589d4591-9d36-4e7e-9cbe-6d5806825420.jpg,พลังประชาธิปไตย,zone,ชัยนาท,1
มุกรวี บุญงาม,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/1692caed-b7eb-4ecc-9141-95353b35d722.jpg,พลังประชาธิปไตย,zone,ชัยนาท,2
สากล นันทรักษ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/61f309de-09a8-4482-8ca8-787a9935b6cf.jpg,พลังประชาธิปไตย,zone,บึงกาฬ,1
จิราพร สุนทรส,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/5f74e939-7b19-449d-9ebe-08461be28731.jpg,พลังประชาธิปไตย,zone,มุกดาหาร,2
จักรพงษ์ กันเพชร,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/8b28ab2d-acfb-4e53-840d-87a52886a3ed.jpg,พลังประชาธิปไตย,zone,ลำพูน,2
วิธวัฒน์ เจ๊ะสัน,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/99e42a2c-9abd-454e-ba30-78ee27c50aff.jpg,พลังประชาธิปไตย,zone,สตูล,1
อภิสิทธิ์ พิทักษ์วาที,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/f93bcb20-acf5-45e5-b137-9e53c52f94ac.jpg,พลังประชาธิปไตย,zone,สตูล,2
สิทธิพงษ์ มั่นคง,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/4a4977a0-ef12-497d-a96e-3aeb36057738.jpg,พลังประชาธิปไตย,zone,อุตรดิตถ์,1
เตชนิธิ ปากเกร็ด,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/d8345a11-78fe-4ebe-89f8-0ce116fb7ea7.jpg,พลังประชาธิปไตย,zone,อุทัยธานี,1
ปุณยนุช ปากเกร็ด,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/18224d8e-918e-42e2-a72b-10a5e36c29b0.jpg,พลังประชาธิปไตย,zone,อุทัยธานี,2
บุญฤทธิ์ คนชม,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/6ceb2c2d-7fda-497f-a203-ddf0185f7447.jpg,พลังประชาธิปไตย,zone,จันทบุรี,3
รจนา เพชรกำเหนิด,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/79d544e3-0638-4726-a96f-a4c02addeceb.jpg,พลังประชาธิปไตย,zone,ชุมพร,1
ประจวบ แก้วประสงค์,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/0f1ff4a7-f983-43d7-9b4b-6edb7480cdd0.jpg,พลังประชาธิปไตย,zone,ชุมพร,2
ประพันธ์ นิยมไทย,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/cc9627dd-86c8-4c24-a3ad-17dc7ade6e95.jpg,พลังประชาธิปไตย,zone,ชุมพร,3
ทวี กาญจนพรหม,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/48261428-31e0-43f1-9baa-948408f377da.jpg,พลังประชาธิปไตย,zone,ตรัง,1
อำนวย ปราบปราม,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/35cd15d0-3477-40e5-b4b5-2bbdf52e91c0.jpg,พลังประชาธิปไตย,zone,ตรัง,2
หยา เต้งชู,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/84ef2ed6-1ac9-49e9-b406-0c2c363c7e82.jpg,พลังประชาธิปไตย,zone,ตรัง,3
ไพศาล สุขใส,ส.ส. เขต (ตาก เขต 1),http://202.6.26.16/images/candidate/thumb/63/1/c82cb2b5-6deb-4f82-8742-eb0c2ea257d8.jpg,พลังประชาธิปไตย,zone,ตาก,1
กองขันธ์ บุญประสิทธิ์,ส.ส. เขต (ปราจีนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/25/3/dfcb6582-3c26-4b2a-bb73-d34dee90f0bc.jpg,พลังประชาธิปไตย,zone,ปราจีนบุรี,3
สุกิจ ปันสุวรรณ,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/dc526c88-089f-4875-b0ec-f49935c10d31.jpg,พลังประชาธิปไตย,zone,พะเยา,2
อรรณพ กัปกัลป์,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/c1439262-7aa8-41ea-bd74-8bfaa586c603.jpg,พลังประชาธิปไตย,zone,พะเยา,3
วรรณา ผลาผล,ส.ส. เขต (พิจิตร เขต 1),http://202.6.26.16/images/candidate/thumb/66/1/22b857ef-eff6-41fd-beb6-bcea92adc076.jpg,พลังประชาธิปไตย,zone,พิจิตร,1
ฐาปนพงศ์ เรืองไชย,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/cfbbadf1-5966-4af3-a3d9-63f67cf6d081.jpg,พลังประชาธิปไตย,zone,ยโสธร,2
กิตติชุติพงศ์ จันทร์แก้ว,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/48566967-1b0d-4e60-a4b2-fa6d0ea2bcf1.jpg,พลังประชาธิปไตย,zone,ยโสธร,3
การียา ดอเลาะมิ,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/f47ceeac-dddc-44b2-ac88-12561477a1cd.jpg,พลังประชาธิปไตย,zone,ยะลา,2
ชัยยะ ธนกุลกานต์,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/781e5c96-7158-4c9b-be60-95f064991c75.jpg,พลังประชาธิปไตย,zone,ยะลา,3
ชนิธาดา ดอกไม้,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/81d436b6-12ef-4ddc-b546-094d0bf47fa5.jpg,พลังประชาธิปไตย,zone,หนองคาย,2
มาโนชย์ แสงสวาสดิ์,ส.ส. เขต (กำแพงเพชร เขต 1),http://202.6.26.16/images/candidate/thumb/62/1/8bc92902-82c5-467c-b42e-6707d1ab0ee5.jpg,พลังประชาธิปไตย,zone,กำแพงเพชร,1
ธันยนันท์ นูมหันต์,ส.ส. เขต (กำแพงเพชร เขต 2),http://202.6.26.16/images/candidate/thumb/62/2/582d29da-dd49-43b9-9039-68bec7c24d0b.jpg,พลังประชาธิปไตย,zone,กำแพงเพชร,2
พยุงศรี นุชแม้น,ส.ส. เขต (กำแพงเพชร เขต 3),http://202.6.26.16/images/candidate/thumb/62/3/e170e18e-1ff3-4bd0-b792-a9090a1d5e80.jpg,พลังประชาธิปไตย,zone,กำแพงเพชร,3
อุดม เจริญขวัญ,ส.ส. เขต (กำแพงเพชร เขต 4),http://202.6.26.16/images/candidate/thumb/62/4/993c22c1-61e0-437f-bcbd-0e55fc4c5cdd.jpg,พลังประชาธิปไตย,zone,กำแพงเพชร,4
ชาติชาย เกียรติแก้วคำ,ส.ส. เขต (ฉะเชิงเทรา เขต 2),http://202.6.26.16/images/candidate/thumb/24/2/4234d6b1-4a31-4d2f-8536-d40a33967608.jpg,พลังประชาธิปไตย,zone,ฉะเชิงเทรา,2
มาณพ ธารีรัตนชัย,ส.ส. เขต (ฉะเชิงเทรา เขต 4),http://202.6.26.16/images/candidate/thumb/24/4/33fc5ce4-b6af-426f-81e5-61ce20a62b16.jpg,พลังประชาธิปไตย,zone,ฉะเชิงเทรา,4
ธรรมธัช แมดมิ่งเหง้า,ส.ส. เขต (นครพนม เขต 1),http://202.6.26.16/images/candidate/thumb/48/1/5c342fdb-1bf7-4324-a2a5-a2ced0ace2e4.jpg,พลังประชาธิปไตย,zone,นครพนม,1
วีระเดชน์ ศรีนครา,ส.ส. เขต (นครพนม เขต 2),http://202.6.26.16/images/candidate/thumb/48/2/bc29c7a8-8031-46b8-8552-f157376d6f69.jpg,พลังประชาธิปไตย,zone,นครพนม,2
อารมณ์ ดีสิงห์บุญ,ส.ส. เขต (นครพนม เขต 3),http://202.6.26.16/images/candidate/thumb/48/3/0de576e1-bafc-44b7-8959-4548834f719e.jpg,พลังประชาธิปไตย,zone,นครพนม,3
นิน สอนคำ,ส.ส. เขต (นครพนม เขต 4),http://202.6.26.16/images/candidate/thumb/48/4/92636c00-4809-4f50-b6e6-ddadf4abe548.jpg,พลังประชาธิปไตย,zone,นครพนม,4
รอนิง อีซอ,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/95125c37-a4c6-41cf-b4fa-fcd8fb8da129.jpg,พลังประชาธิปไตย,zone,นราธิวาส,1
ตามีซี ดอเล๊าะ,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/50d3d6c2-82eb-4f05-8252-200b1870b603.jpg,พลังประชาธิปไตย,zone,นราธิวาส,2
ปัทมา ยือราเฮง,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/76d396f3-16d8-4d58-b404-1cef2fc385bd.jpg,พลังประชาธิปไตย,zone,นราธิวาส,3
อุสมาน สามะอะกา,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/0cef7cdd-2702-4ac6-8aaa-b0d89cc5a818.jpg,พลังประชาธิปไตย,zone,นราธิวาส,4
อับดุลเล๊าะ สะดียามู,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/ad003e6f-1759-467c-ac0c-56b477ef6c8e.jpg,พลังประชาธิปไตย,zone,ปัตตานี,1
ไซดอาลี ไซดอูเซ็ง,ส.ส. เขต (ปัตตานี เขต 2),http://202.6.26.16/images/candidate/thumb/94/2/472d1638-dbab-404d-8186-ccc851dda960.jpg,พลังประชาธิปไตย,zone,ปัตตานี,2
อับดุลสาลาม ยูโซะ,ส.ส. เขต (ปัตตานี เขต 3),http://202.6.26.16/images/candidate/thumb/94/3/487ee32e-a4c4-457f-80ff-bc8ea3675be6.jpg,พลังประชาธิปไตย,zone,ปัตตานี,3
มูฮัมมัดอัสนาน กาหม๊ะ,ส.ส. เขต (ปัตตานี เขต 4),http://202.6.26.16/images/candidate/thumb/94/4/bf790305-c4fc-4a6c-8fa6-fdc56c15e789.jpg,พลังประชาธิปไตย,zone,ปัตตานี,4
