name,desc,image,PartyName,memberType,province_name,zone_number
วุฒิกร โลหะคุปต์,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/54ec3055-4d4a-4be9-a9a7-b9384a4e0914.jpg,พลังประชารัฐ,zone,ตราด,1
สมพงษ์ สายทอง,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/27fa9c6c-3341-4d27-a157-5f1e7041db3c.jpg,พลังประชารัฐ,zone,นครนายก,1
ชาญวิศว์ บรรจงการ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/15d7feb0-b638-4a91-af3d-ce9c1a18104c.jpg,พลังประชารัฐ,zone,พังงา,1
ปัญญา จีนาคำ,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/90da4d8a-0a82-4163-9a98-e431e941f887.jpg,พลังประชารัฐ,zone,แม่ฮ่องสอน,1
พงศกร พรหมสุวรรณ,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/229f06fc-8479-438b-9387-20ba73cc5357.jpg,พลังประชารัฐ,zone,ระนอง,1
สุกานดา ปานะสุทธะ,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/ee686a0a-9485-4922-9721-1301b71c86d6.jpg,พลังประชารัฐ,zone,สมุทรสงคราม,1
โชติวุฒิ ธนาคมานุสรณ์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/3d2acd68-5c66-4e23-854d-73a9ff295a6f.jpg,พลังประชารัฐ,zone,สิงห์บุรี,1
โชคชัย ทองศักดิ์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/ea6a54a1-3cec-493e-9245-3af5638495fe.jpg,พลังประชารัฐ,zone,อ่างทอง,1
แสงชัย วสุนธรา,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/56f7ef1a-367b-4766-9e06-c8fa3c92a370.jpg,พลังประชารัฐ,zone,กระบี่,1
สมัชชา เอ่งฉ้วน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/fa3a6402-917f-40b1-bd28-f6f900330235.jpg,พลังประชารัฐ,zone,กระบี่,2
อนุชา นาคาศัย,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/da2b6e27-9e16-4427-942e-9676f6b7c3a9.jpg,พลังประชารัฐ,zone,ชัยนาท,1
มณเฑียร สงฆ์ประชา,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/363a41f3-b60d-4595-acee-54e34683e275.jpg,พลังประชารัฐ,zone,ชัยนาท,2
เกรียงศักดิ์ วงษ์คงคำ,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/21ef3d7c-7799-4d10-8746-6613a4c8f4bf.jpg,พลังประชารัฐ,zone,บึงกาฬ,1
ไพรวัลย์ อรกุล,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/7f94815e-a656-4ebd-b7a9-be6c49626bd0.jpg,พลังประชารัฐ,zone,บึงกาฬ,2
บุหลัน ราษฎร์คำพรรณ์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/a448fe0d-718e-4a22-a393-c1fa6163d5e0.jpg,พลังประชารัฐ,zone,แพร่,1
วิตติ แสงสุพรรณ,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/1891a627-cb2b-4f4f-98d4-b8fe0ce1a155.jpg,พลังประชารัฐ,zone,แพร่,2
