name,desc,image,PartyName,memberType,province_name,zone_number
สันทัด ระงับทุกข์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/4382a1b8-b29d-439b-bc98-ecd210af3abc.jpg,พลังปวงชนไทย,zone,นครนายก,1
นวลละมัย ขวัญเพ็ชร์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/775b05e6-5aef-457a-9a90-50bc4e28e0ff.jpg,พลังปวงชนไทย,zone,พังงา,1
หม่อทูคำ สถิรภูวดล,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/75f5ad33-81ed-4b7a-aa6a-2adc387fea29.jpg,พลังปวงชนไทย,zone,แม่ฮ่องสอน,1
อาณัติ เอี่ยวภู่,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/dd5e62e1-81dc-4c27-b8ed-4974c07c004a.jpg,พลังปวงชนไทย,zone,ระนอง,1
ณัฐพิสิฐ เจริญถิรวิสิฐ,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/075451e6-9400-4efd-925d-085f4bb90aeb.jpg,พลังปวงชนไทย,zone,สิงห์บุรี,1
อำนาจ กลิ่นอุทัย,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/2acffde1-bd85-4550-84a6-af3de47bd922.jpg,พลังปวงชนไทย,zone,อ่างทอง,1
ชลอ พวงทอง,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/70e302fe-863d-428d-b698-dae29127d494.jpg,พลังปวงชนไทย,zone,ชัยนาท,1
รจนา พลเยี่ยม,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/ffa59e08-359c-42f2-bd31-34730c6d96a4.jpg,พลังปวงชนไทย,zone,บึงกาฬ,1
อภิรักษ์ อำมาตย์สำราญ,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/7fbcc25e-2b07-4b9a-9aa3-33dede83af2d.jpg,พลังปวงชนไทย,zone,บึงกาฬ,2
สมาน ผูกพันธุ์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/2054c2ab-a4ba-47dc-8e3b-7b2eef09a3b5.jpg,พลังปวงชนไทย,zone,แพร่,1
ณธีพัฒน์ อมรหิรัญพงษ์,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/55a2d7a5-4509-47ba-9f3e-f9059e9c60d9.jpg,พลังปวงชนไทย,zone,แพร่,2
สมพร หมวดหรี่,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/e6a612a3-c9ac-4526-b1e0-f6f3a990fb12.jpg,พลังปวงชนไทย,zone,ภูเก็ต,1
