name,desc,image,PartyName,memberType,province_name,zone_number
กุศล ต่อติด,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/6af026e2-413f-41ac-b56b-9cdfbc3aca93.jpg,พลังรัก,zone,ตาก,2
ภัทรศยา สุภาสุข,ส.ส. เขต (ตาก เขต 3),http://202.6.26.16/images/candidate/thumb/63/3/8ebc9eb6-1405-4d1c-be78-ca4e85708d27.jpg,พลังรัก,zone,ตาก,3
สุระเสิน ภูพาน,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/67fd1996-b1e2-44af-91c6-82fd9196cd2b.jpg,พลังรัก,zone,เลย,2
อลิสา เยาวพงษ์,ส.ส. เขต (สระบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/19/3/22151ed4-2e7f-4b43-9237-c0d348c3cc09.jpg,พลังรัก,zone,สระบุรี,3
พงษ์เพชร จันทรา,ส.ส. เขต (พิษณุโลก เขต 5),http://202.6.26.16/images/candidate/thumb/65/5/ab449ffd-9ffe-4b9d-8ec6-1b56c6b5a7bf.jpg,พลังรัก,zone,พิษณุโลก,5
สุพจน์ มั่นหมาย,ส.ส. เขต (ชัยภูมิ เขต 1),http://202.6.26.16/images/candidate/thumb/36/1/797ae46c-5be6-4ccc-b25f-cfd9f85e7170.jpg,พลังรัก,zone,ชัยภูมิ,1
อุ่นเรือน ศิริชาติ,ส.ส. เขต (ชัยภูมิ เขต 2),http://202.6.26.16/images/candidate/thumb/36/2/74e56a74-85a0-4b1e-b4aa-b4157ac86a3c.jpg,พลังรัก,zone,ชัยภูมิ,2
นิภาพร เพ็งคุ้ม,ส.ส. เขต (ชัยภูมิ เขต 5),http://202.6.26.16/images/candidate/thumb/36/5/27d1b06c-231a-4af9-ad81-49e7a19dfdea.jpg,พลังรัก,zone,ชัยภูมิ,5
วิทยา มาเร็ว,ส.ส. เขต (เชียงราย เขต 1),http://202.6.26.16/images/candidate/thumb/57/1/9ccdd1a2-bf24-4a83-b4c9-236c943716b4.jpg,พลังรัก,zone,เชียงราย,1
กีรดิต ผลาผล,ส.ส. เขต (ร้อยเอ็ด เขต 1),http://202.6.26.16/images/candidate/thumb/45/1/63fe6543-9fda-4521-b929-80e8479f0011.jpg,พลังรัก,zone,ร้อยเอ็ด,1
ภริดา นีลพันธ์,ส.ส. เขต (ร้อยเอ็ด เขต 2),http://202.6.26.16/images/candidate/thumb/45/2/21b56ecb-50f3-4ab7-a5a3-085022f9d2b4.jpg,พลังรัก,zone,ร้อยเอ็ด,2
ธวัชชัย มากมูล,ส.ส. เขต (ร้อยเอ็ด เขต 3),http://202.6.26.16/images/candidate/thumb/45/3/2114da28-b128-4eeb-ab86-4091bfa9e1ec.jpg,พลังรัก,zone,ร้อยเอ็ด,3
บัญญัติ พิทักษ์วาปี,ส.ส. เขต (อุดรธานี เขต 1),http://202.6.26.16/images/candidate/thumb/41/1/858ce877-60d9-4c9a-b537-e36dbb19472a.jpg,พลังรัก,zone,อุดรธานี,1
ภัสร์ลักษณ์ โทอุธทา,ส.ส. เขต (อุดรธานี เขต 6),http://202.6.26.16/images/candidate/thumb/41/6/cd25c703-3fbb-4241-b72f-06d2b0925eae.jpg,พลังรัก,zone,อุดรธานี,6
ณภัทร เชื้อพรรณงาม,ส.ส. เขต (เชียงใหม่ เขต 2),http://202.6.26.16/images/candidate/thumb/50/2/a34e7175-79f6-43eb-a0b4-e2d49cf0cfc5.jpg,พลังรัก,zone,เชียงใหม่,2
ทิพย์ ประสพชัยอุดม,ส.ส. เขต (เชียงใหม่ เขต 5),http://202.6.26.16/images/candidate/thumb/50/5/08a8bb16-4661-47af-b7a1-821da9645415.jpg,พลังรัก,zone,เชียงใหม่,5
ฮันนาห์ ภูนิโรจน์,ส.ส. เขต (เชียงใหม่ เขต 6),http://202.6.26.16/images/candidate/thumb/50/6/9e5ee162-e49e-4fe5-8ddc-e7bc350ebbcf.jpg,พลังรัก,zone,เชียงใหม่,6
นัฑชัย ภูนิโรจน์,ส.ส. เขต (เชียงใหม่ เขต 7),http://202.6.26.16/images/candidate/thumb/50/7/5280d1cd-41fb-44c4-b604-48f0cfad5998.jpg,พลังรัก,zone,เชียงใหม่,7
อินทิรา บุตรดวงติ๊บ,ส.ส. เขต (เชียงใหม่ เขต 8),http://202.6.26.16/images/candidate/thumb/50/8/9782de61-72cc-44d0-8a94-5a976bd92cf9.jpg,พลังรัก,zone,เชียงใหม่,8
บุญส่ง ประสพชัยอุดม,ส.ส. เขต (เชียงใหม่ เขต 9),http://202.6.26.16/images/candidate/thumb/50/9/78c25dab-bf26-419e-b695-909a123db726.jpg,พลังรัก,zone,เชียงใหม่,9
ปรัศนียา ภูพาน,ส.ส. เขต (ขอนแก่น เขต 6),http://202.6.26.16/images/candidate/thumb/40/6/ec81ba4a-5951-4ee5-bec4-dee1706703b1.jpg,พลังรัก,zone,ขอนแก่น,6
พงษ์ทรัพย์ เหล็กกล้า,ส.ส. เขต (ขอนแก่น เขต 8),http://202.6.26.16/images/candidate/thumb/40/8/dcb346b1-feab-4e94-9fb7-ddf717e9cd5b.jpg,พลังรัก,zone,ขอนแก่น,8
ณฐกล ดวงพิมพ์,ส.ส. เขต (ขอนแก่น เขต 10),http://202.6.26.16/images/candidate/thumb/40/10/c66e5efb-0a7d-4067-9426-0f844a07b68d.jpg,พลังรัก,zone,ขอนแก่น,10
ณัฐรัตน์ ไหลพิริยกุล,ส.ส. เขต (กรุงเทพมหานคร เขต 4),http://202.6.26.16/images/candidate/thumb/10/4/aad1de73-853d-4d82-9af4-0531c32b839a.jpg,พลังรัก,zone,กรุงเทพมหานคร,4
ภัทรพงศ์ วนะไชยเกียรติ,ส.ส. เขต (กรุงเทพมหานคร เขต 6),http://202.6.26.16/images/candidate/thumb/10/6/f89e7a80-2665-4576-b193-77265ea37a66.jpg,พลังรัก,zone,กรุงเทพมหานคร,6
