name,desc,image,PartyName,memberType,province_name,zone_number
สุริยัน ส่งศฤงคาร,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/49cdb047-184a-4b4e-afd3-f36ede37e5d9.jpg,พลังศรัทธา,zone,พังงา,1
พงษ์บัญชา คชวงษ์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/fa5d1cf2-dfa1-4595-964a-63fb756f9aec.jpg,พลังศรัทธา,zone,อ่างทอง,1
สุวดี เพ็ชรแขก,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/aa42cfe5-5d68-4e91-846f-8902cf85a10f.jpg,พลังศรัทธา,zone,กระบี่,2
บุญนำ วังตะเคน,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/de3e9b43-917c-482c-bfba-55583fdc8df7.jpg,พลังศรัทธา,zone,บึงกาฬ,1
ประวัติชัย พิเศษสินธ์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/e44d1c52-0e75-4a4e-8d90-ba87ba889b22.jpg,พลังศรัทธา,zone,ภูเก็ต,1
มนูญ เรืองสุวรรณ์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/58fc5d24-72fc-4abd-a5d5-095aae6031c6.jpg,พลังศรัทธา,zone,ภูเก็ต,2
หนูพิศ บุญเจริญ,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/cb445034-d98d-41ee-8008-4f4ec3422108.jpg,พลังศรัทธา,zone,อำนาจเจริญ,1
เสน่ห์ ใจภักดี,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/bf0b0c1b-6b17-40ff-a0cf-776f1501750c.jpg,พลังศรัทธา,zone,อำนาจเจริญ,2
วราพร ช่วยเพชร,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/86094739-285c-40a3-81ce-c3973543984f.jpg,พลังศรัทธา,zone,ชุมพร,3
ชฎาภรณ์ อนันตวงศ์,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/dc428580-11d0-447e-8602-87ebc1e7479b.jpg,พลังศรัทธา,zone,พัทลุง,1
ธเนษฐ ศรีอ่อน,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/ab4ee6df-0290-4218-be82-136f726dc2f3.jpg,พลังศรัทธา,zone,พัทลุง,2
สมศักดิ์ สงยอด,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/392b7a43-74c1-4f2d-b4cc-273c00f1b997.jpg,พลังศรัทธา,zone,พัทลุง,3
