name,desc,image,PartyName,memberType,province_name,zone_number
ทวิชา คุปต์ทรงคุณ,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/1c45bd21-4ed0-4f07-882e-cf5bd9c99c12.jpg,พลังสหกรณ์,zone,ภูเก็ต,1
อนันต์ ปลื้มจิตต์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/fc4e952c-c682-4aa7-8a63-42ffeefac145.jpg,พลังสหกรณ์,zone,ภูเก็ต,2
พิษณุ ก่อเกียรติยากุล,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/64a5ff0e-899e-4b6f-a7a0-450afb5f6564.jpg,พลังสหกรณ์,zone,ยะลา,1
ศรชัย สมตระกูล,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/b63de665-e540-48e1-a6de-3017708597d4.jpg,พลังสหกรณ์,zone,เลย,1
ธรรมพล หงษ์คำ,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/b933c7be-bb91-43cd-993a-8f649a749ead.jpg,พลังสหกรณ์,zone,เลย,2
ประสงค์ ศรีสวัสดิ์,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/902a8fa7-744b-485f-a738-68ea000680c8.jpg,พลังสหกรณ์,zone,นราธิวาส,1
ฐิตินันท์ นุ่มบัว,ส.ส. เขต (สุพรรณบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/72/4/fb13752e-16a1-4f61-9826-60b230cbc177.jpg,พลังสหกรณ์,zone,สุพรรณบุรี,4
ชุมพล ปานนาค,ส.ส. เขต (นครศรีธรรมราช เขต 2),http://202.6.26.16/images/candidate/thumb/80/2/a4b27aa5-0d86-42cf-afee-34feef587cbd.jpg,พลังสหกรณ์,zone,นครศรีธรรมราช,2
จันธิมา สุดถนอม,ส.ส. เขต (นครศรีธรรมราช เขต 3),http://202.6.26.16/images/candidate/thumb/80/3/054355ee-2766-4cda-abb6-fe5f4ff0b5c3.jpg,พลังสหกรณ์,zone,นครศรีธรรมราช,3
วิชาญ รัตนบุรี,ส.ส. เขต (นครศรีธรรมราช เขต 4),http://202.6.26.16/images/candidate/thumb/80/4/68cd1b2f-f8e0-483d-9095-25e07ad7d355.jpg,พลังสหกรณ์,zone,นครศรีธรรมราช,4
ธุรการ ยังบรรเทา,ส.ส. เขต (นครศรีธรรมราช เขต 7),http://202.6.26.16/images/candidate/thumb/80/7/38652e15-b021-4945-a27e-f50971e2caa3.jpg,พลังสหกรณ์,zone,นครศรีธรรมราช,7
ฤทธิโชค ชัยฤกษ์,ส.ส. เขต (นครศรีธรรมราช เขต 8),http://202.6.26.16/images/candidate/thumb/80/8/9336eed7-ee2d-4676-a5b8-2c426b4ec18c.jpg,พลังสหกรณ์,zone,นครศรีธรรมราช,8
ปริญญา ด่านชัย,ส.ส. เขต (เชียงใหม่ เขต 8),http://202.6.26.16/images/candidate/thumb/50/8/57865322-7b2e-4a23-963c-fdff1feb59f8.jpg,พลังสหกรณ์,zone,เชียงใหม่,8
จักรี สุจริตธรรม,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/29/25629915-15e5-483a-8983-2cccb0cbfb3f.jpg,พลังสหกรณ์,partylist,-,-
อดิศักดิ์ ฟักแฟง,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/29/1e01e1c2-6bf3-4aa6-858c-88fcbe8c2675.jpg,พลังสหกรณ์,partylist,-,-
วิฑิต ทิวทัศน์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/29/81a67863-d9af-45ce-9c88-b3901a835e4d.jpg,พลังสหกรณ์,partylist,-,-
ทวีป ยอดเศรณี,ส.ส. บัญชีรายชื่อ (ลำดับที่ 4),http://202.6.26.16/images/candidate/thumb/00/29/d2a139c4-55dd-4e1c-b65d-5af3425e31f1.jpg,พลังสหกรณ์,partylist,-,-
