name,desc,image,PartyName,memberType,province_name,zone_number
ไพรัตน์ เกษโกวิท,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/848c78f2-1397-4739-bf41-37b078e3c929.jpg,พลังสังคม,zone,ตราด,1
หาบ คมขำ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/0ea0ce2d-7cb7-4f27-a3e2-c8bdedff906f.jpg,พลังสังคม,zone,พังงา,1
สมคิด สมทรง,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/4fd81316-5f54-4e16-a714-55df88c0a900.jpg,พลังสังคม,zone,กระบี่,1
ไพฑูล สินแสวง,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/de23d7bc-7923-46c8-99a6-c7a469d3157e.jpg,พลังสังคม,zone,บึงกาฬ,1
ยุวดี แก้วสนิท,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/01dce548-81b0-49bf-ab01-e5dc4a018b5b.jpg,พลังสังคม,zone,บึงกาฬ,2
ณัฐวัฒน์ พันธ์ทิพย์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/8357933d-317b-4fb5-a8ea-c5dae4f895d4.jpg,พลังสังคม,zone,ภูเก็ต,2
สมบูรณ์ จูมนา,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/898142f8-45cd-49d8-bd1f-4d9756689315.jpg,พลังสังคม,zone,มุกดาหาร,1
ม่าหมัด เมืองเล่ง,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/e9b94b03-40a1-4747-8d9c-d8cc0b181d5a.jpg,พลังสังคม,zone,สตูล,2
เชิญ มั่นเจ๊ก,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/ea199357-c439-40fa-89cf-5419c79ed659.jpg,พลังสังคม,zone,อุตรดิตถ์,1
มนัส คำมัน,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/71336258-0a93-4ac0-ac80-e21adf979806.jpg,พลังสังคม,zone,อุทัยธานี,1
ชยารัตน์ อินทโชติ,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/54725140-6fd5-4dc5-90de-8686a4f6483f.jpg,พลังสังคม,zone,อุทัยธานี,2
ลัญฉกร ชะนะพาล,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/76d1ff44-090c-421a-937a-f89a2fb9a46c.jpg,พลังสังคม,zone,ตรัง,3
สุวัฒน์ เพชรกาศ,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/c9528105-a9a6-4d1e-8a2f-2443cdf7c46f.jpg,พลังสังคม,zone,พัทลุง,1
ธัญชนก เกื้อทอง,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/3fb6472a-b337-4670-a9cb-aff1b3c3ad5e.jpg,พลังสังคม,zone,พัทลุง,2
สมบูรณ์ คงเนียม,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/09d62db3-a9d8-470b-90ec-45d124e9052a.jpg,พลังสังคม,zone,พัทลุง,3
