name,desc,image,PartyName,memberType,province_name,zone_number
วิเชียร สำราญพรหม,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/6840bc49-be7f-41cc-8d46-03fbd7253f1b.jpg,พลังแผ่นดินทอง,zone,มุกดาหาร,1
ทองบาล วงศ์พนารัตน์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/e68c00b5-b727-486d-b765-0f2d2bf74e86.jpg,พลังแผ่นดินทอง,zone,มุกดาหาร,2
ประกิต นิธิกุล,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/c4db7100-5aed-4e79-b3fe-125baf3bfe69.jpg,พลังแผ่นดินทอง,zone,ตาก,2
สัจจา แสนซุ้ง,ส.ส. เขต (น่าน เขต 2),http://202.6.26.16/images/candidate/thumb/55/2/95bf8c76-5d5c-46fb-a5df-05007e827bf3.jpg,พลังแผ่นดินทอง,zone,น่าน,2
กิตติพงศ์ ใจเปรมปรีดี,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/50e7ab37-6289-40f8-a7b0-5b8307f08d0c.jpg,พลังแผ่นดินทอง,zone,พะเยา,2
รุ่งโรจน์ แก่นแก้ว,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/c56249a4-557d-46b6-91bf-52570a03f65c.jpg,พลังแผ่นดินทอง,zone,ยโสธร,1
ปราโมทย์ พรมพินิจ,ส.ส. เขต (นครพนม เขต 4),http://202.6.26.16/images/candidate/thumb/48/4/feb050f1-9c2b-4098-b39a-5073782937f7.jpg,พลังแผ่นดินทอง,zone,นครพนม,4
ธนสิน ทรัพย์ซ้อน,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/5be08a44-d25e-4f02-8d53-5e8ad310d7b7.jpg,พลังแผ่นดินทอง,zone,ลพบุรี,1
ณัฐธพงษ์ บัวบาล,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/5a8e4aaf-a30a-40bf-b21e-54824d8aeed7.jpg,พลังแผ่นดินทอง,zone,ลพบุรี,2
จารุกิตติ์ คงสุวรรณ,ส.ส. เขต (ลพบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/16/3/81ec8aca-feb1-486e-ad57-8324108d110e.jpg,พลังแผ่นดินทอง,zone,ลพบุรี,3
วีระ ละออเอี่ยม,ส.ส. เขต (ลพบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/16/4/116faf9d-11b6-4f46-b675-7af47f1f7202.jpg,พลังแผ่นดินทอง,zone,ลพบุรี,4
สำเนียง แสงบุดดี,ส.ส. เขต (พิษณุโลก เขต 5),http://202.6.26.16/images/candidate/thumb/65/5/6b397a46-946d-4095-9439-d3de32ac0899.jpg,พลังแผ่นดินทอง,zone,พิษณุโลก,5
สุเวช มูลธิยะ,ส.ส. เขต (มหาสารคาม เขต 2),http://202.6.26.16/images/candidate/thumb/44/2/68c6540d-4284-44db-8ad4-3b21750fd978.jpg,พลังแผ่นดินทอง,zone,มหาสารคาม,2
