name,desc,image,PartyName,memberType,province_name,zone_number
ณรงค์ ศิริมุสิกะ,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/5f1cab47-0fad-49a0-872a-0f77d35c57b0.jpg,พลังแรงงานไทย,zone,พัทลุง,3
บุญรอด นิลไชย,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/6423de9c-613c-4384-bd23-a2747c2523bb.jpg,พลังแรงงานไทย,zone,ยโสธร,1
นิธิมา โพธิผล,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/4f473b52-fe52-4de0-b43d-658d30e1889b.jpg,พลังแรงงานไทย,zone,หนองบัวลำภู,1
สะหวั่น แสนเหลา,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/0b96ee32-609a-455c-b2a5-8ac146216906.jpg,พลังแรงงานไทย,zone,หนองบัวลำภู,2
อัครวารี บุญศรีสิริเมธากุล,ส.ส. เขต (พระนครศรีอยุธยา เขต 1),http://202.6.26.16/images/candidate/thumb/14/1/1e3e8197-2b41-4f81-a516-085f8a05485f.jpg,พลังแรงงานไทย,zone,พระนครศรีอยุธยา,1
ดวงใจ บุตรคำโชติ,ส.ส. เขต (มหาสารคาม เขต 5),http://202.6.26.16/images/candidate/thumb/44/5/81496c6f-ba22-4851-8c08-40b534884a71.jpg,พลังแรงงานไทย,zone,มหาสารคาม,5
กชพร เบ้าลี,ส.ส. เขต (ชัยภูมิ เขต 1),http://202.6.26.16/images/candidate/thumb/36/1/ab5e1c74-8d6c-454c-b618-d6f540f5153f.jpg,พลังแรงงานไทย,zone,ชัยภูมิ,1
รัชนก ชวดชัยภูมิ,ส.ส. เขต (ชัยภูมิ เขต 2),http://202.6.26.16/images/candidate/thumb/36/2/cd006616-db3a-40b5-98b4-9ac3c63168cd.jpg,พลังแรงงานไทย,zone,ชัยภูมิ,2
ณภัทร ละแมนชัย,ส.ส. เขต (ชัยภูมิ เขต 3),http://202.6.26.16/images/candidate/thumb/36/3/d57cce8b-17c3-408f-bea5-3763c37fd2a8.jpg,พลังแรงงานไทย,zone,ชัยภูมิ,3
นิตยา มะโนชัย,ส.ส. เขต (ชัยภูมิ เขต 4),http://202.6.26.16/images/candidate/thumb/36/4/fa1ce5d9-f197-4e02-828c-22f4da7d5474.jpg,พลังแรงงานไทย,zone,ชัยภูมิ,4
กิติพร เศรษฐภูมิภักดี,ส.ส. เขต (ชัยภูมิ เขต 6),http://202.6.26.16/images/candidate/thumb/36/6/6a37daad-78aa-4ec5-80f6-3df4d0e23084.jpg,พลังแรงงานไทย,zone,ชัยภูมิ,6
สงวน ศรีขัดเค้า,ส.ส. เขต (ร้อยเอ็ด เขต 1),http://202.6.26.16/images/candidate/thumb/45/1/a41780da-bcb4-41db-bcbd-d48835dbc37a.jpg,พลังแรงงานไทย,zone,ร้อยเอ็ด,1
คำภู เนตรวงษ์,ส.ส. เขต (ร้อยเอ็ด เขต 2),http://202.6.26.16/images/candidate/thumb/45/2/8b1bd47d-ca2c-4aed-9f67-a06b21047d45.jpg,พลังแรงงานไทย,zone,ร้อยเอ็ด,2
สวัสดิ์ นาเหนือ,ส.ส. เขต (ร้อยเอ็ด เขต 5),http://202.6.26.16/images/candidate/thumb/45/5/17057290-26c8-41ca-ac5b-4f2dcbc27aa6.jpg,พลังแรงงานไทย,zone,ร้อยเอ็ด,5
สิงห์ ละอองศรี,ส.ส. เขต (สุรินทร์ เขต 4),http://202.6.26.16/images/candidate/thumb/32/4/6e1c835a-6e1a-463b-b8e3-85d19485f2c7.jpg,พลังแรงงานไทย,zone,สุรินทร์,4
สมเป็นญาติ ตอนขันทอง,ส.ส. เขต (สุรินทร์ เขต 7),http://202.6.26.16/images/candidate/thumb/32/7/77a346c2-93b0-497e-8d44-9a7afe985d90.jpg,พลังแรงงานไทย,zone,สุรินทร์,7
พิเชษฐ์ ภูแก้ว,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/88/13234144-0e26-4ea2-8d1b-e195100a79f3.jpg,พลังแรงงานไทย,partylist,-,-
บุญถม ธรรมศิริ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/88/87bd4b09-5e9b-41fe-b940-8f6ab5e5383a.jpg,พลังแรงงานไทย,partylist,-,-
สัญจร ระดาไสย,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/88/3b337d5f-2a65-467b-b81f-b1ca7ec38269.jpg,พลังแรงงานไทย,partylist,-,-
สำราญ บุตรคำโชติ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 4),http://202.6.26.16/images/candidate/thumb/00/88/2a34d379-1ac8-4764-84df-4ca6747f166a.jpg,พลังแรงงานไทย,partylist,-,-
สนั่น เสียงสนั่น,ส.ส. บัญชีรายชื่อ (ลำดับที่ 5),http://202.6.26.16/images/candidate/thumb/00/88/a1ad204d-152f-43e2-ae24-f12180fc5edd.jpg,พลังแรงงานไทย,partylist,-,-
ทองดา โรเด,ส.ส. บัญชีรายชื่อ (ลำดับที่ 6),http://202.6.26.16/images/candidate/thumb/00/88/2e77592d-9a5a-41d7-8f5d-37051f57c421.jpg,พลังแรงงานไทย,partylist,-,-
