name,desc,image,PartyName,memberType,province_name,zone_number
เกษมชัย ชนิดกานนท์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/41aacd61-6402-4a3d-a450-adef13c91568.jpg,พลังไทยดี,zone,แม่ฮ่องสอน,1
นันท์ธพัท เตชศรีวิโรจน์,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/f6a77211-1ef7-4f0e-a728-26bb40ad835f.jpg,พลังไทยดี,zone,สมุทรสงคราม,1
สหาย นิลกำแหง,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/b6d18a69-229e-4e2f-8706-aab9251c8a03.jpg,พลังไทยดี,zone,ชัยนาท,1
อนันต์ น้อยศักดิ์,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/0270ea4d-fb5b-4f20-9c36-9e26f4eb2e47.jpg,พลังไทยดี,zone,ชัยนาท,2
สุนทร คำสี,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/aea1daa0-53eb-4d52-b410-0c149264850f.jpg,พลังไทยดี,zone,แพร่,1
จรรยมณฑน์ จันทร์รักษา,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/e2760d0e-e91e-4bbe-8e63-fd3c3479b483.jpg,พลังไทยดี,zone,แพร่,2
จำรัส พวงมะเดื่อ,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/d42b4cf8-3554-4d50-99cb-1a63e2eddfd6.jpg,พลังไทยดี,zone,อุตรดิตถ์,1
สมชาย ฉากเขียน,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/495153bd-9eff-4149-902a-a3ad7c2184f6.jpg,พลังไทยดี,zone,จันทบุรี,1
สุภัทริดา อินทร์อ่ำ,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/b7808a8e-d78b-4061-b980-ed751d471d85.jpg,พลังไทยดี,zone,จันทบุรี,2
สุมนา แสงทอง,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/8a62177d-426c-4fd8-b255-a4e9bbff614d.jpg,พลังไทยดี,zone,จันทบุรี,3
ชนะชัย โนรีวงศ์,ส.ส. เขต (ฉะเชิงเทรา เขต 2),http://202.6.26.16/images/candidate/thumb/24/2/bdb27687-941a-4f83-82bb-f4108e945aec.jpg,พลังไทยดี,zone,ฉะเชิงเทรา,2
ศุภมาศ ปิ่นเจริญ,ส.ส. เขต (ฉะเชิงเทรา เขต 4),http://202.6.26.16/images/candidate/thumb/24/4/2f8c1161-589c-44be-9e23-282c7c06a99f.jpg,พลังไทยดี,zone,ฉะเชิงเทรา,4
รามัยดา ฐานะนิธิภร,ส.ส. เขต (เชียงใหม่ เขต 9),http://202.6.26.16/images/candidate/thumb/50/9/11b685dc-b99b-4418-ba9a-f83a977dfb52.jpg,พลังไทยดี,zone,เชียงใหม่,9
สาธุ อนุโมทามิ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/101/e79135cc-013c-497a-a7f1-243be88e420f.jpg,พลังไทยดี,partylist,-,-
สำเภา บุญเปี่ยม,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/101/416eccd7-37f1-4836-a2f0-f1df89ba8273.jpg,พลังไทยดี,partylist,-,-
ไพโรจน์ กระทุ่มทองเลิศ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/101/698101d7-8dbf-48a9-a166-8d2d29919955.jpg,พลังไทยดี,partylist,-,-
มานะ สุดสงวน,ส.ส. บัญชีรายชื่อ (ลำดับที่ 4),http://202.6.26.16/images/candidate/thumb/00/101/cf053eb6-6ddc-4ec6-a34c-4b4faa2873b9.jpg,พลังไทยดี,partylist,-,-
เนรมิต จันทร์ทอง,ส.ส. บัญชีรายชื่อ (ลำดับที่ 5),http://202.6.26.16/images/candidate/thumb/00/101/38976bad-fe35-46b1-950e-5713e2044549.jpg,พลังไทยดี,partylist,-,-
ชนิด เกาะกลาง,ส.ส. บัญชีรายชื่อ (ลำดับที่ 6),http://202.6.26.16/images/candidate/thumb/00/101/25349b3a-4d73-4b16-86f3-14cfbe236a94.jpg,พลังไทยดี,partylist,-,-
