name,desc,image,PartyName,memberType,province_name,zone_number
พิทยา แท่นแก้ว,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/b4c69b49-8c02-41f9-934f-51dfb87e1b9e.jpg,พลังไทยรักชาติ,zone,ระนอง,1
ณัฐพงษ์ พุ่มเทียน,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/d6c72b58-38e3-4262-a81f-81867b67b794.jpg,พลังไทยรักชาติ,zone,สมุทรสงคราม,1
เลิศศักดิ์ ละมุลสุข,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/355634be-41c1-4a98-8e81-5992fdd0e84d.jpg,พลังไทยรักชาติ,zone,กระบี่,1
สำนวน ดาวตุ่น,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/d65d0018-2cd1-49e3-b22a-53044230cf85.jpg,พลังไทยรักชาติ,zone,ชุมพร,1
สุภาภรณ์ แซ่ก้อง,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/66c02f27-32ea-42d1-a954-3976b232a311.jpg,พลังไทยรักชาติ,zone,ชุมพร,3
วรากร โตเอี่ยม,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/3ce7912a-6649-494d-9ee6-27160a7ada35.jpg,พลังไทยรักชาติ,zone,ประจวบคีรีขันธ์,1
กัลยรักษ์ มณีทุม,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/092793e6-4592-48f3-a1e7-fd01a74aa0f7.jpg,พลังไทยรักชาติ,zone,ประจวบคีรีขันธ์,2
ฐาปกรณ์ รอดสวัสดิ์,ส.ส. เขต (เพชรบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/76/1/743ff48c-7cd8-4b27-87a0-dc6ecdc32739.jpg,พลังไทยรักชาติ,zone,เพชรบุรี,1
ธนัชพร ศรีฟ้า,ส.ส. เขต (เพชรบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/76/2/c79a78ef-4b75-4e47-9cd8-db5a7d6e6d04.jpg,พลังไทยรักชาติ,zone,เพชรบุรี,2
สนั่น คมขำ,ส.ส. เขต (เพชรบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/76/3/0e56f6d0-365b-4d06-a486-a747aad04b1c.jpg,พลังไทยรักชาติ,zone,เพชรบุรี,3
อับดุลเลาะมะ สาวา,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/c335cebb-7e02-4d43-8bc3-59693f7c958b.jpg,พลังไทยรักชาติ,zone,ยะลา,2
กรรณิการ์ ปวงกิจจา,ส.ส. เขต (สมุทรสาคร เขต 1),http://202.6.26.16/images/candidate/thumb/74/1/bba90513-36ed-473c-b72f-8fc3178024e3.jpg,พลังไทยรักชาติ,zone,สมุทรสาคร,1
พรพรรณ สมบูรณ์,ส.ส. เขต (สมุทรสาคร เขต 3),http://202.6.26.16/images/candidate/thumb/74/3/61976a98-0736-4ad4-91e4-89e234fef72d.jpg,พลังไทยรักชาติ,zone,สมุทรสาคร,3
ยิ่งยศ สียางนอก,ส.ส. เขต (ฉะเชิงเทรา เขต 3),http://202.6.26.16/images/candidate/thumb/24/3/c215e15a-f6f1-4267-b411-79e4a96b6aa5.jpg,พลังไทยรักชาติ,zone,ฉะเชิงเทรา,3
รอซือดี ลาเต๊ะ,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/6163f6af-7797-43f1-b4c5-1df0b1beef45.jpg,พลังไทยรักชาติ,zone,นราธิวาส,1
มาเรียม ศรีตุลาการ,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/0468d9de-e096-4ab1-afdd-102a18f672d2.jpg,พลังไทยรักชาติ,zone,นราธิวาส,2
มาหะมะรอฟี เจ๊ะเด็ง,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/9ba7a9f7-5851-4a6a-b66c-edb8cec3046b.jpg,พลังไทยรักชาติ,zone,นราธิวาส,4
บดินทร์ มีแฮ,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/4bdfd34e-8eff-4d76-b45d-bfb299098f86.jpg,พลังไทยรักชาติ,zone,ปัตตานี,1
อายุ สะสอเล็ง,ส.ส. เขต (ปัตตานี เขต 3),http://202.6.26.16/images/candidate/thumb/94/3/0bf85746-74b8-4b47-b0d5-64ed866c8e25.jpg,พลังไทยรักชาติ,zone,ปัตตานี,3
อดุลย์ สาและ,ส.ส. เขต (ปัตตานี เขต 4),http://202.6.26.16/images/candidate/thumb/94/4/57a50735-3f4e-44c4-8e1f-c34d32dd7b10.jpg,พลังไทยรักชาติ,zone,ปัตตานี,4
วิเชียร กิจโรณี,ส.ส. เขต (พระนครศรีอยุธยา เขต 4),http://202.6.26.16/images/candidate/thumb/14/4/4ae016a9-2769-41e1-9ce8-870f9ad3d681.jpg,พลังไทยรักชาติ,zone,พระนครศรีอยุธยา,4
ณรงค์ ไทยศรี,ส.ส. เขต (สุพรรณบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/72/3/1eb39c97-ec85-4ec4-b54b-260b1eeb0112.jpg,พลังไทยรักชาติ,zone,สุพรรณบุรี,3
ปัญญา ภู่คง,ส.ส. เขต (กาญจนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/71/3/4d30eece-cef7-43ae-8de6-76960645f6f1.jpg,พลังไทยรักชาติ,zone,กาญจนบุรี,3
ฉันท์กิจ ภาคภูมิ,ส.ส. เขต (กาญจนบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/71/4/d259a45b-d760-443c-b8fe-a1545b551ed4.jpg,พลังไทยรักชาติ,zone,กาญจนบุรี,4
อัครวินทร์ แพรกนก,ส.ส. เขต (กาญจนบุรี เขต 5),http://202.6.26.16/images/candidate/thumb/71/5/75dd793e-bb6e-4d3b-ba5e-75f0d0cbd2e4.jpg,พลังไทยรักชาติ,zone,กาญจนบุรี,5
อรอนงค์ ศรีพลเรือน,ส.ส. เขต (นครปฐม เขต 1),http://202.6.26.16/images/candidate/thumb/73/1/ca38a838-096f-47d8-8f84-857cf7ad15b8.jpg,พลังไทยรักชาติ,zone,นครปฐม,1
ประเสริฐ โสดามรรค,ส.ส. เขต (นครปฐม เขต 2),http://202.6.26.16/images/candidate/thumb/73/2/1a4395f3-efb3-416f-b3ca-59270baec1e9.jpg,พลังไทยรักชาติ,zone,นครปฐม,2
อภิญญา มูลทรงเกียรติ์,ส.ส. เขต (นครปฐม เขต 3),http://202.6.26.16/images/candidate/thumb/73/3/117e493e-8875-4e27-96d4-c7bbca3a4321.jpg,พลังไทยรักชาติ,zone,นครปฐม,3
วีรวัฒน์ ศักดิ์สุภาพ,ส.ส. เขต (นครปฐม เขต 4),http://202.6.26.16/images/candidate/thumb/73/4/24bf2189-b246-4b68-a684-e712f38aeb31.jpg,พลังไทยรักชาติ,zone,นครปฐม,4
สิรสันต์ พันธุ์สุวรรณ,ส.ส. เขต (นครปฐม เขต 5),http://202.6.26.16/images/candidate/thumb/73/5/3a26e475-2684-4e1f-a914-605700c0891b.jpg,พลังไทยรักชาติ,zone,นครปฐม,5
สุธน สามเสน,ส.ส. เขต (ราชบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/70/2/aa29a4bc-026b-4acf-861a-aefd3121aaa0.jpg,พลังไทยรักชาติ,zone,ราชบุรี,2
สุกัญญา ตันติธีระศักดิ์,ส.ส. เขต (ราชบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/70/3/6d58dec1-6ff1-4bff-ba4b-bf3e7f1e7c81.jpg,พลังไทยรักชาติ,zone,ราชบุรี,3
ไตรสิทธิ์ รุจิธนเศรษฐ์,ส.ส. เขต (นนทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/12/2/9129dbf9-bb9d-4070-80f6-cab662c7d360.jpg,พลังไทยรักชาติ,zone,นนทบุรี,2
เผด็จ พิษณุแสง,ส.ส. เขต (นนทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/12/3/f1f93e16-46c0-4fe4-91c0-b3a6ce4ff01c.jpg,พลังไทยรักชาติ,zone,นนทบุรี,3
สุชาต แสนไชย,ส.ส. เขต (สกลนคร เขต 3),http://202.6.26.16/images/candidate/thumb/47/3/85ccb7ad-738f-4d71-a1eb-0454ccc104db.jpg,พลังไทยรักชาติ,zone,สกลนคร,3
มงคล คำพิทูล,ส.ส. เขต (สกลนคร เขต 6),http://202.6.26.16/images/candidate/thumb/47/6/f7a52523-5774-4e14-9c26-0cbfcb739788.jpg,พลังไทยรักชาติ,zone,สกลนคร,6
อัจฉริยะ จุฬารี,ส.ส. เขต (สุรินทร์ เขต 5),http://202.6.26.16/images/candidate/thumb/32/5/17373f75-882f-424a-ad3e-c5ffc3f81c84.jpg,พลังไทยรักชาติ,zone,สุรินทร์,5
เกวลิน เหิมฮึก,ส.ส. เขต (สุรินทร์ เขต 7),http://202.6.26.16/images/candidate/thumb/32/7/5e781c92-d67d-46b8-ab9e-4d01a7723ad5.jpg,พลังไทยรักชาติ,zone,สุรินทร์,7
นิภาวัน แอมโอด,ส.ส. เขต (ศรีสะเกษ เขต 3),http://202.6.26.16/images/candidate/thumb/33/3/6031004d-fb23-4462-b3d4-04df299047f9.jpg,พลังไทยรักชาติ,zone,ศรีสะเกษ,3
ศุภสิทธิ์ อินทชาติ,ส.ส. เขต (ศรีสะเกษ เขต 4),http://202.6.26.16/images/candidate/thumb/33/4/0260e8d5-a11e-4e72-982b-573feaf74fe8.jpg,พลังไทยรักชาติ,zone,ศรีสะเกษ,4
ดอน อินทชาติ,ส.ส. เขต (ศรีสะเกษ เขต 5),http://202.6.26.16/images/candidate/thumb/33/5/fdc0858d-1bd1-42b4-b075-fe9c8b941d1e.jpg,พลังไทยรักชาติ,zone,ศรีสะเกษ,5
ลดาพร ดอยส์ซิง,ส.ส. เขต (ศรีสะเกษ เขต 8),http://202.6.26.16/images/candidate/thumb/33/8/6465e726-9aac-45f7-8eac-03b9ca45dd2e.jpg,พลังไทยรักชาติ,zone,ศรีสะเกษ,8
ชลัช กลิ่นรัตน์,ส.ส. เขต (สงขลา เขต 2),http://202.6.26.16/images/candidate/thumb/90/2/8d867b2a-7ee6-4759-8c3b-18a3b1a82616.jpg,พลังไทยรักชาติ,zone,สงขลา,2
เนติมา สะระ,ส.ส. เขต (สงขลา เขต 3),http://202.6.26.16/images/candidate/thumb/90/3/9eb375ef-e7cd-4502-8029-2b58721bc735.jpg,พลังไทยรักชาติ,zone,สงขลา,3
มานิตย์ เซ่งเข็ม,ส.ส. เขต (สงขลา เขต 8),http://202.6.26.16/images/candidate/thumb/90/8/f6b646b8-e089-4e7f-8253-9ae1f5f90825.jpg,พลังไทยรักชาติ,zone,สงขลา,8
วัลภา สิทธิพาณิชย์,ส.ส. เขต (เชียงใหม่ เขต 2),http://202.6.26.16/images/candidate/thumb/50/2/3ef805c6-0111-4696-83ab-d48b924af894.jpg,พลังไทยรักชาติ,zone,เชียงใหม่,2
สุรางค์ ปัญญาเรือง,ส.ส. เขต (เชียงใหม่ เขต 3),http://202.6.26.16/images/candidate/thumb/50/3/fcea9076-9600-4e6e-8be3-7ddfdca3e8dc.jpg,พลังไทยรักชาติ,zone,เชียงใหม่,3
ดวงกมล อดุลย์เศรณี,ส.ส. เขต (กรุงเทพมหานคร เขต 3),http://202.6.26.16/images/candidate/thumb/10/3/cfc3d7a4-6651-4f5a-9138-bd23225276d8.jpg,พลังไทยรักชาติ,zone,กรุงเทพมหานคร,3
สาคเรศ แป้นบางนา,ส.ส. เขต (กรุงเทพมหานคร เขต 16),http://202.6.26.16/images/candidate/thumb/10/16/1fb8508f-1310-40f0-867b-3235b5558775.jpg,พลังไทยรักชาติ,zone,กรุงเทพมหานคร,16
โรจน์ภูริจินดา สหฐานมณี,ส.ส. เขต (กรุงเทพมหานคร เขต 17),http://202.6.26.16/images/candidate/thumb/10/17/727b4d7e-147e-45f3-94e9-9ab978953755.jpg,พลังไทยรักชาติ,zone,กรุงเทพมหานคร,17
ณัฐธิดา นิโครธางกูร,ส.ส. เขต (กรุงเทพมหานคร เขต 29),http://202.6.26.16/images/candidate/thumb/10/29/f04b2f04-d066-406a-97b6-12fbabd1ddde.jpg,พลังไทยรักชาติ,zone,กรุงเทพมหานคร,29
ทศพร สายสุด,ส.ส. เขต (กรุงเทพมหานคร เขต 30),http://202.6.26.16/images/candidate/thumb/10/30/e0a5069e-95b3-4ddf-823c-dd788222bd8d.jpg,พลังไทยรักชาติ,zone,กรุงเทพมหานคร,30
สุเทพ เข้มแข็งปรีชานนท์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/46/69eaf3b9-c3f9-4f42-a72b-c982ea773d6e.jpg,พลังไทยรักชาติ,partylist,-,-
ณพัศ เนติวรรธนะ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/46/2cd09be0-f4e5-4169-8f62-46f79ef4759f.jpg,พลังไทยรักชาติ,partylist,-,-
นรญาณ ด่านศรีสุข,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/46/3444157b-e423-4ced-a46d-39b7f461ae9c.jpg,พลังไทยรักชาติ,partylist,-,-
