name,desc,image,PartyName,memberType,province_name,zone_number
ทรงสวรรค์ บัวแก้ว,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/c0f2cfa6-4f5b-4392-90a5-a9ecba2ba255.jpg,พลังไทยรักไทย,zone,พังงา,1
ธัช ยุกตานนท์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/d2324897-2a6e-4b77-a1c6-69d8af3f22d2.jpg,พลังไทยรักไทย,zone,แม่ฮ่องสอน,1
อนุวัฒน์ จันทรัตน์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/c95eae07-3cf5-4cc7-8066-dd762cb7a631.jpg,พลังไทยรักไทย,zone,ระนอง,1
ธนพัฒน์ บุญญาธิการ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/5a6daccb-b496-4bf5-b62d-080e2144c735.jpg,พลังไทยรักไทย,zone,กระบี่,1
กัญญารัตน์ เพชรทอง,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/269019b3-d199-4eb4-a67e-ed97389beef6.jpg,พลังไทยรักไทย,zone,กระบี่,2
บุญเหลือ ราชภักดี,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/e3353896-e886-434c-ab20-848567a6fb06.jpg,พลังไทยรักไทย,zone,บึงกาฬ,1
บุญล้อม กางศรี,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/68edbbf3-73f0-4f59-8829-2f3c13b8e2a2.jpg,พลังไทยรักไทย,zone,บึงกาฬ,2
พิศ หนองช้าง,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/8cb809d0-86be-4bf8-b279-b678670d32db.jpg,พลังไทยรักไทย,zone,แพร่,1
พงศ์พันธ์ สุวรรณพงศ์,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/02bc374d-a87c-4e4d-96f4-7c3255104cb0.jpg,พลังไทยรักไทย,zone,แพร่,2
อำนาจ สีฟ้า,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/f6e87b1b-5520-44b6-a807-56983013b2c9.jpg,พลังไทยรักไทย,zone,ภูเก็ต,1
อุดร แกล้วทนงค์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/919a22ae-f669-440d-bc32-251ccfa21468.jpg,พลังไทยรักไทย,zone,ภูเก็ต,2
ทวีทรัพย์ ไชยมุกดา,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/df2de4bf-9174-48cb-9e03-5b9731769635.jpg,พลังไทยรักไทย,zone,มุกดาหาร,1
ประเสริฐทรัพย์ คำนนท์มีฤทธิ์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/62532765-5689-4087-a65d-640b783416a0.jpg,พลังไทยรักไทย,zone,มุกดาหาร,2
ชัชวาลย์ ทิศสว่าง,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/7f7db0e9-2a4c-43e0-91cc-ec9be00dd922.jpg,พลังไทยรักไทย,zone,ลำพูน,1
เทพทัต โชควาณิชกุล,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/a6e1955c-8020-49e2-9c0a-f45c4620b362.jpg,พลังไทยรักไทย,zone,ลำพูน,2
สมทรง ปานช่วย,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/89f4162c-5146-417b-9427-56ef40627df2.jpg,พลังไทยรักไทย,zone,สตูล,1
