name,desc,image,PartyName,memberType,province_name,zone_number
ธวัช ชุมช่วย,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/f5cff979-6526-48fb-8fab-b12dacf17009.jpg,พลังไทสร้างชาติ,zone,พังงา,1
อัมพร น้ำจันทร์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/3084b3e9-fa76-4f8c-b0e3-120474bb0dba.jpg,พลังไทสร้างชาติ,zone,ระนอง,1
บุญฤทธิ์ กลิ่นพงศ์สาโรจน์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/aa29129d-6b3e-4d4d-b675-1a448e6cfcdd.jpg,พลังไทสร้างชาติ,zone,สิงห์บุรี,1
ณัฐธิชา คงโส,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/96eb4816-1746-4afb-852c-08426ad9aa69.jpg,พลังไทสร้างชาติ,zone,กระบี่,2
กรรณิกา โพธิ์สว่าง,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/b88059db-0d00-4344-a682-64c08eeb5e3f.jpg,พลังไทสร้างชาติ,zone,บึงกาฬ,1
ประยงค์ แก้วยา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/0b8eb653-ee21-4ee8-a055-7861e61a012f.jpg,พลังไทสร้างชาติ,zone,บึงกาฬ,2
นิพนธ์ พึ่งโพธิ์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/fc45acb2-206f-40ce-a42f-cde5200f4146.jpg,พลังไทสร้างชาติ,zone,อำนาจเจริญ,1
พิมล ภิญโญเปี่ยมวงษ์,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/69a590a9-26c8-4418-8b37-809e8a405c9b.jpg,พลังไทสร้างชาติ,zone,อำนาจเจริญ,2
จิระวัฒน์  พงษ์วิชัย,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/430215b1-23bc-4ca8-a8ef-a77e56cfc1d9.jpg,พลังไทสร้างชาติ,zone,อุตรดิตถ์,1
อัคคณัฐ ขุนนิช,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/a2784651-2d4e-49f8-91ea-7d0d4937fa82.jpg,พลังไทสร้างชาติ,zone,ชุมพร,1
ปราณี สุขไหม,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/7d24fbcf-4f3d-4abd-ab63-4a645765c647.jpg,พลังไทสร้างชาติ,zone,ชุมพร,2
