name,desc,image,PartyName,memberType,province_name,zone_number
ธนานุพงษ์ มีมา,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/09a4965a-9a25-4df8-b778-bec093249f53.jpg,พลเมืองไทย,zone,นครนายก,1
สุเทพ เจริญจวง,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/709d12b6-536d-4eb0-a980-6d3cfb3e7605.jpg,พลเมืองไทย,zone,สมุทรสงคราม,1
ประสาน วงเวียน,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/0c28df09-8f81-4322-a83a-b5c6a8ab3922.jpg,พลเมืองไทย,zone,ชัยนาท,1
พิษณุ วงเวียน,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/e0c211a7-108a-428e-87e8-54466795e60d.jpg,พลเมืองไทย,zone,ชัยนาท,2
อรุณ วัดโสภา,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/635ac21d-e1fe-4394-bf9e-b9f6941b711c.jpg,พลเมืองไทย,zone,บึงกาฬ,1
สาวิตรี พลภักดี,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/0b31a70a-7f48-45a3-a85f-c46cf10c7abe.jpg,พลเมืองไทย,zone,บึงกาฬ,2
อัษฎาวุธ นพเคราะห์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/a8a23313-f676-4d8e-be1e-b05d7e99cce4.jpg,พลเมืองไทย,zone,มุกดาหาร,1
ธนพงศ์ อุระ,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/0d6476d6-e1ac-4004-a7f7-408d26328ddd.jpg,พลเมืองไทย,zone,มุกดาหาร,2
สนิท จันทร์โสด,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/382a7942-6f26-439b-8902-37406f932791.jpg,พลเมืองไทย,zone,สตูล,1
นิคม แก้วทอง,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/19ba5aa5-9a0a-47e5-bda4-d40f2ecbf9b6.jpg,พลเมืองไทย,zone,สตูล,2
อนันต์ เข็มทอง,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/eb52cc03-5b13-4a03-9110-0416037cf8b5.jpg,พลเมืองไทย,zone,อุทัยธานี,1
ชัยรินทร์ อิศรางกูร ณ อยุธยา,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/aa96673b-ba48-4455-9d4b-519d805d152e.jpg,พลเมืองไทย,zone,อุทัยธานี,2
สันติ พลอยล้อมเพชร,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/f11fa951-0ea5-4150-9fe0-b4dd8a273881.jpg,พลเมืองไทย,zone,จันทบุรี,1
นัยนา สุวรรณวิธี,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/622c253d-cff0-4daa-910c-4448c2d21932.jpg,พลเมืองไทย,zone,ชุมพร,2
มนุเชษฐ์ ดำนาค,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/3d93d1de-1eb4-4f96-ba92-8b6ca1b3d001.jpg,พลเมืองไทย,zone,ชุมพร,3
ประเทือง ศรีคง,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/c233abc5-e128-4685-b971-48bd72f99730.jpg,พลเมืองไทย,zone,ตรัง,1
จินตณัฐ สุวรรณหมัด,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/9d1385a5-90cb-41d3-948a-9e8788ae6276.jpg,พลเมืองไทย,zone,ตรัง,2
ศุภฤกษ์ กาวินำ,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/31358059-5e7e-472c-9f36-aaf5757d3360.jpg,พลเมืองไทย,zone,ตาก,2
มนูญ สุขวรรณ,ส.ส. เขต (ตาก เขต 3),http://202.6.26.16/images/candidate/thumb/63/3/e84d4c2f-d386-415c-8656-f9fe9bf82fdd.jpg,พลเมืองไทย,zone,ตาก,3
เสริมพงษ์ ลิบลับ,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/e9755aca-d54f-4316-b049-83009c5159ac.jpg,พลเมืองไทย,zone,ประจวบคีรีขันธ์,1
ธมน โพธิ์งาม,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/fcc11a35-9b38-44d4-9f96-0ecc7e43baff.jpg,พลเมืองไทย,zone,ประจวบคีรีขันธ์,2
นรินทร์ บ้วนฮวด,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/64f54ea9-72c6-4e10-b20f-6ee5a83c3901.jpg,พลเมืองไทย,zone,ประจวบคีรีขันธ์,3
ภาณุพันธ์ น้าวิลัยเจริญ,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/a08f7966-4a20-470e-9fc3-b9408927dad9.jpg,พลเมืองไทย,zone,ปราจีนบุรี,1
วิถี อินทร์คำ,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/3de0674c-0b79-4ce2-9b12-3fb55fb1060d.jpg,พลเมืองไทย,zone,ปราจีนบุรี,2
