name,desc,image,PartyName,memberType,province_name,zone_number
สุทิน ศรีรัฐ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/fbe57d4d-3e75-4c99-8a2a-6fdec148b902.jpg,ภราดรภาพ,zone,พังงา,1
สวาท หล้าคำ,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/7e780d2a-6c6d-47fb-95ce-569e6ad44d04.jpg,ภราดรภาพ,zone,แม่ฮ่องสอน,1
ตรีภพ เพ่งกิจ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/15fe322d-f170-42e9-b6ba-c846852e2ec4.jpg,ภราดรภาพ,zone,กระบี่,1
ไชยา บุษมงคล,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/9f97ef85-b836-4bf1-934a-5dc359f5e157.jpg,ภราดรภาพ,zone,บึงกาฬ,2
มานัส เดชอุปการ,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/dc728dd4-fb11-4283-b23a-04e76568eaa9.jpg,ภราดรภาพ,zone,แพร่,1
ปราการ แก้วอ้วน,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/a0710dee-2f88-4e38-8920-bfafa90af3e1.jpg,ภราดรภาพ,zone,แพร่,2
ปรีชา ยุคุณธร,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/04cc5a97-c13d-4a28-8793-ddc65723e0e3.jpg,ภราดรภาพ,zone,ภูเก็ต,1
อิทธิพงษ์ คงนาม,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/6b980c90-7046-431f-8f11-1a539dcd529b.jpg,ภราดรภาพ,zone,ภูเก็ต,2
บัวทอง มานะพิมพ์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/13dfe1b2-902a-4f31-bd54-a51d2abfa364.jpg,ภราดรภาพ,zone,อำนาจเจริญ,1
ชวโรจน์ ศรีทน,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/3c4ce44d-9dcc-4874-af6e-d32f67f55df6.jpg,ภราดรภาพ,zone,อุตรดิตถ์,1
ชาตรี แม้นสวัสดิ์,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/7e93b9d7-03f2-4457-b998-c3950ab5c55c.jpg,ภราดรภาพ,zone,อุตรดิตถ์,2
พงษธัช คมอนันต์,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/c9a0c2fb-41ae-44d0-a90e-eb82d2742c10.jpg,ภราดรภาพ,zone,ชุมพร,3
เกษม รุณใจ,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/a8044906-8e86-4c20-8872-f275849e1e46.jpg,ภราดรภาพ,zone,น่าน,1
สวงษ์ ใหม่จันทร์,ส.ส. เขต (น่าน เขต 2),http://202.6.26.16/images/candidate/thumb/55/2/31f61d46-aa24-4137-b02c-1896ba017aec.jpg,ภราดรภาพ,zone,น่าน,2
ปัทฎิญญา ปัญญาวิเศษกาล,ส.ส. เขต (น่าน เขต 3),http://202.6.26.16/images/candidate/thumb/55/3/603e2eb0-93af-48e2-a54b-8eaba5b478e9.jpg,ภราดรภาพ,zone,น่าน,3
ภัทรินเตวิชน์ ศรีเอี่ยม,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/39cacc98-ad8a-4578-8287-a06aca1c76d0.jpg,ภราดรภาพ,zone,ประจวบคีรีขันธ์,3
