name,desc,image,PartyName,memberType,province_name,zone_number
วิไลลักษณ์ แฝงกระโทก,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/2ecc04a0-d1a9-4ae7-9fbd-3120f85e9d00.jpg,ภาคีเครือข่ายไทย,zone,ระนอง,1
นฤมล แก้วประเสริฐ,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/c943885f-f210-4f75-bf4e-d297cf2b4e8a.jpg,ภาคีเครือข่ายไทย,zone,อ่างทอง,1
รจนา วรรณคีรี,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/7ec203a6-058c-490c-9e4a-59e6ac8008a5.jpg,ภาคีเครือข่ายไทย,zone,สตูล,2
สุทัศน์ พันธ์พิบูลย์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/dadb4d3e-2983-4e2b-8fa7-0a93e65c4551.jpg,ภาคีเครือข่ายไทย,zone,อำนาจเจริญ,1
เฉลิมศักดิ์ บรรลุ,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/955505fa-7f43-440b-9a82-7b10b7e45fe6.jpg,ภาคีเครือข่ายไทย,zone,อำนาจเจริญ,2
ประสิทธิ์ นวลสำลี,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/92286f3d-b3f7-4cbe-8366-5e65948ccc6d.jpg,ภาคีเครือข่ายไทย,zone,จันทบุรี,3
ศิเรมอร พูลสวัสดิ์,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/77ab6ed2-68ea-4074-b64f-97d57c54692e.jpg,ภาคีเครือข่ายไทย,zone,ชุมพร,1
เสริญ ปานชัน,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/eaf6ef9c-71b4-47d6-a06b-e5c4d116ba0f.jpg,ภาคีเครือข่ายไทย,zone,ชุมพร,2
พิมพ์ชนา คณะครุฑชัยนันท์,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/4c27522e-54e8-48db-bbee-a419b40663a3.jpg,ภาคีเครือข่ายไทย,zone,ชุมพร,3
ธนกร ช่วยเกลี้ยง,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/589483c2-7e87-49a5-b980-ff6f41b9e448.jpg,ภาคีเครือข่ายไทย,zone,ตรัง,1
รัตนา ช่วยเกลี้ยง,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/80391575-586d-4e25-a0b4-53d868a18654.jpg,ภาคีเครือข่ายไทย,zone,ตรัง,2
มิตต์ดา ช่วยเกลี้ยง,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/680d5b78-df46-4131-9716-35740d1d0014.jpg,ภาคีเครือข่ายไทย,zone,ตรัง,3
สง่าชัย ใจห้าว,ส.ส. เขต (น่าน เขต 3),http://202.6.26.16/images/candidate/thumb/55/3/027225ad-ba54-476e-9d00-18878deb8a46.jpg,ภาคีเครือข่ายไทย,zone,น่าน,3
ณฐกร เพชรเกลี้ยง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/1ab7acbb-c9b4-4143-a840-65fb80e5f119.jpg,ภาคีเครือข่ายไทย,zone,ประจวบคีรีขันธ์,1
เกตุสุดา จิตใจตรง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/d42e82be-90a6-4a01-a924-ea1945c409d3.jpg,ภาคีเครือข่ายไทย,zone,ประจวบคีรีขันธ์,2
ชรินทร์ จิตใจตรง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/ee7ad80d-2cb8-43de-8049-a1607b89d45c.jpg,ภาคีเครือข่ายไทย,zone,ประจวบคีรีขันธ์,3
จำนาญ แสงสม,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/ac32bc62-5860-41b8-9cd7-dbc679ca9cd9.jpg,ภาคีเครือข่ายไทย,zone,พัทลุง,2
แสวง หอมทน,ส.ส. เขต (เพชรบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/76/1/53422c09-6104-4baa-aca8-975136c1dc1b.jpg,ภาคีเครือข่ายไทย,zone,เพชรบุรี,1
จิรพันธุ์ ภิรมย์ธีรโชติ,ส.ส. เขต (เพชรบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/76/2/97da65f7-868a-4bf7-aa64-4ca94afe3397.jpg,ภาคีเครือข่ายไทย,zone,เพชรบุรี,2
เชอรี่ย์ คำสวัสดิ์,ส.ส. เขต (เพชรบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/76/3/10882dbd-de8a-4b9c-a407-3c046ce4d3c7.jpg,ภาคีเครือข่ายไทย,zone,เพชรบุรี,3
นงลักษณ์ ชายทวีป,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/2c397555-9e85-4c5a-a3e3-a62884a49d36.jpg,ภาคีเครือข่ายไทย,zone,ยโสธร,1
วิรศักดิ์ สัตย์ซื่อ,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/57aa2cb5-4400-406b-8657-05e5f0581828.jpg,ภาคีเครือข่ายไทย,zone,ยโสธร,2
นภัสวรรณ ภูช่างทอง,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/e768dfcd-979d-46a8-abde-6c26a8bfd463.jpg,ภาคีเครือข่ายไทย,zone,เลย,1
ลักษณ์ศิริ อุทธตรี,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/01280805-bb71-472c-9f76-ab3af8468a4e.jpg,ภาคีเครือข่ายไทย,zone,เลย,2
สายสุณี วิเศษโวหาร,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/30b83935-62cb-4d6f-9e21-eb912de58833.jpg,ภาคีเครือข่ายไทย,zone,เลย,3
สุทิน เพิ่มพูล,ส.ส. เขต (สมุทรสาคร เขต 3),http://202.6.26.16/images/candidate/thumb/74/3/73877218-298f-45e5-8edc-0635cf2e9cdf.jpg,ภาคีเครือข่ายไทย,zone,สมุทรสาคร,3
สุดารัตน์ ขาเมระนิยะ,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/9c90b1bc-4499-460d-ac4d-1cf90979ff82.jpg,ภาคีเครือข่ายไทย,zone,หนองคาย,1
ศรีสมร ขาเมระนิยะ,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/97b0e30f-c07b-44a2-9d2e-984b35200a3d.jpg,ภาคีเครือข่ายไทย,zone,หนองคาย,2
สมบัติ ทองณรงค์,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/37369f66-fa44-4384-b347-70f12aa6cd57.jpg,ภาคีเครือข่ายไทย,zone,หนองคาย,3
ประตู พันธ์ก่ำ,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/7e8ce53f-38fd-43c6-855d-a8e430cfd6be.jpg,ภาคีเครือข่ายไทย,zone,หนองบัวลำภู,1
มณีจันทร์ ดวงภักดี,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/6732e9e9-03e2-41c0-b95e-cbbbe94f61eb.jpg,ภาคีเครือข่ายไทย,zone,หนองบัวลำภู,2
ถาวร เสริมสุข,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/265159db-1fdb-443f-97d9-f881b7862f69.jpg,ภาคีเครือข่ายไทย,zone,หนองบัวลำภู,3
อิทธิพล แตงเล็ก,ส.ส. เขต (กำแพงเพชร เขต 3),http://202.6.26.16/images/candidate/thumb/62/3/d02cf494-e229-41b1-a6d0-3b05123271d6.jpg,ภาคีเครือข่ายไทย,zone,กำแพงเพชร,3
พัชรินทร สุวรรณวงศ์,ส.ส. เขต (กำแพงเพชร เขต 4),http://202.6.26.16/images/candidate/thumb/62/4/070bdd25-f077-422b-ab85-f24435fc4ad6.jpg,ภาคีเครือข่ายไทย,zone,กำแพงเพชร,4
ฐิตาภา อิสรานนท์,ส.ส. เขต (พระนครศรีอยุธยา เขต 1),http://202.6.26.16/images/candidate/thumb/14/1/6076d08b-534e-4b9f-89fc-15236f3eb87f.jpg,ภาคีเครือข่ายไทย,zone,พระนครศรีอยุธยา,1
เกตุนภัส อัครธนะโชค,ส.ส. เขต (พระนครศรีอยุธยา เขต 3),http://202.6.26.16/images/candidate/thumb/14/3/a14095ac-f895-4fb6-aa72-646b18dedca3.jpg,ภาคีเครือข่ายไทย,zone,พระนครศรีอยุธยา,3
ฐิภาพรรณ ทองคำ,ส.ส. เขต (พระนครศรีอยุธยา เขต 4),http://202.6.26.16/images/candidate/thumb/14/4/7b74b901-77b1-46be-b02e-8cc012832620.jpg,ภาคีเครือข่ายไทย,zone,พระนครศรีอยุธยา,4
ปัญญา แก๊ปทอง,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/a5b10bc3-b330-47a8-8b3c-a54f17c44ee5.jpg,ภาคีเครือข่ายไทย,zone,ลพบุรี,1
พัชรากร นุ่มกัน,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/71f3c7d7-737b-442f-bb0c-289d0a6ea673.jpg,ภาคีเครือข่ายไทย,zone,ลพบุรี,2
สุทิน ชุ่มจิตร์,ส.ส. เขต (ลพบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/16/3/2ea28405-a67e-4903-892b-0288292a416f.jpg,ภาคีเครือข่ายไทย,zone,ลพบุรี,3
นพวรรณ ยงยุทธิ์,ส.ส. เขต (ลพบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/16/4/cc147860-a80a-441e-b686-adaf0e3f785e.jpg,ภาคีเครือข่ายไทย,zone,ลพบุรี,4
พรสวรรค์ นวนภูมิวัน,ส.ส. เขต (มหาสารคาม เขต 1),http://202.6.26.16/images/candidate/thumb/44/1/241db3c7-3a91-4ac6-ace7-29edf2fa08b0.jpg,ภาคีเครือข่ายไทย,zone,มหาสารคาม,1
กัญญารัช พลหอม,ส.ส. เขต (มหาสารคาม เขต 2),http://202.6.26.16/images/candidate/thumb/44/2/a0852c44-be9a-4616-adf4-a950bfbf4847.jpg,ภาคีเครือข่ายไทย,zone,มหาสารคาม,2
วิรัตน์ ตีเมืองซ้าย,ส.ส. เขต (มหาสารคาม เขต 3),http://202.6.26.16/images/candidate/thumb/44/3/fb458b28-6553-42af-b20a-cab34763cc68.jpg,ภาคีเครือข่ายไทย,zone,มหาสารคาม,3
มารศรี สิทธิด่าง,ส.ส. เขต (มหาสารคาม เขต 4),http://202.6.26.16/images/candidate/thumb/44/4/8d6eb2a5-487f-4525-87b9-bcc63c8743d7.jpg,ภาคีเครือข่ายไทย,zone,มหาสารคาม,4
ภัสสรีรดา แก้วมี,ส.ส. เขต (มหาสารคาม เขต 5),http://202.6.26.16/images/candidate/thumb/44/5/fe1f8915-a6ac-4e3e-887e-091ff3830af6.jpg,ภาคีเครือข่ายไทย,zone,มหาสารคาม,5
โสภณ ศรีดานุช,ส.ส. เขต (ชัยภูมิ เขต 2),http://202.6.26.16/images/candidate/thumb/36/2/ca2f4e8e-c338-4396-b566-4259eb708c33.jpg,ภาคีเครือข่ายไทย,zone,ชัยภูมิ,2
