name,desc,image,PartyName,memberType,province_name,zone_number
บุญเลิศ แก้วอินทร์,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/d3fde37a-6f6d-4680-a531-5d4cfc9eb662.jpg,ภูมิพลังเกษตรกรไทย,zone,ชัยนาท,1
ศิริวรรณ มุ่งรักษ์กิจ,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/5f17def4-d978-4010-92d0-073a777e37c1.jpg,ภูมิพลังเกษตรกรไทย,zone,มุกดาหาร,1
วิสุทธิ แสนโคตร,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/453edf20-8d31-4e33-98ff-642954993e64.jpg,ภูมิพลังเกษตรกรไทย,zone,มุกดาหาร,2
ภัคพินันท์ ปภาพิชญ์ธนันท์,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/0ebf9666-08ff-4496-8726-45e6148b744f.jpg,ภูมิพลังเกษตรกรไทย,zone,ตรัง,3
ธวัช สุวรรณรัศมี,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/69649d07-8222-4514-96ed-a60d5c2a2790.jpg,ภูมิพลังเกษตรกรไทย,zone,พัทลุง,1
ดอน ศรีนวลขาว,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/25f84917-8ac8-4159-b45e-0970952eeaac.jpg,ภูมิพลังเกษตรกรไทย,zone,พัทลุง,3
ศิวะ ไชยกาล,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/1e026d7b-ff6e-40b6-aec2-5cfb6497e60f.jpg,ภูมิพลังเกษตรกรไทย,zone,ยโสธร,3
ดุลรอแม ดอเลาะบาโด,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/a663b856-caf4-41e2-8d18-43e84559a33f.jpg,ภูมิพลังเกษตรกรไทย,zone,ยะลา,2
มะยากี หะยีสาและ,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/6f52e371-f748-4ebc-9bd4-b8bfe8cab570.jpg,ภูมิพลังเกษตรกรไทย,zone,ยะลา,3
อับดุลเล๊าะ ยะกี,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/de96a345-ba48-4b08-9ed7-9e5461fa1ca5.jpg,ภูมิพลังเกษตรกรไทย,zone,นราธิวาส,1
มุสตอปา เจ๊ะอูเซ็ง,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/931f8246-e520-47cc-ba12-1c0cceca6bcc.jpg,ภูมิพลังเกษตรกรไทย,zone,นราธิวาส,2
สาลูดิน ยะปา,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/3e3e49bf-480b-4c01-ad9a-8c8f75bc5c5e.jpg,ภูมิพลังเกษตรกรไทย,zone,นราธิวาส,3
อาสิรา มูดอ,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/15ea5f56-7a58-4857-bdc0-e2b9a1ad239e.jpg,ภูมิพลังเกษตรกรไทย,zone,นราธิวาส,4
ขนิษฐา อรัญญภาค,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/10404809-6909-465e-b03f-7624646d888b.jpg,ภูมิพลังเกษตรกรไทย,zone,ปัตตานี,1
