name,desc,image,PartyName,memberType,province_name,zone_number
วศิน พงษ์ศิริ,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/396a5ee3-0eb2-43ec-bda4-1affc8d67cbc.jpg,ภูมิใจไทย,zone,ตราด,1
ปวีนา ศุขวัฒน์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/69662bf8-bf62-4410-8acf-94f5cb1a39bb.jpg,ภูมิใจไทย,zone,นครนายก,1
นริษรา เพชรพฤทธิ์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/f27e08e6-f30b-4b22-b90d-b86fdafe27ac.jpg,ภูมิใจไทย,zone,พังงา,1
สนธยา มานะจิตต์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/1e610c23-b76e-49c7-909c-cf61ae990a42.jpg,ภูมิใจไทย,zone,แม่ฮ่องสอน,1
คงกฤษ ฉัตรมาลีรัตน์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/cd3c3d1c-4ea7-41d1-9f3b-345202380088.jpg,ภูมิใจไทย,zone,ระนอง,1
สมชาย ตันประเสริฐ,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/5abf92f7-6072-4f80-ab0d-9d8329a31792.jpg,ภูมิใจไทย,zone,สมุทรสงคราม,1
อนุรักษ์ พานิชพิบูลย์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/f5d9fa5c-c745-4e47-b5b0-f07e8e2e3f70.jpg,ภูมิใจไทย,zone,สิงห์บุรี,1
ภราดร ปริศนานันทกุล,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/28c5f435-1983-47f2-997c-c01041b8c64d.jpg,ภูมิใจไทย,zone,อ่างทอง,1
กิตติศักดิ์ กิตติสิทโธ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/dcc6e40f-b0d3-4f1f-9007-fe38f7a46180.jpg,ภูมิใจไทย,zone,กระบี่,1
สฤษฏ์พงษ์ เกี่ยวข้อง,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/42b54d52-59e1-4661-bef8-ec2819bef38a.jpg,ภูมิใจไทย,zone,กระบี่,2
ภูวภัท เมธากีรติกร,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/aece267b-daf2-4b57-a416-f5f22cf694ca.jpg,ภูมิใจไทย,zone,ชัยนาท,1
ธนบดี คุ้มชนะ,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/43ab045e-a3ee-46da-b97e-b84670d7805f.jpg,ภูมิใจไทย,zone,ชัยนาท,2
