name,desc
เอกราช ชาญเชี่ยว,สส.เขต (ระยอง เขต 1)
อัศวิน ศักดิ์ศรีไพจิตร์,สส.เขต (ระยอง เขต 2)
สุรินทร์ ปะสิ่งชอบ,สส.เขต (ระยอง เขต 3)
กฤษณา อุดมเจริญ,สส.เขต (ระยอง เขต 4)
จรัสพงศ์ ธนภัทรพงศ์,สส.เขต (ปทุมธานี เขต 1)
ธนาพัชร์ ธนภัทรพงศ์,สส.เขต (ปทุมธานี เขต 3)
พรทิพย์ เอื้อเฟื้อ,สส.เขต (ปทุมธานี เขต 6)
สำราญ ส่งเสริม,สส.เขต (ชลบุรี เขต 5)
วัลลี แอสุวรรณ์,สส.เขต (กรุงเทพมหานคร เขต 1)
ภควุฒิ งามพัฒนพงศ์ชัย,สส.เขต (กรุงเทพมหานคร เขต 2)
เพียรชัย องค์ศรีตระกูล,สส.เขต (กรุงเทพมหานคร เขต 3)
นิพนธ์ ฐิติภัค,สส.เขต (กรุงเทพมหานคร เขต 4)
สุชาติ สุวรรณปราโมทย์,สส.เขต (กรุงเทพมหานคร เขต 5)
ปริญญา งามพัฒนพงศ์ชัย,สส.เขต (กรุงเทพมหานคร เขต 6)
รัฐโรจน์ ประสิทธิ์พรกุล,สส.เขต (กรุงเทพมหานคร เขต 7)
เบญสิร์ยา อภิปัญรัศมิ์,สส.เขต (กรุงเทพมหานคร เขต 8)
อรอุสา งามเบญจวิชัยกุล,สส.เขต (กรุงเทพมหานคร เขต 9)
วินิต รัตนวงศ์,สส.เขต (กรุงเทพมหานคร เขต 10)
นาตยา มาลีแย้ม,สส.เขต (กรุงเทพมหานคร เขต 12)
