name,desc,image,PartyName,memberType,province_name,zone_number
อัคคพร เศษยา,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/77723678-e155-4d21-8223-21b5dbe6c708.jpg,มหาชน,zone,ระนอง,1
ฉัฐมณฑน์ ทองสมจิตติ์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/c6ad4f0b-5b00-4d69-a144-07e0a50e2332.jpg,มหาชน,zone,แพร่,1
อมัด อุสมัน,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/90facb81-b822-40ad-b168-7bad50a11ee1.jpg,มหาชน,zone,สตูล,1
มนตรี พุ่มพวง,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/ac6036fb-0570-43f7-9f1e-74e02bb97d49.jpg,มหาชน,zone,ชุมพร,1
จิณณาวัฒน์ สินลอย,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/906d6585-92f0-4bef-9cb7-cad15d213121.jpg,มหาชน,zone,ชุมพร,2
ลิขิต พรหมมาตย์,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/63ef3251-d424-4336-80a6-2c5f537a21e0.jpg,มหาชน,zone,ชุมพร,3
วันชัย พานิชย์,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/da13b0d3-9ee8-4ce0-b147-4b5ddc4e9d82.jpg,มหาชน,zone,ปราจีนบุรี,1
อำพร พุกถึก,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/20d424f2-5cec-4d12-9780-433a38bc6314.jpg,มหาชน,zone,ปราจีนบุรี,2
สำราญ เอื้อเฟื้อ,ส.ส. เขต (ปราจีนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/25/3/a4bf8a44-a664-4fca-acbe-32cb3fae23d0.jpg,มหาชน,zone,ปราจีนบุรี,3
สามารถ ราแดง,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/7b97dc86-2b47-46f6-acbd-8afd8c58f8c2.jpg,มหาชน,zone,ยะลา,1
การอหม๊ะ มะแซ,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/119d87a9-2464-4b51-851e-8c8271f30729.jpg,มหาชน,zone,ยะลา,2
ลักขณา สันสา,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/97e0f7bf-04a8-4d14-b089-d9aba1de1f2f.jpg,มหาชน,zone,เลย,3
อรุณ หนูน้อย,ส.ส. เขต (สระบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/19/2/b528dfb8-b338-46a4-997c-d6d9bde0df9b.jpg,มหาชน,zone,สระบุรี,2
สิทธิชัย เอื้อเฟื้อ,ส.ส. เขต (ฉะเชิงเทรา เขต 1),http://202.6.26.16/images/candidate/thumb/24/1/1c9acfa0-8e87-4f55-b7ed-a1f99081d85e.jpg,มหาชน,zone,ฉะเชิงเทรา,1
พเยาว์ เจือจันทร์,ส.ส. เขต (ฉะเชิงเทรา เขต 2),http://202.6.26.16/images/candidate/thumb/24/2/ed9ade72-1571-4f6b-a2b7-b059eaf676db.jpg,มหาชน,zone,ฉะเชิงเทรา,2
ทน เจือจันทร์,ส.ส. เขต (ฉะเชิงเทรา เขต 3),http://202.6.26.16/images/candidate/thumb/24/3/c4f25f2b-0e39-4453-8f06-5de50df88247.jpg,มหาชน,zone,ฉะเชิงเทรา,3
บุญฤทธ์ เอื้อเฟื้อ,ส.ส. เขต (ฉะเชิงเทรา เขต 4),http://202.6.26.16/images/candidate/thumb/24/4/51b7651b-3a96-4374-a872-43488f6fe7e7.jpg,มหาชน,zone,ฉะเชิงเทรา,4
มูฮัน บูละ,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/f1c14ab7-221b-4255-9b2c-fb1625368570.jpg,มหาชน,zone,นราธิวาส,3
สัมฤทธิ์ พบขุนทด,ส.ส. เขต (ระยอง เขต 1),http://202.6.26.16/images/candidate/thumb/21/1/14f4be50-0b6a-4ad0-9f7b-a99a68ad19be.jpg,มหาชน,zone,ระยอง,1
ประสานพร บุญห่อ,ส.ส. เขต (ระยอง เขต 3),http://202.6.26.16/images/candidate/thumb/21/3/53c286a5-06a1-4b60-ae38-d3e495ca3846.jpg,มหาชน,zone,ระยอง,3
เสาวณีย์ พบขุนทด,ส.ส. เขต (ระยอง เขต 4),http://202.6.26.16/images/candidate/thumb/21/4/42395474-d405-4796-b6ce-343f2f1fde7a.jpg,มหาชน,zone,ระยอง,4
ธนาภา วงศ์พระคริสตร์,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/67fcde96-2795-4bd5-9ad5-c6e239eb7a98.jpg,มหาชน,zone,ลพบุรี,1
ถนอม มีสนม,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/676fc3ea-1f04-4948-b2df-cdf2bb93f7a1.jpg,มหาชน,zone,ลพบุรี,2
ศุภกร ปาณเดชอภิวัฒน์,ส.ส. เขต (ลพบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/16/3/f911450c-9a0f-4ff4-b387-9e97a9571560.jpg,มหาชน,zone,ลพบุรี,3
กัลยาณี จันทมาลา,ส.ส. เขต (ลำปาง เขต 1),http://202.6.26.16/images/candidate/thumb/52/1/5f49523b-da2a-4c7a-8ee2-846ede9b130c.jpg,มหาชน,zone,ลำปาง,1
