name,desc,image,PartyName,memberType,province_name,zone_number
กิตติธัช ไชยอรรถ,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/8ff113ed-17f3-448b-8f6a-da17c08eb06d.jpg,รวมพลังประชาชาติไทย,zone,ตราด,1
สมศิริ กัลยาเลิศ,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/b56e0c9b-f172-43fc-9d65-c515de2f7233.jpg,รวมพลังประชาชาติไทย,zone,นครนายก,1
กรวิภาส หมายแร่,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/6d02ae56-f61b-4c71-9d07-aa62762a9e13.jpg,รวมพลังประชาชาติไทย,zone,พังงา,1
สมจิต สุวรรณบุษย์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/7d5dd4d5-204b-47bf-89b0-c7ea2dda064d.jpg,รวมพลังประชาชาติไทย,zone,แม่ฮ่องสอน,1
เผด็จ จันทร์บูรณะศิริ,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/35f6bd20-0eff-475f-861f-344ab5d5170b.jpg,รวมพลังประชาชาติไทย,zone,ระนอง,1
ณฤทัย พันธุ์ปรีชา,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/a6afffd2-a57f-45cb-8a8b-636974d5b46e.jpg,รวมพลังประชาชาติไทย,zone,สมุทรสงคราม,1
วัชรินทร์ เรืองฤทธิ์กูล,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/93105fef-59fe-4e93-bd2b-ce350dc9b15e.jpg,รวมพลังประชาชาติไทย,zone,สิงห์บุรี,1
อภิพร ศรีพยัคฆ์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/1546cff8-3f9d-4ec0-b7fb-b1a9428f442e.jpg,รวมพลังประชาชาติไทย,zone,อ่างทอง,1
จักรพรรดิ สุคนธกนิษฐ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/d2568250-6553-4786-a147-be497592d83e.jpg,รวมพลังประชาชาติไทย,zone,กระบี่,1
ศิวกรณ์ เอ่งฉ้วน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/625a061a-5ea7-40f5-8676-7f36f2c1ad07.jpg,รวมพลังประชาชาติไทย,zone,กระบี่,2
