name,desc,image,PartyName,memberType,province_name,zone_number
เจษฎาพล คำภูษา,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/dc495e3e-72e6-435d-8353-a65668ec0fdf.jpg,รวมใจไทย,zone,มุกดาหาร,1
กมล สุวรรณไตรย์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/6320d76c-61a6-4deb-86ed-45db631f7e2d.jpg,รวมใจไทย,zone,มุกดาหาร,2
สันทัด สร้อยศรี,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/85837701-31cf-42e6-b9a0-1b08c24794cb.jpg,รวมใจไทย,zone,จันทบุรี,1
ฉัตรชัย ใจเย็น,ส.ส. เขต (พะเยา เขต 1),http://202.6.26.16/images/candidate/thumb/56/1/892b946d-b6fb-4acf-8f8d-9886d9e35d90.jpg,รวมใจไทย,zone,พะเยา,1
เตชิษฐ์ ไวทยกุล,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/b8e372c4-329b-434b-90e8-d0bd6a7f4a74.jpg,รวมใจไทย,zone,พะเยา,2
เอิน กล้าหาญ,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/03af9143-5d3a-4f46-9332-3efbed1788ae.jpg,รวมใจไทย,zone,พะเยา,3
ฎิชยพงษ์ แช่มเทศ,ส.ส. เขต (เพชรบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/76/2/71f567c1-4a9d-4c25-9726-e67b583bc430.jpg,รวมใจไทย,zone,เพชรบุรี,2
สงวนศักดิ์ ยางก้อน,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/7e30464b-9420-4067-b8d4-5353ab7def4c.jpg,รวมใจไทย,zone,ยโสธร,2
เคน วิเศษสุนทร,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/3fbd6171-ea48-4db1-9ac3-387c7c4312e7.jpg,รวมใจไทย,zone,หนองคาย,1
ทศพล เสียงล้ำ,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/d2bcd5a7-060d-4910-9e84-72e0311683a4.jpg,รวมใจไทย,zone,หนองคาย,2
อนันต์ วันทอง,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/bfe3c3be-77f5-4fe4-a6d5-00e0f92344b1.jpg,รวมใจไทย,zone,หนองคาย,3
บุญสม โชติกวันดี,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/bb518f7e-5305-4a3a-bb5c-b993b4e6cf4c.jpg,รวมใจไทย,zone,หนองบัวลำภู,1
พิเชษฐ์ แก้วพลน้อย,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/fafb5eee-8dd5-4e11-97da-dbca8808c95c.jpg,รวมใจไทย,zone,หนองบัวลำภู,2
ทองยุ่น สุวรรณศรี,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/e987201c-2905-45e3-901e-57a2dd698d2b.jpg,รวมใจไทย,zone,หนองบัวลำภู,3
มิตตา จันทนะ,ส.ส. เขต (นครพนม เขต 3),http://202.6.26.16/images/candidate/thumb/48/3/10921cd7-dd72-4172-afc6-94840cbee5d0.jpg,รวมใจไทย,zone,นครพนม,3
วราภรณ์ อาคะนิช,ส.ส. เขต (นครพนม เขต 4),http://202.6.26.16/images/candidate/thumb/48/4/6790a358-717d-4eec-b1d7-573c3d9c3d9f.jpg,รวมใจไทย,zone,นครพนม,4
