name,desc,image,PartyName,memberType,province_name,zone_number
เกตุแก้ว หาญเชิงชัย,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/8df8faa3-49ff-4303-b6b4-777fb653673c.jpg,รักท้องถิ่นไทย,zone,บึงกาฬ,2
เจริญ พันธ์สาย,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/a713d797-e9d6-43af-a135-fdc8cd873152.jpg,รักท้องถิ่นไทย,zone,อำนาจเจริญ,1
อภิชาติ แสงสว่าง,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/6b3e0412-f34b-4754-8f3e-41b651360da0.jpg,รักท้องถิ่นไทย,zone,อำนาจเจริญ,2
ยุพา อุลหัสสา,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/680a7da2-360f-4b34-a846-df0f53ac237a.jpg,รักท้องถิ่นไทย,zone,ยโสธร,1
จิรภัทร ชาแท่น,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/1bd5d021-3d29-4381-9e29-c5088b3e5de6.jpg,รักท้องถิ่นไทย,zone,ยโสธร,3
จิดาภา จันทร์สว่าง,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/571c79fb-5996-413b-b1f4-068f983674d0.jpg,รักท้องถิ่นไทย,zone,เลย,1
สมพร นนทะศิริ,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/aee870bb-f80d-4374-8829-9381e2f54f94.jpg,รักท้องถิ่นไทย,zone,เลย,2
บุษบา ไขมีเพ็ชร,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/67a1c0dc-f28b-4a6c-a26c-fb2009ae4359.jpg,รักท้องถิ่นไทย,zone,เลย,3
วรัญญา รัตนวงศ์,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/3ccca84e-e2e2-4490-85ba-249fa6ea5f5a.jpg,รักท้องถิ่นไทย,zone,หนองบัวลำภู,2
จินตนา พรหงษา,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/c3fd7b4f-3d01-4e9e-b97f-7636562380f8.jpg,รักท้องถิ่นไทย,zone,หนองบัวลำภู,3
บุญส่ง กว้างนอก,ส.ส. เขต (ชัยภูมิ เขต 2),http://202.6.26.16/images/candidate/thumb/36/2/54420660-ab44-40c8-96f0-3bf3d0624d5e.jpg,รักท้องถิ่นไทย,zone,ชัยภูมิ,2
ประดิษฐ์ ภิรมย์ไกรภักดิ์,ส.ส. เขต (ชัยภูมิ เขต 4),http://202.6.26.16/images/candidate/thumb/36/4/6c790730-cd59-405d-b606-bad0e9fbe1b5.jpg,รักท้องถิ่นไทย,zone,ชัยภูมิ,4
ธีระยุทธ เวยสาร,ส.ส. เขต (สกลนคร เขต 5),http://202.6.26.16/images/candidate/thumb/47/5/b5165b1a-c175-42f0-913c-973b3b9b3441.jpg,รักท้องถิ่นไทย,zone,สกลนคร,5
สมมาตย์ สุวรรณรินทร์,ส.ส. เขต (ร้อยเอ็ด เขต 3),http://202.6.26.16/images/candidate/thumb/45/3/79d7e6f1-2167-4ea5-a987-550f7047c1e0.jpg,รักท้องถิ่นไทย,zone,ร้อยเอ็ด,3
สุเพียบ ยอดพรหม,ส.ส. เขต (สุรินทร์ เขต 1),http://202.6.26.16/images/candidate/thumb/32/1/5a38c535-bcff-48e9-b1ff-58f2a253344f.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,1
จักกพัต สิทธิจันทร์,ส.ส. เขต (สุรินทร์ เขต 2),http://202.6.26.16/images/candidate/thumb/32/2/1548017c-8fa1-4529-9b10-b3f66567c79f.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,2
อุทัย กิ่งมาลา,ส.ส. เขต (สุรินทร์ เขต 3),http://202.6.26.16/images/candidate/thumb/32/3/acbf28f0-a913-4ca1-b074-09256d76caee.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,3
บุญชู วิเศษวงษา,ส.ส. เขต (สุรินทร์ เขต 4),http://202.6.26.16/images/candidate/thumb/32/4/2fad10c0-4d74-40da-85fd-107604761964.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,4
สมุทร เครือเนียม,ส.ส. เขต (สุรินทร์ เขต 6),http://202.6.26.16/images/candidate/thumb/32/6/48acef96-dbdb-4b91-a0fe-3803916a8ca3.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,6
ทองน้อย สมใจ,ส.ส. เขต (สุรินทร์ เขต 7),http://202.6.26.16/images/candidate/thumb/32/7/eabf9f7f-290f-4896-bb75-67de9b6a6f32.jpg,รักท้องถิ่นไทย,zone,สุรินทร์,7
ธนาภร ขันภักดี,ส.ส. เขต (ขอนแก่น เขต 5),http://202.6.26.16/images/candidate/thumb/40/5/d95579c3-de0d-4916-a3c7-fb1cbc360f18.jpg,รักท้องถิ่นไทย,zone,ขอนแก่น,5
วินิจ สิงห์ทุย,ส.ส. เขต (ขอนแก่น เขต 6),http://202.6.26.16/images/candidate/thumb/40/6/976f66b7-0cbd-4821-a54d-ec606ffcfaac.jpg,รักท้องถิ่นไทย,zone,ขอนแก่น,6
บุญส่ง สามารถ,ส.ส. เขต (อุบลราชธานี เขต 1),http://202.6.26.16/images/candidate/thumb/34/1/be7903cc-6c26-4ca6-af1c-5a292fc7e9b2.jpg,รักท้องถิ่นไทย,zone,อุบลราชธานี,1
ณัฐชนานันท์ วรรณศวัลย์,ส.ส. เขต (อุบลราชธานี เขต 2),http://202.6.26.16/images/candidate/thumb/34/2/57381c6f-9be0-4d98-9da0-144847b4c0ce.jpg,รักท้องถิ่นไทย,zone,อุบลราชธานี,2
เชิดชัย พรพัชระกุล,ส.ส. เขต (อุบลราชธานี เขต 10),http://202.6.26.16/images/candidate/thumb/34/10/2057f890-b6b3-40d9-8147-bd0f8894c0c0.jpg,รักท้องถิ่นไทย,zone,อุบลราชธานี,10
