name,desc,image,PartyName,memberType,province_name,zone_number
อำพร แพทย์ศาสตร์,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/175049e8-b99b-4ed1-8806-caaca89753b0.jpg,รักษ์ผืนป่าประเทศไทย,zone,ตราด,1
นิรัฐ นิภานันท์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/47c0c7cc-d37e-48d0-82b4-f8c65c7351ca.jpg,รักษ์ผืนป่าประเทศไทย,zone,นครนายก,1
สุรเดช แจวทอง,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/da667d4d-1e4c-4077-a0c7-5e94976e7bdd.jpg,รักษ์ผืนป่าประเทศไทย,zone,พังงา,1
ชาติชาย ตาหมี่,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/1debcc4d-3590-4baa-ae39-1c5d2a39dc99.jpg,รักษ์ผืนป่าประเทศไทย,zone,แม่ฮ่องสอน,1
ยืนยง นุ่นลอย,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/79734b4b-b09f-46fd-8702-34231b3dc919.jpg,รักษ์ผืนป่าประเทศไทย,zone,ระนอง,1
สุวรรณ จิตอนงค์,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/8fee678e-4613-4958-8a4e-5dddfe7c31a0.jpg,รักษ์ผืนป่าประเทศไทย,zone,สมุทรสงคราม,1
วรรณาต ดอกไม้ทอง,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/6e42129b-9c84-41de-bddc-27b9b4eee648.jpg,รักษ์ผืนป่าประเทศไทย,zone,สิงห์บุรี,1
ยศวีร์ รอตประเสริฐ,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/b71dae9e-ccc6-40a0-9394-8e8ffd13c43e.jpg,รักษ์ผืนป่าประเทศไทย,zone,อ่างทอง,1
สมใจ นวลนุ่น,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/bb77db6e-1ea4-4ad6-a2f4-671b7ba38ae6.jpg,รักษ์ผืนป่าประเทศไทย,zone,กระบี่,1
กมลชนก ราชไมตรี,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/03727b57-f5a5-4e40-a4e9-2cd9b4d9fe54.jpg,รักษ์ผืนป่าประเทศไทย,zone,กระบี่,2
