name,desc,image,PartyName,memberType,province_name,zone_number
เกรียงไกร ชาลีไชย,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/53c0d56c-34fa-4550-bda3-5a2ad3d43c3c.jpg,สยามพัฒนา,zone,อำนาจเจริญ,1
นิติธร จันทรบุตร,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/ab106938-7043-4a59-afa1-a0067de50369.jpg,สยามพัฒนา,zone,ยโสธร,1
สมพงษ์ พยุงวงษ์,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/94ac5be9-0ff6-4398-88de-b2441300a7af.jpg,สยามพัฒนา,zone,ยโสธร,3
วารินทร์ สุคนธชาติ,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/33492f9c-8767-4e46-b90e-b476af1e9eb1.jpg,สยามพัฒนา,zone,ยะลา,1
สะตอพา วาแมดีซา,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/9b89127e-d5b3-4d24-a539-3f6ad81a575d.jpg,สยามพัฒนา,zone,ยะลา,3
นรงค์ แสวงจิตร์,ส.ส. เขต (สระบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/19/1/fa5c1d6f-040e-4f30-beab-6cbb1ad96609.jpg,สยามพัฒนา,zone,สระบุรี,1
พงศกร คำภีระ,ส.ส. เขต (สระบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/19/2/68c139fb-6c00-4d93-b565-df27b38afaae.jpg,สยามพัฒนา,zone,สระบุรี,2
เจษฎา สุนาวี,ส.ส. เขต (สระบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/19/3/c96364fc-2c75-4b6e-b9c0-19e8fdeb9fb4.jpg,สยามพัฒนา,zone,สระบุรี,3
สมคิด ขันทอง,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/ffe80025-0861-4cc9-85e3-7d091f8dc3de.jpg,สยามพัฒนา,zone,หนองคาย,1
ธีรวัฒน์ ศรีสวัสดิ์,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/24d0534d-fa2c-441e-8a27-e820539d7100.jpg,สยามพัฒนา,zone,หนองคาย,2
สถิตย์ สีสวาท,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/57336305-2889-4a80-9c8b-c9909b916537.jpg,สยามพัฒนา,zone,หนองคาย,3
สุดใจ ชุมนุมมณี,ส.ส. เขต (ปัตตานี เขต 2),http://202.6.26.16/images/candidate/thumb/94/2/576e1ccb-e482-4127-b655-87dbf65ca38d.jpg,สยามพัฒนา,zone,ปัตตานี,2
วันทา ล้วนจิ๋ว,ส.ส. เขต (ลพบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/16/1/6b9a7997-7801-49c6-b8e9-f64123710ce4.jpg,สยามพัฒนา,zone,ลพบุรี,1
ธนกร กระต่ายจันทร์,ส.ส. เขต (ลพบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/16/2/fc26033d-b566-47d6-956d-9d514543d337.jpg,สยามพัฒนา,zone,ลพบุรี,2
ณัฐ์ธิวรรณ พันธุรัตน์,ส.ส. เขต (ลพบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/16/3/0e7dc51e-398f-4caa-8fbf-fe2a087c77bf.jpg,สยามพัฒนา,zone,ลพบุรี,3
ประสงค์ ก่ำวงษ์,ส.ส. เขต (ลพบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/16/4/10967c07-0d83-4ab5-8705-524e6899752a.jpg,สยามพัฒนา,zone,ลพบุรี,4
ไปรยา สอิ้งทอง,ส.ส. เขต (สุพรรณบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/72/1/361a3aed-cd7b-455f-a5e9-30a22e3fb33f.jpg,สยามพัฒนา,zone,สุพรรณบุรี,1
ชินพรรธน์ ธันยวิโรจน์,ส.ส. เขต (สุพรรณบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/72/2/7cd4a91e-ae32-48d9-a01e-45be27193037.jpg,สยามพัฒนา,zone,สุพรรณบุรี,2
อภิเดช ไทยแท้,ส.ส. เขต (กาฬสินธุ์ เขต 4),http://202.6.26.16/images/candidate/thumb/46/4/7a7329ec-570a-48ff-bf50-93379aa4db14.jpg,สยามพัฒนา,zone,กาฬสินธุ์,4
สมบัติ ปรีพูล,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/31495f9b-2077-456b-acab-55f752a97c39.jpg,สยามพัฒนา,zone,กาฬสินธุ์,5
สุวิทย์ วิชัด,ส.ส. เขต (มหาสารคาม เขต 1),http://202.6.26.16/images/candidate/thumb/44/1/8979de6a-2679-4e56-852d-cc6d487aaae4.jpg,สยามพัฒนา,zone,มหาสารคาม,1
ไพฑูรย์ บัวชิด,ส.ส. เขต (มหาสารคาม เขต 3),http://202.6.26.16/images/candidate/thumb/44/3/f64234e6-9d02-4b7b-afca-84b8c076c65f.jpg,สยามพัฒนา,zone,มหาสารคาม,3
เตชสิทธิ์ พิมล,ส.ส. เขต (มหาสารคาม เขต 4),http://202.6.26.16/images/candidate/thumb/44/4/3e17057f-455d-464f-bebe-c31a2bfea7c0.jpg,สยามพัฒนา,zone,มหาสารคาม,4
