name,desc,image,PartyName,memberType,province_name,zone_number
วิรัตน์ ธงชัยธนากุล,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/49ce9455-3961-44f9-b47b-b12bbe0e11fd.jpg,สังคมประชาธิปไตยไทย,zone,ตาก,2
ไพสิษฐ์ สุภา,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/0d187366-7ce5-43e0-a3a3-21c4773ff236.jpg,สังคมประชาธิปไตยไทย,zone,หนองบัวลำภู,1
ผดุง ภูนายา,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/c572dcab-6a25-4847-ad66-4bc46dccf9a2.jpg,สังคมประชาธิปไตยไทย,zone,หนองบัวลำภู,2
คำพอง โคตรทา,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/b36c301a-e129-427e-bffd-73a7658c59ad.jpg,สังคมประชาธิปไตยไทย,zone,หนองบัวลำภู,3
ลาเร่ อยู่เป็นสุข,ส.ส. เขต (ฉะเชิงเทรา เขต 1),http://202.6.26.16/images/candidate/thumb/24/1/36f03e27-8ad5-479c-a86e-d37c88830650.jpg,สังคมประชาธิปไตยไทย,zone,ฉะเชิงเทรา,1
ประสิทธิ์ ประสพสุข,ส.ส. เขต (ฉะเชิงเทรา เขต 2),http://202.6.26.16/images/candidate/thumb/24/2/d178e3b4-f17f-4288-a8d0-8552b1b49744.jpg,สังคมประชาธิปไตยไทย,zone,ฉะเชิงเทรา,2
สุเทพ งามสง่า,ส.ส. เขต (ฉะเชิงเทรา เขต 3),http://202.6.26.16/images/candidate/thumb/24/3/0c751429-2145-4415-8fcd-b84d5cc7f851.jpg,สังคมประชาธิปไตยไทย,zone,ฉะเชิงเทรา,3
เฉลย สุขหิรันต์,ส.ส. เขต (ฉะเชิงเทรา เขต 4),http://202.6.26.16/images/candidate/thumb/24/4/3f322813-cfe3-4b9c-a39f-f0037bccb322.jpg,สังคมประชาธิปไตยไทย,zone,ฉะเชิงเทรา,4
เสมา สืบตระกูล,ส.ส. เขต (ระยอง เขต 3),http://202.6.26.16/images/candidate/thumb/21/3/c3a08a75-a654-4818-a622-e202a4eb32cb.jpg,สังคมประชาธิปไตยไทย,zone,ระยอง,3
อัจฉรา วรรณชาลี,ส.ส. เขต (ระยอง เขต 4),http://202.6.26.16/images/candidate/thumb/21/4/fefeed04-6eb5-47c5-9079-b9a96547425c.jpg,สังคมประชาธิปไตยไทย,zone,ระยอง,4
แปลง บุญอาจ,ส.ส. เขต (พิษณุโลก เขต 5),http://202.6.26.16/images/candidate/thumb/65/5/2687f4a3-7e23-4a0d-97ed-7c207ad51f26.jpg,สังคมประชาธิปไตยไทย,zone,พิษณุโลก,5
ไพทูรย์ บางหรง,ส.ส. เขต (ชลบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/20/1/b4efac67-1726-44d8-ae8d-81c4303d6642.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,1
ณัฐวัตร หวังสุดดี,ส.ส. เขต (ชลบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/20/2/8a91372b-0869-459a-889b-42388eded494.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,2
เชิด นามสงคราม,ส.ส. เขต (ชลบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/20/3/1610a2b1-ff6b-4aee-ba83-3f0cd5d39169.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,3
ชวการ พิมพ์ตะคุ,ส.ส. เขต (ชลบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/20/4/949b2660-f479-4a8d-97be-5ea9dc05b207.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,4
มงคล ไตรพาน,ส.ส. เขต (ชลบุรี เขต 5),http://202.6.26.16/images/candidate/thumb/20/5/b3fb094e-a6bb-4a3b-96a6-4d1fa0c405b9.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,5
เฉลิมพล ผลาพรม,ส.ส. เขต (ชลบุรี เขต 6),http://202.6.26.16/images/candidate/thumb/20/6/2339ef9e-419c-4cb4-88be-65823cf01c80.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,6
อนุชา แก่ค้างพลู,ส.ส. เขต (ชลบุรี เขต 7),http://202.6.26.16/images/candidate/thumb/20/7/07251a58-fb02-492c-9b25-7205772b8990.jpg,สังคมประชาธิปไตยไทย,zone,ชลบุรี,7
