name,desc
ภัทราภรณ์ แก่งจำปา,สส.เขต (เลย เขต 1)
วิรอน รุจิไชยวัฒน์,สส.เขต (เลย เขต 3)
อุเทน อินทร์เจริญ,สส.เขต (หนองบัวลำภู เขต 3)
ชุทิมา ชื่นหัวใจ,สส.เขต (ลำปาง เขต 2)
วงศกร สารปรัง,สส.เขต (กาฬสินธุ์ เขต 1)
จินตนา ศรีนุเดช,สส.เขต (กาฬสินธุ์ เขต 3)
ณัฐพร อาจหาญ,สส.เขต (กาฬสินธุ์ เขต 5)
เสงี่ยม สุดไชยา,สส.เขต (สกลนคร เขต 2)
สีสมพร ทองนาง,สส.เขต (สกลนคร เขต 6)
วรวุธ ตามี่,สส.เขต (เชียงราย เขต 2)
ศุภนันท์ แสงบุญเรือง,สส.เขต (เชียงราย เขต 4)
พักตร์วิไล สหุนาฬุ,สส.เขต (สุรินทร์ เขต 5)
สุรเดช แก้วกัลยา,สส.เขต (ขอนแก่น เขต 3)
ภัทร์นฤน วงศ์กาศ,สส.เขต (กรุงเทพมหานคร เขต 2)
เอกวัฒน์ พิมพ์สวรรค์,สส.เขต (กรุงเทพมหานคร เขต 11)
ชุมาพร แต่งเกลี้ยง,สส.เขต (กรุงเทพมหานคร เขต 22)
