name,desc,image,PartyName,memberType,province_name,zone_number
ภัทราภรณ์ แก่งจำปา,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/de4650e1-f7fb-4741-9d47-c894fc73f8ce.jpg,สามัญชน,zone,เลย,1
วิรอน รุจิไชยวัฒน์,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/72164104-a84b-4bf2-9b37-7c93546c24f6.jpg,สามัญชน,zone,เลย,3
อุเทน อินทร์เจริญ,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/1651697f-9b76-4134-b89e-4fb190e1cf75.jpg,สามัญชน,zone,หนองบัวลำภู,3
ชุทิมา ชื่นหัวใจ,ส.ส. เขต (ลำปาง เขต 2),http://202.6.26.16/images/candidate/thumb/52/2/6bb70c30-89f3-474e-a550-3cf8414966c9.jpg,สามัญชน,zone,ลำปาง,2
วงศกร สารปรัง,ส.ส. เขต (กาฬสินธุ์ เขต 1),http://202.6.26.16/images/candidate/thumb/46/1/0f426ab1-7c9a-4cb2-9569-1ff3491811a6.jpg,สามัญชน,zone,กาฬสินธุ์,1
จินตนา ศรีนุเดช,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/764837d5-da9a-4098-aa75-907cef80305e.jpg,สามัญชน,zone,กาฬสินธุ์,3
ณัฐพร อาจหาญ,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/f8fc2163-cf21-454e-a7da-749fb87b48f9.jpg,สามัญชน,zone,กาฬสินธุ์,5
เสงี่ยม สุดไชยา,ส.ส. เขต (สกลนคร เขต 2),http://202.6.26.16/images/candidate/thumb/47/2/9419b0d5-e6b6-4446-8721-7672884eb8f1.jpg,สามัญชน,zone,สกลนคร,2
สีสมพร ทองนาง,ส.ส. เขต (สกลนคร เขต 6),http://202.6.26.16/images/candidate/thumb/47/6/177f7c9a-5de2-4e15-a1cf-4ac75ea0d198.jpg,สามัญชน,zone,สกลนคร,6
วรวุธ ตามี่,ส.ส. เขต (เชียงราย เขต 2),http://202.6.26.16/images/candidate/thumb/57/2/9840bda5-9e5a-4734-bdc1-77d2c649cab7.jpg,สามัญชน,zone,เชียงราย,2
ศุภนันท์ แสงบุญเรือง,ส.ส. เขต (เชียงราย เขต 4),http://202.6.26.16/images/candidate/thumb/57/4/1bdafd5b-0704-4938-8925-b3c36b21788d.jpg,สามัญชน,zone,เชียงราย,4
พักตร์วิไล สหุนาฬุ,ส.ส. เขต (สุรินทร์ เขต 5),http://202.6.26.16/images/candidate/thumb/32/5/37001ac1-097a-4799-a90b-7f7bc5d6bcfd.jpg,สามัญชน,zone,สุรินทร์,5
สุรเดช แก้วกัลยา,ส.ส. เขต (ขอนแก่น เขต 3),http://202.6.26.16/images/candidate/thumb/40/3/2e0d59c5-b9bf-41ed-b3a2-d8985def030a.jpg,สามัญชน,zone,ขอนแก่น,3
ภัทร์นฤน วงศ์กาศ,ส.ส. เขต (กรุงเทพมหานคร เขต 2),http://202.6.26.16/images/candidate/thumb/10/2/c0e4dd29-d895-42ce-a764-6646dd5df73e.jpg,สามัญชน,zone,กรุงเทพมหานคร,2
เอกวัฒน์ พิมพ์สวรรค์,ส.ส. เขต (กรุงเทพมหานคร เขต 11),http://202.6.26.16/images/candidate/thumb/10/11/09230265-a93e-4ae3-805f-22601534298b.jpg,สามัญชน,zone,กรุงเทพมหานคร,11
ชุมาพร แต่งเกลี้ยง,ส.ส. เขต (กรุงเทพมหานคร เขต 22),http://202.6.26.16/images/candidate/thumb/10/22/137de8f4-7c67-4d53-98e8-e3e8f79ccb6b.jpg,สามัญชน,zone,กรุงเทพมหานคร,22
เลิศศักดิ์ คำคงศักดิ์,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/98/1f857bc4-0248-48ea-9ba2-f91b647be08d.jpg,สามัญชน,partylist,-,-
พรทิพย์ หงชัย,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/98/a35e8a9a-0900-46b2-af0b-861c6bc0bd8a.jpg,สามัญชน,partylist,-,-
สุริยา แสงแก้วฝั้น,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/98/beff3d8e-24f7-42fe-9ab6-cf533449298d.jpg,สามัญชน,partylist,-,-
อภิวัฒน์ กวางแก้ว,ส.ส. บัญชีรายชื่อ (ลำดับที่ 4),http://202.6.26.16/images/candidate/thumb/00/98/ea1ff6a2-0c8d-4ba1-b7a3-e5913f18b976.jpg,สามัญชน,partylist,-,-
พร้อมศักดิ์ จิตจำ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 5),http://202.6.26.16/images/candidate/thumb/00/98/99499536-2ee7-4934-b9e9-6d268b8c3a65.jpg,สามัญชน,partylist,-,-
ปกรณ์ สระแก้งตูม,ส.ส. บัญชีรายชื่อ (ลำดับที่ 6),http://202.6.26.16/images/candidate/thumb/00/98/01dadb04-ad4f-407f-a36c-83943fbdba8d.jpg,สามัญชน,partylist,-,-
