name,desc,image,PartyName,memberType,province_name,zone_number
ศักดินัย นุ่มหนู,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/f3bad92c-ccea-4112-8283-2563766e1466.jpg,อนาคตใหม่,zone,ตราด,1
อุดม พัชรพนาวีร์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/74cc6b1c-da3f-49c7-91c5-022d1531dded.jpg,อนาคตใหม่,zone,นครนายก,1
จิรพงศ์ มาศทอง,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/f175c9ba-dc12-414e-a0ea-42b6e921b955.jpg,อนาคตใหม่,zone,พังงา,1
อนุพันธ์ หาญประดับทอง,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/4d0bcc55-1c65-4376-a3c3-ffe7454a6395.jpg,อนาคตใหม่,zone,แม่ฮ่องสอน,1
สายัณห์ วรวิสุทธิ์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/7bbd637e-36e5-4889-8df4-8ec99ae04e70.jpg,อนาคตใหม่,zone,ระนอง,1
ดิเรกฤทธิ์ เล็กสกุล,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/b6a1d8ec-6fbd-427a-b8e7-aac8cabfdfda.jpg,อนาคตใหม่,zone,สมุทรสงคราม,1
ธีรเศรษฐ พัฒน์วราพงษ์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/1abff3c1-873e-4b3f-b85c-1aa6f58113db.jpg,อนาคตใหม่,zone,สิงห์บุรี,1
พชิชา เสือหัน,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/21a1bec4-b955-4ce8-8cc2-b6e17cb5eb4c.jpg,อนาคตใหม่,zone,อ่างทอง,1
ยุทธนา อ่าวลึกน้อย,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/6857497b-b553-41c1-a21a-3f01b41187dd.jpg,อนาคตใหม่,zone,กระบี่,1
ประพันธ์ แก้วทอง,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/296821d8-32dc-4a7a-a9e2-efa5b37f02bd.jpg,อนาคตใหม่,zone,กระบี่,2
ณัฐพงศ์ นวลแสง,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/a2bb48c5-88d1-461a-a768-e28b2f2bd18e.jpg,อนาคตใหม่,zone,ชัยนาท,1
วิชาญ วงษ์พานิช,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/0a0cda40-c528-4801-bfb6-51f0353fb075.jpg,อนาคตใหม่,zone,ชัยนาท,2
สุทธิณัฐ นามวัน,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/8815c171-9434-412d-b4d4-06e78a838e99.jpg,อนาคตใหม่,zone,บึงกาฬ,1
สำรวย ศรีทิน,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/458f87ed-b153-4448-851d-9e81174e2a4c.jpg,อนาคตใหม่,zone,บึงกาฬ,2
เอกการ ซื่อทรงธรรม,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/91b563aa-a297-4703-91f9-34fb3f1c6682.jpg,อนาคตใหม่,zone,แพร่,1
กฤติดนัย สันแก้ว,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/15ae3c72-aefa-4845-af19-ae7d5ae8f88a.jpg,อนาคตใหม่,zone,แพร่,2
วิศิษฐ์ อนันต์ศิริภัณฑ์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/c64e0056-61be-4a2c-869d-ca3b246b873b.jpg,อนาคตใหม่,zone,ภูเก็ต,1
ศุภณัฐ เลื่องลือ,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/e157cc57-cbff-421d-87f5-a2a5be0979e3.jpg,อนาคตใหม่,zone,ภูเก็ต,2
วรินทร์ธร ภูมิบุญชู,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/ef74f012-94d1-4e38-89de-6b0d401920f9.jpg,อนาคตใหม่,zone,มุกดาหาร,1
ศุภลักษณ์ คำสิงห์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/8d690bc2-33c7-4f38-bf1c-c80f5d2543ba.jpg,อนาคตใหม่,zone,มุกดาหาร,2
วิทวิสิทธิ์ ปันสวนปลูก,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/31885fbf-c6a8-4bd9-80c8-c5e356e3d220.jpg,อนาคตใหม่,zone,ลำพูน,1
ประสิทธิ์ รัตนพรหม,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/1209ca8e-4969-4bd9-b241-bd044fdefea6.jpg,อนาคตใหม่,zone,ลำพูน,2
อิสมาแอล ขุนดำ,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/a4d185fa-50cd-4c87-b495-cb6bd18b1d1a.jpg,อนาคตใหม่,zone,สตูล,1
สวาท บินรินทร์,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/f165e946-ba07-4023-a605-dd57e3d28fd6.jpg,อนาคตใหม่,zone,สตูล,2
ประภาส เวชกรณ์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/e0c3ab84-96c7-4dbe-a341-60b40b637b71.jpg,อนาคตใหม่,zone,อำนาจเจริญ,1
