name,desc,image,PartyName,memberType,province_name,zone_number
ลัดดา แขวงอุบล,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/35f9e7a3-3efc-4002-b58c-2867f9e50a1d.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ตราด,1
ชาญ น้ำใจสัตย์,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/560f60c1-715b-4c9f-99b7-28cdd1f61e02.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,สิงห์บุรี,1
เกรียงศักดิ์ อริยะฉัตรชัย,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/ac97f2be-59ba-41fe-85e4-3722451d254d.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,อ่างทอง,1
ทองเหมาะ สำราญบุญ,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/991763cc-f64d-4c3c-bc77-5fb00751d41b.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ชัยนาท,1
ดา ครคง,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/05e3333b-099c-441b-bbea-1ffa019e018d.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ชัยนาท,2
นพลกฤต พรหมโชติกาญ,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/ed137ba4-9c92-4963-a7ce-b668d626f69c.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ลำพูน,1
บัวลำ ยะแบน,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/3b4dc970-fa7b-4775-9043-cf121db24d0f.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ลำพูน,2
อุกฤษณ์ เส็งหะพันธ์,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/64767c0a-2f60-499a-9887-fd34cd95ba2b.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,อุทัยธานี,1
ราม พัสถาน,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/0629a218-538c-4487-9e9f-33f0b31d8cc4.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,อุทัยธานี,2
สมศร ผดุงพรรค,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/4a5dce93-a7b2-436b-9de6-5447396613f9.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,จันทบุรี,1
สุรศักดิ์ ศิริชาตรี,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/2865dca8-cce8-4d84-aa46-d579c2ab0264.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,จันทบุรี,2
วิเชียร โชติสำราญ,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/51d7817d-a1f3-4bed-842e-af3ee09617e0.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,จันทบุรี,3
ฉลอง อัดแสง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/ee387d63-58be-40cf-95ea-5032ad7a7b4b.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ประจวบคีรีขันธ์,1
จุฑา  แป้นทอง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/edd29068-0995-4ed7-ab19-5260a708a50b.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ประจวบคีรีขันธ์,2
เอนก น้อยแสง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/0fb4aef1-2b74-456b-aee3-036ff54b9ddb.jpg,เครือข่ายชาวนาแห่งประเทศไทย,zone,ประจวบคีรีขันธ์,3
