name,desc,image,PartyName,memberType,province_name,zone_number
ขันเพ็ชร์ คำโพธิ์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/db6b1599-8cc8-4378-bb8d-9c4d2aae2b18.jpg,เพื่อคนไทย,zone,มุกดาหาร,1
ปราโมทย์ แก่นงาม,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/750d296c-2d7f-48dd-a210-0f6f7828d850.jpg,เพื่อคนไทย,zone,มุกดาหาร,2
ชื่น หนูทอง,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/47acfa6a-9e05-4994-a993-d1e891a66dd3.jpg,เพื่อคนไทย,zone,อำนาจเจริญ,2
สมศักดิ์ ศรีจันทร์,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/1aecc23a-4b02-432f-862b-978ff6922c4c.jpg,เพื่อคนไทย,zone,ยโสธร,3
มุกตาร์ จะปะกิยา,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/cd89d795-c682-47d2-beaf-b9b89c69cc6d.jpg,เพื่อคนไทย,zone,ยะลา,1
สะมาแอ มะดีเย๊าะ,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/0d513b89-a996-40df-8be2-ec412d28c160.jpg,เพื่อคนไทย,zone,ยะลา,2
มูหมัด จารง,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/be63a988-6fd8-457f-b889-4786d295d126.jpg,เพื่อคนไทย,zone,ยะลา,3
บุญช่วย ปู่หลุ่น,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/65ac625e-8a18-4667-a6b4-de394d29764e.jpg,เพื่อคนไทย,zone,หนองบัวลำภู,1
ยุทธศาสตร์ สิงห์แก้ว,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/decb73de-123d-458c-912d-876d6d5e862d.jpg,เพื่อคนไทย,zone,หนองบัวลำภู,2
สงวน เพียเทพ,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/47855347-8166-4c47-be6d-5011c8675bb1.jpg,เพื่อคนไทย,zone,หนองบัวลำภู,3
วิจิตร ชินสาร,ส.ส. เขต (นครพนม เขต 1),http://202.6.26.16/images/candidate/thumb/48/1/e731bbc9-88a3-44d7-a44f-e92bd1ad2905.jpg,เพื่อคนไทย,zone,นครพนม,1
ถิรวัฒน์ จำปาไชยศรี,ส.ส. เขต (นครพนม เขต 2),http://202.6.26.16/images/candidate/thumb/48/2/4044d465-800c-43c7-b583-04c08c66e900.jpg,เพื่อคนไทย,zone,นครพนม,2
เข็มชาติ ทรัพยสิทธิ์,ส.ส. เขต (นครพนม เขต 3),http://202.6.26.16/images/candidate/thumb/48/3/d916cb15-fc9c-4fdd-a4da-6b90dd5b0b90.jpg,เพื่อคนไทย,zone,นครพนม,3
สุมาลี พูลศิริกุล,ส.ส. เขต (นครพนม เขต 4),http://202.6.26.16/images/candidate/thumb/48/4/50e1c0a1-7846-4e9d-8225-20ee7e8566b4.jpg,เพื่อคนไทย,zone,นครพนม,4
ยูมีรา ดารามั่น,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/549089a5-9754-4a1f-a548-f974451ae03e.jpg,เพื่อคนไทย,zone,นราธิวาส,1
สสิธร สะนิ,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/e2f2e63f-ebfe-4c89-8b04-e20aaab5217f.jpg,เพื่อคนไทย,zone,นราธิวาส,2
สมัย ฮารง,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/5373afe2-1089-4469-89a0-0ec096f0b458.jpg,เพื่อคนไทย,zone,นราธิวาส,3
มะสาเร บือราเฮงบลูกา,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/e5ebf076-5a59-4b03-bd9c-a6786378b887.jpg,เพื่อคนไทย,zone,นราธิวาส,4
วันเพ็ญ วรรณจักร์,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/c16db435-56a9-46d7-bcbe-14dc54d246f7.jpg,เพื่อคนไทย,zone,กาฬสินธุ์,3
สุนทร ภูศรีฐาน,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/25db1480-a675-4c7f-860b-788196671e80.jpg,เพื่อคนไทย,zone,กาฬสินธุ์,5
ชุมพร ศรีสารคาม,ส.ส. เขต (มหาสารคาม เขต 1),http://202.6.26.16/images/candidate/thumb/44/1/97ee92f1-22e5-4795-bdd6-75ac9fc3720a.jpg,เพื่อคนไทย,zone,มหาสารคาม,1
ปรียาพร ปรุงฆ้อง,ส.ส. เขต (มหาสารคาม เขต 2),http://202.6.26.16/images/candidate/thumb/44/2/7ea0407c-7ed6-4bf1-a8bb-ff1ad26127ef.jpg,เพื่อคนไทย,zone,มหาสารคาม,2
สุนทร สุนทรเลิศธนากุล,ส.ส. เขต (มหาสารคาม เขต 3),http://202.6.26.16/images/candidate/thumb/44/3/568823d1-eec6-48ce-a91a-24a59b68a467.jpg,เพื่อคนไทย,zone,มหาสารคาม,3
ดาวเรือง พรสีมา,ส.ส. เขต (มหาสารคาม เขต 5),http://202.6.26.16/images/candidate/thumb/44/5/95a2a0a8-ebd9-4eb5-a4fd-5d2fc5c22a34.jpg,เพื่อคนไทย,zone,มหาสารคาม,5
ดำรงค์ ศรีวงษ์ชัย,ส.ส. เขต (ชัยภูมิ เขต 1),http://202.6.26.16/images/candidate/thumb/36/1/61cc8f1d-741e-4c98-a9f2-da162d1b953f.jpg,เพื่อคนไทย,zone,ชัยภูมิ,1
สหรัฐ ละจินดาวงศ์,ส.ส. เขต (ชัยภูมิ เขต 3),http://202.6.26.16/images/candidate/thumb/36/3/20d19d3c-240b-4a51-9aef-3f8db0a7fe03.jpg,เพื่อคนไทย,zone,ชัยภูมิ,3
ประทีป พลมณี,ส.ส. เขต (ชัยภูมิ เขต 5),http://202.6.26.16/images/candidate/thumb/36/5/87b16c5a-dad7-4fe5-946d-ba1a478b50f5.jpg,เพื่อคนไทย,zone,ชัยภูมิ,5
วิชวัช ฉ่ำสันเทียะ,ส.ส. เขต (ชัยภูมิ เขต 6),http://202.6.26.16/images/candidate/thumb/36/6/2b7649b6-cde2-4bf5-99e4-6233f8418d3b.jpg,เพื่อคนไทย,zone,ชัยภูมิ,6
รชานนท์ ศิรัญญา,ส.ส. เขต (สกลนคร เขต 1),http://202.6.26.16/images/candidate/thumb/47/1/1f3bbf7d-caf4-437e-8daf-9792d15b7882.jpg,เพื่อคนไทย,zone,สกลนคร,1
เขมจิรา ชุมปัญญา,ส.ส. เขต (สกลนคร เขต 2),http://202.6.26.16/images/candidate/thumb/47/2/a5c78fd9-c729-4218-af85-bd950257f177.jpg,เพื่อคนไทย,zone,สกลนคร,2
ชัยยุทธ วัยเหนิดลื้อ,ส.ส. เขต (สกลนคร เขต 3),http://202.6.26.16/images/candidate/thumb/47/3/cf2e7fd4-e2f0-4258-94f1-b4f50c32edad.jpg,เพื่อคนไทย,zone,สกลนคร,3
เศวต ชื่นบุญ,ส.ส. เขต (สกลนคร เขต 4),http://202.6.26.16/images/candidate/thumb/47/4/833795b1-148b-41de-b9d9-ae0d9b14d8c6.jpg,เพื่อคนไทย,zone,สกลนคร,4
ประหยัด ธานะราช,ส.ส. เขต (สกลนคร เขต 5),http://202.6.26.16/images/candidate/thumb/47/5/8bfbbf05-2208-4013-99ad-f95880afa0b8.jpg,เพื่อคนไทย,zone,สกลนคร,5
สุวรรณวาท แก้วคำแสน,ส.ส. เขต (สกลนคร เขต 6),http://202.6.26.16/images/candidate/thumb/47/6/aef95110-dd54-4f41-8824-3cb5ea7d1f9e.jpg,เพื่อคนไทย,zone,สกลนคร,6
เชิดวุฒิ วรรณกุล,ส.ส. เขต (อุดรธานี เขต 5),http://202.6.26.16/images/candidate/thumb/41/5/e5a6ddbd-04bc-4aac-99cf-58b5656f61d9.jpg,เพื่อคนไทย,zone,อุดรธานี,5
