name,desc,image,PartyName,memberType,province_name,zone_number
พัชรี มนัสสนิท,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/f5a5be93-b2d7-44d9-beea-415d20ef30e2.jpg,เพื่อชาติ,zone,ตราด,1
ธนวัฒน์ เสือสวย,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/2b5437d7-90a7-4439-8af0-f8be7eed83e6.jpg,เพื่อชาติ,zone,นครนายก,1
อนันต์ ทอดทิ้ง,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/408faf24-5da8-40e2-998d-62a094ba1173.jpg,เพื่อชาติ,zone,พังงา,1
ชุณห์พิมาน เชษฐ์เมทินี,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/4152eff9-53c3-49ec-a658-6058a6de703a.jpg,เพื่อชาติ,zone,แม่ฮ่องสอน,1
พิชิต สุนทร,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/5d3169e7-7647-49c2-a120-cd55a719cd3f.jpg,เพื่อชาติ,zone,ระนอง,1
ธนธัส ขุนนุช,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/55c12d0f-3423-4f1a-977d-96af85dc42af.jpg,เพื่อชาติ,zone,สมุทรสงคราม,1
ภูวเดช มังสาทอง,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/8a1a3112-0e10-47b9-9fa9-0a5233637f4a.jpg,เพื่อชาติ,zone,สิงห์บุรี,1
อาภิชา อัฐมาภรณ์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/a900b9e7-f9c5-4cb3-bc6e-fe4ef7734551.jpg,เพื่อชาติ,zone,อ่างทอง,1
ไพบูลย์ เกกินะ,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/d0bc50ed-89fb-4ad6-911c-016c288a24f5.jpg,เพื่อชาติ,zone,กระบี่,1
เฉลิมวัฒน์ อินทร์จันทร์,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/13a6bb10-f64e-487a-824b-5215c07f179f.jpg,เพื่อชาติ,zone,กระบี่,2
สุภัทร์ประกร อ่ำสกุล,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/acd7f092-1a94-49b0-a5ff-2d8d0f35b677.jpg,เพื่อชาติ,zone,ชัยนาท,1
จิระ   เมธีวิวัฒน์,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/813c6921-dc18-4433-8e69-150c5b27aff5.jpg,เพื่อชาติ,zone,ชัยนาท,2
ชาญวุฒิ บุตดา,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/2dcd3f9a-fc9e-4274-9973-f9d274a71467.jpg,เพื่อชาติ,zone,บึงกาฬ,1
ไพโรจน์ จิตไพศาล,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/f74d2331-79a8-4113-a9a1-e895b434de39.jpg,เพื่อชาติ,zone,บึงกาฬ,2
ธนกฤต ตุ้ยดี,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/58599f2d-dd16-4866-9f26-4f11cca3132e.jpg,เพื่อชาติ,zone,แพร่,1
ทักษิณ ฝากมิตร,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/eec0c831-fd60-4f57-96ff-17a56464ea7b.jpg,เพื่อชาติ,zone,แพร่,2
พลัฏฐ์ จันทรโศภิน,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/6bb9b6ad-6206-4d43-805f-04ce6b2728a1.jpg,เพื่อชาติ,zone,ภูเก็ต,1
ชาญเวช โชติกิจสมบูรณ์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/729e4a2c-40c2-4a99-abb4-3e67f867971f.jpg,เพื่อชาติ,zone,ภูเก็ต,2
อนุสรณ์ โพธิ์ศิริ,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/54cb5a6c-20e9-47d8-9128-88faa1ed1421.jpg,เพื่อชาติ,zone,มุกดาหาร,1
วิทยา บุตรดีวงค์,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/ac8fb70a-8b04-4c95-9767-9aa4f3ef2ebf.jpg,เพื่อชาติ,zone,มุกดาหาร,2
นิติธร บุตรดา,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/219f3757-101e-4223-9121-fd3760bf92e8.jpg,เพื่อชาติ,zone,ลำพูน,1
ทักษิณ เรือนแก้วเทวา,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/e34666e9-ff22-4e45-8eb5-166f543619d5.jpg,เพื่อชาติ,zone,ลำพูน,2
ยงยุทธ ประสมศรี,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/a663c8e9-8266-4c01-af1e-675ef43d1a32.jpg,เพื่อชาติ,zone,สตูล,1
ฟารูก พีรูซอะลี,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/c7b630fe-d5cc-438a-93b3-0cc953a306cc.jpg,เพื่อชาติ,zone,สตูล,2
สมบัติ วันทอง,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/6dc31dbb-5c68-478b-9265-dcdd38a42b9d.jpg,เพื่อชาติ,zone,อำนาจเจริญ,1
ชัยศรี กีฬา,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/e8f754b3-8f91-49e3-b5ab-7c8c4915b286.jpg,เพื่อชาติ,zone,อำนาจเจริญ,2
พิมณัฏฐา  จิระพุทธิภาคย์,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/7a5b7d57-4d40-4c32-a8d0-3f0456813e8c.jpg,เพื่อชาติ,zone,อุตรดิตถ์,1
สิน อินชูรันต์,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/a4effc56-6188-450c-a199-34a21899e9f5.jpg,เพื่อชาติ,zone,อุตรดิตถ์,2
ทักษิณ ทวีการไถ,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/3e50b8d0-eeed-47f3-b593-aefcf486e200.jpg,เพื่อชาติ,zone,อุทัยธานี,1
ยิ่งลักษณ์ เกษคำ,ส.ส. เขต (อุทัยธานี เขต 2),http://202.6.26.16/images/candidate/thumb/61/2/789d3caf-1ec2-46f5-928a-c03935e5ead1.jpg,เพื่อชาติ,zone,อุทัยธานี,2
ศาสตราวัต สกุลนาธรรม,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/2922d7c4-60fa-49d5-b06f-f19ba11ce387.jpg,เพื่อชาติ,zone,จันทบุรี,1
มารุต พิสุทธิพันธ์พงศ์,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/beb94993-4292-4601-a9b8-27d463ea4001.jpg,เพื่อชาติ,zone,จันทบุรี,2
ประสิทธิ์ บุญเจริญ,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/bdb5b5e2-dc16-4d4b-8e09-0ef87f95a0c8.jpg,เพื่อชาติ,zone,จันทบุรี,3
วรพันธ์ สุขประวิทย์,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/d680fcc6-a1b2-41bd-b6b6-f689ec8103d2.jpg,เพื่อชาติ,zone,ชุมพร,1
พรพจน์ โชติ ณ ภาลัย,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/83e1a694-bd9b-46e8-8b77-7a7bb6b36f26.jpg,เพื่อชาติ,zone,ชุมพร,2
จัตุรนต์ คชสีห์,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/b5b2984a-5559-42d0-ad4c-952b89a4394f.jpg,เพื่อชาติ,zone,ชุมพร,3
นงค์ ดำหมาน,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/1e73e461-ad4f-4543-9e3d-355054a08230.jpg,เพื่อชาติ,zone,ตรัง,1
อนันต์ รองพล,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/5763bff0-0246-4500-b7e9-a6cc86eb7fe9.jpg,เพื่อชาติ,zone,ตรัง,2
อชิระ หนูทองแก้ว,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/4c840da2-d9b3-4c90-8879-3b4027dacbfa.jpg,เพื่อชาติ,zone,ตรัง,3
ณพล ชยานนท์ภักดี,ส.ส. เขต (ตาก เขต 1),http://202.6.26.16/images/candidate/thumb/63/1/7fe14ae1-6f47-47f8-9542-b3c8444da478.jpg,เพื่อชาติ,zone,ตาก,1
ธีรยุทธ วงษ์แหวน,ส.ส. เขต (ตาก เขต 2),http://202.6.26.16/images/candidate/thumb/63/2/c966aba4-8eee-4686-900e-8dc47fef14cf.jpg,เพื่อชาติ,zone,ตาก,2
อมรเทพ นันตาสาย,ส.ส. เขต (ตาก เขต 3),http://202.6.26.16/images/candidate/thumb/63/3/e8443d38-79f3-4ab6-bef9-734210d93e0d.jpg,เพื่อชาติ,zone,ตาก,3
ราเชนทร์ กาบคำ,ส.ส. เขต (น่าน เขต 1),http://202.6.26.16/images/candidate/thumb/55/1/1f525705-f929-4ab5-aa55-a8f1a386681b.jpg,เพื่อชาติ,zone,น่าน,1
อนุวัฒน์ ท้าวเชียง,ส.ส. เขต (น่าน เขต 2),http://202.6.26.16/images/candidate/thumb/55/2/f832b1dc-242b-4969-9924-ac163f83711b.jpg,เพื่อชาติ,zone,น่าน,2
ต่วน ไชยโย,ส.ส. เขต (น่าน เขต 3),http://202.6.26.16/images/candidate/thumb/55/3/b1168a79-aee7-4f45-aa8a-91003765d2fc.jpg,เพื่อชาติ,zone,น่าน,3
สำเริง อุ่นยวง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 1),http://202.6.26.16/images/candidate/thumb/77/1/1f7f154a-0f3a-45cb-ad58-027e32493129.jpg,เพื่อชาติ,zone,ประจวบคีรีขันธ์,1
พุฒิพัฒน์ เพชรสิทธิพงษ์,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 2),http://202.6.26.16/images/candidate/thumb/77/2/93d4ccbb-6b2c-4528-8641-6b641495b3a6.jpg,เพื่อชาติ,zone,ประจวบคีรีขันธ์,2
โชติ เงินแท่ง,ส.ส. เขต (ประจวบคีรีขันธ์ เขต 3),http://202.6.26.16/images/candidate/thumb/77/3/1eb27b42-8d9a-4bb5-b0e1-df8a353fbb01.jpg,เพื่อชาติ,zone,ประจวบคีรีขันธ์,3
อภิชาติ ทันพุทธ,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/3bc29616-2e2c-4a4c-ba34-8041525a0045.jpg,เพื่อชาติ,zone,ปราจีนบุรี,1
ปริญญา สุรพันธุ์,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/0374a78c-405c-425c-aff3-97b09fc785ce.jpg,เพื่อชาติ,zone,ปราจีนบุรี,2
กิติวัฒน์ บัวลอย,ส.ส. เขต (ปราจีนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/25/3/d943f41d-344b-4b67-aae6-a90c47666b71.jpg,เพื่อชาติ,zone,ปราจีนบุรี,3
ทักษิณ กีรติศักดิ์วรกุล,ส.ส. เขต (พะเยา เขต 1),http://202.6.26.16/images/candidate/thumb/56/1/845c0fd3-6e27-4d76-9257-96b4a584ebaa.jpg,เพื่อชาติ,zone,พะเยา,1
พิเชษฐ์ ไชยเนตร,ส.ส. เขต (พะเยา เขต 2),http://202.6.26.16/images/candidate/thumb/56/2/5e77e41d-2d8b-4bb3-bae9-c5c73c914ead.jpg,เพื่อชาติ,zone,พะเยา,2
ทักษิณ สิงห์ชัย,ส.ส. เขต (พะเยา เขต 3),http://202.6.26.16/images/candidate/thumb/56/3/319af3ad-78f9-4ca3-8106-ac0a6fc6de38.jpg,เพื่อชาติ,zone,พะเยา,3
พิชัย ศรีนวลขาว,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/296a1280-85c3-4b80-993e-f7a6cbd07807.jpg,เพื่อชาติ,zone,พัทลุง,1
