name,desc,image,PartyName,memberType,province_name,zone_number
วีระ ใจคง,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/9e9d1a53-ad25-482c-9456-7aa2dea0c1e5.jpg,เพื่อชีวิตใหม่,zone,มุกดาหาร,2
ธัญญามาศ ใจช่วย,ส.ส. เขต (ระยอง เขต 1),http://202.6.26.16/images/candidate/thumb/21/1/42034e1c-3306-48d5-9c6b-e56582005d4a.jpg,เพื่อชีวิตใหม่,zone,ระยอง,1
วิโรจน์ สมบัติมล,ส.ส. เขต (กาฬสินธุ์ เขต 1),http://202.6.26.16/images/candidate/thumb/46/1/21aacdfe-70d7-430c-bb6a-dc2f6cdf9a09.jpg,เพื่อชีวิตใหม่,zone,กาฬสินธุ์,1
สุทิน คำนาดี,ส.ส. เขต (กาฬสินธุ์ เขต 2),http://202.6.26.16/images/candidate/thumb/46/2/93f2cd39-703f-4597-b2b0-a9d33cb5d219.jpg,เพื่อชีวิตใหม่,zone,กาฬสินธุ์,2
บุญร่วม บุตรพรม,ส.ส. เขต (กาฬสินธุ์ เขต 3),http://202.6.26.16/images/candidate/thumb/46/3/63744c73-d273-4afd-a4f0-77c3ac33b432.jpg,เพื่อชีวิตใหม่,zone,กาฬสินธุ์,3
อรุณ ยะสูงเนิน,ส.ส. เขต (กาฬสินธุ์ เขต 4),http://202.6.26.16/images/candidate/thumb/46/4/45bc0971-28f6-42b5-a7e4-d7db9d21eb05.jpg,เพื่อชีวิตใหม่,zone,กาฬสินธุ์,4
พงษ์พายุ พายุบุตร,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/736ffb40-2e82-4a82-bc69-dacbdeead2f5.jpg,เพื่อชีวิตใหม่,zone,กาฬสินธุ์,5
ณรงค์ศักดิ์ วิเศษบุญนนท์,ส.ส. เขต (ร้อยเอ็ด เขต 1),http://202.6.26.16/images/candidate/thumb/45/1/f53bcdd1-e586-4df4-a5c9-2192fed047c0.jpg,เพื่อชีวิตใหม่,zone,ร้อยเอ็ด,1
ลินดา เจริญแสง,ส.ส. เขต (ร้อยเอ็ด เขต 2),http://202.6.26.16/images/candidate/thumb/45/2/45f63ded-6056-4235-b245-3e893132c32a.jpg,เพื่อชีวิตใหม่,zone,ร้อยเอ็ด,2
ธนัฏฐา แก้วภูงา,ส.ส. เขต (ร้อยเอ็ด เขต 5),http://202.6.26.16/images/candidate/thumb/45/5/140bdbfe-910f-4685-a86c-bd11c3bc1306.jpg,เพื่อชีวิตใหม่,zone,ร้อยเอ็ด,5
คำผล แก้วภูงา,ส.ส. เขต (ร้อยเอ็ด เขต 6),http://202.6.26.16/images/candidate/thumb/45/6/6f5bed63-67da-4dcc-b5b0-f34fd3181e0e.jpg,เพื่อชีวิตใหม่,zone,ร้อยเอ็ด,6
สิน ศิริหนองหว้า,ส.ส. เขต (ร้อยเอ็ด เขต 7),http://202.6.26.16/images/candidate/thumb/45/7/6e201bc5-9e09-4e2e-86a0-73256ab631d0.jpg,เพื่อชีวิตใหม่,zone,ร้อยเอ็ด,7
สุพัฒน์ หงษ์สวัสดิ์,ส.ส. เขต (ชลบุรี เขต 6),http://202.6.26.16/images/candidate/thumb/20/6/79afa6c6-625c-4fcc-a489-6aae4010751d.jpg,เพื่อชีวิตใหม่,zone,ชลบุรี,6
โกลัญญา นันทรัตน์,ส.ส. เขต (สงขลา เขต 6),http://202.6.26.16/images/candidate/thumb/90/6/48c1364b-fbd0-4c2f-94d7-b582512ce473.jpg,เพื่อชีวิตใหม่,zone,สงขลา,6
ทองประเสริฐ จันทรอัมพร,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/48/b00ee241-0f1d-4df9-b06a-92f1da73436f.jpg,เพื่อชีวิตใหม่,partylist,-,-
รุ่งทิภา สุนนทะราช,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/48/a886ab7d-092c-4dd5-9adf-15faacdd0d6c.jpg,เพื่อชีวิตใหม่,partylist,-,-
เพชร จันทร์ดา,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/48/b59064f7-fee7-463d-8583-540f346d1645.jpg,เพื่อชีวิตใหม่,partylist,-,-
