name,desc,image,PartyName,memberType,province_name,zone_number
ขจรศักดิ์ เครือยศ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/ec8098fd-ca12-4c73-bb17-cdd8e262ed06.jpg,เพื่อธรรม,zone,พังงา,1
เสส มรรคาเขต,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/ef3e3e3a-1850-4d5f-834c-2d6e44912486.jpg,เพื่อธรรม,zone,สตูล,1
ยากาศ บิลหมัด,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/d4b3e10d-b668-4cff-92c8-aa12e5b139bc.jpg,เพื่อธรรม,zone,สตูล,2
ประดิษฐ์ ขำขาว,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/90366e18-15c1-48b1-80a2-5da6305e88cd.jpg,เพื่อธรรม,zone,ชุมพร,2
ธนัตถ์ อนันต์,ส.ส. เขต (ตรัง เขต 1),http://202.6.26.16/images/candidate/thumb/92/1/d6addc24-3f50-4583-8bfb-6fb806347809.jpg,เพื่อธรรม,zone,ตรัง,1
ประดิษฐ์ จันทร์สง,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/aed3e240-9e5f-44b7-ae33-57f765c45065.jpg,เพื่อธรรม,zone,ตรัง,2
อวิรุทธิ์ กิ้มเท่ง,ส.ส. เขต (ตรัง เขต 3),http://202.6.26.16/images/candidate/thumb/92/3/685ff319-e525-4637-8b3d-9c4597036cc3.jpg,เพื่อธรรม,zone,ตรัง,3
สมเสริม ชูรักษ์,ส.ส. เขต (พัทลุง เขต 1),http://202.6.26.16/images/candidate/thumb/93/1/82333145-c333-4fe2-b331-70dd43d19701.jpg,เพื่อธรรม,zone,พัทลุง,1
พิสิฐ จงเจตน์,ส.ส. เขต (พัทลุง เขต 2),http://202.6.26.16/images/candidate/thumb/93/2/3f9cd3da-a2fc-4139-9135-9ab6d91d6a37.jpg,เพื่อธรรม,zone,พัทลุง,2
ภคพล แสงอุบล,ส.ส. เขต (พัทลุง เขต 3),http://202.6.26.16/images/candidate/thumb/93/3/014d9e66-d8d9-4a94-a12b-333382b36204.jpg,เพื่อธรรม,zone,พัทลุง,3
บือราเฮง หะยีหะมะ,ส.ส. เขต (ยะลา เขต 1),http://202.6.26.16/images/candidate/thumb/95/1/a789fae5-4b1f-4ca1-abdf-8f43c1e3e086.jpg,เพื่อธรรม,zone,ยะลา,1
นิมะตอเฮ วิชา,ส.ส. เขต (ยะลา เขต 2),http://202.6.26.16/images/candidate/thumb/95/2/8b4b382c-cf6b-4d6a-adc1-f64d637af2b7.jpg,เพื่อธรรม,zone,ยะลา,2
มะรูดิน กระโด,ส.ส. เขต (ยะลา เขต 3),http://202.6.26.16/images/candidate/thumb/95/3/f81050b5-04f2-4499-9cac-e789a4bff9fc.jpg,เพื่อธรรม,zone,ยะลา,3
อิบรอเฮ็ม บินมามะ,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/8fccb6da-def1-4a1b-8a26-de81ad2041f2.jpg,เพื่อธรรม,zone,นราธิวาส,1
มะหามัด ฮามิ,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/56e0982b-9a9f-444d-8b92-f29288b934b0.jpg,เพื่อธรรม,zone,นราธิวาส,2
พิเศรษฐ์ สงนาวา,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/a8543aa1-4b9d-4b64-b794-5a821e9d6a4e.jpg,เพื่อธรรม,zone,นราธิวาส,3
สุวิชช์ ศรีสุวรรณ,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/7ad0787e-abe2-4b3b-a260-2e3a085f5534.jpg,เพื่อธรรม,zone,นราธิวาส,4
บัญญัติ มะเด็ง,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/b69e4d46-2dd9-412f-8a88-b4990e537812.jpg,เพื่อธรรม,zone,ปัตตานี,1
อนุวัตร ดอเลาะเซาะ,ส.ส. เขต (ปัตตานี เขต 2),http://202.6.26.16/images/candidate/thumb/94/2/70b2c20b-8f88-4edc-aaf7-d2e622ff53fb.jpg,เพื่อธรรม,zone,ปัตตานี,2
เจะดิง ดาเล็ง,ส.ส. เขต (ปัตตานี เขต 3),http://202.6.26.16/images/candidate/thumb/94/3/541b4f93-488f-45ad-9cc4-ddf503cdf11c.jpg,เพื่อธรรม,zone,ปัตตานี,3
ยูโซะ หามะ,ส.ส. เขต (ปัตตานี เขต 4),http://202.6.26.16/images/candidate/thumb/94/4/5b89be81-c40e-41c1-b567-a63030ab4b13.jpg,เพื่อธรรม,zone,ปัตตานี,4
ณัฐทิตา ทองช่วย,ส.ส. เขต (สุราษฎร์ธานี เขต 1),http://202.6.26.16/images/candidate/thumb/84/1/a6e26408-f4b2-45a9-b126-085b46722f62.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,1
สิทธิชัย สุวรรณดวง,ส.ส. เขต (สุราษฎร์ธานี เขต 2),http://202.6.26.16/images/candidate/thumb/84/2/63e062b8-d569-449a-8503-e219e8babe20.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,2
อวยชัย สมัยชูเกียรติ,ส.ส. เขต (สุราษฎร์ธานี เขต 3),http://202.6.26.16/images/candidate/thumb/84/3/fef7f909-db35-4830-b6ce-8edbe8697586.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,3
พรหมพชร นาเมือง,ส.ส. เขต (สุราษฎร์ธานี เขต 4),http://202.6.26.16/images/candidate/thumb/84/4/5be81da7-45fa-4713-90e7-e10d8446dc04.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,4
มนต์ชัย วรรณโชติ,ส.ส. เขต (สุราษฎร์ธานี เขต 5),http://202.6.26.16/images/candidate/thumb/84/5/a6acabdd-13e4-4b58-9b7a-48a5bf993007.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,5
ปัญญา เผือกภูมิ,ส.ส. เขต (สุราษฎร์ธานี เขต 6),http://202.6.26.16/images/candidate/thumb/84/6/80662f88-07d9-43f1-be3f-7be87b5b20f8.jpg,เพื่อธรรม,zone,สุราษฎร์ธานี,6
