name,desc,image,PartyName,memberType,province_name,zone_number
ธนกร ยิ้มจู,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/d9679dbb-4ac1-4ad7-8665-763d79f9dcf7.jpg,เพื่อนไทย,zone,สิงห์บุรี,1
รัฐนันท์ มาตยภูธร,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/79267fc6-b5fd-4dca-bd3d-8308a68bbb74.jpg,เพื่อนไทย,zone,อ่างทอง,1
เรวัตร ฟักขาว,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/de959d03-a5e1-4091-9508-5a5de7c03e8a.jpg,เพื่อนไทย,zone,ชัยนาท,1
บำรุง จีนอ่ำ,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/087ac593-d39c-4725-bc4a-5e2bcac14a77.jpg,เพื่อนไทย,zone,ชัยนาท,2
คำแดง สุทธิสาร,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/09cfb311-2ac1-478c-a798-5239d0621a32.jpg,เพื่อนไทย,zone,บึงกาฬ,1
ประหยัด ศรีรัตนขันธ์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/4ae2f67e-aada-4072-899c-065fdb54a555.jpg,เพื่อนไทย,zone,บึงกาฬ,2
ทรงเกียรติ์ รัตนภูมินทร์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/9429a5da-e74a-4578-b3c5-237f73c6fd61.jpg,เพื่อนไทย,zone,มุกดาหาร,1
สนิท พันนุมา,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/d552965c-973d-43ed-8209-ed1fe65783d9.jpg,เพื่อนไทย,zone,มุกดาหาร,2
สว่าง นาคพันธ์,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/6e2e4947-1467-4e1b-a93d-114778344879.jpg,เพื่อนไทย,zone,อำนาจเจริญ,1
เพชร นางาม,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/144a3078-d4a1-4045-bf27-3c054df0a530.jpg,เพื่อนไทย,zone,อำนาจเจริญ,2
ดิเรก จันทา,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/22dab3f0-06dd-487d-8880-e9dedfa43dd2.jpg,เพื่อนไทย,zone,อุทัยธานี,1
กิตติ จีนศาตร์,ส.ส. เขต (ปราจีนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/25/1/43bbe16a-2d1f-4494-8cd8-98d10e2e0a51.jpg,เพื่อนไทย,zone,ปราจีนบุรี,1
ธนกร แม่นปืน,ส.ส. เขต (ปราจีนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/25/2/77714af1-d5f0-43fd-91ff-61ca820f77ab.jpg,เพื่อนไทย,zone,ปราจีนบุรี,2
ปณทัฒ ธนานนท์พาณิช,ส.ส. เขต (ปราจีนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/25/3/423e2698-f2bd-4de3-878b-bf1937dcd574.jpg,เพื่อนไทย,zone,ปราจีนบุรี,3
คะแนน เนตรอิ่ม,ส.ส. เขต (พิจิตร เขต 1),http://202.6.26.16/images/candidate/thumb/66/1/6d04a1fa-d4a5-4103-a942-2687b483c241.jpg,เพื่อนไทย,zone,พิจิตร,1
นาริต เที่ยงธรรม,ส.ส. เขต (พิจิตร เขต 2),http://202.6.26.16/images/candidate/thumb/66/2/9da88ff3-2ecc-44d9-9240-ae9b9d3a62be.jpg,เพื่อนไทย,zone,พิจิตร,2
สุรชัย ตั้งสุวรรณเจริญ,ส.ส. เขต (พิจิตร เขต 3),http://202.6.26.16/images/candidate/thumb/66/3/4296acaa-6eed-46ae-b78d-9df0e86d4df8.jpg,เพื่อนไทย,zone,พิจิตร,3
อามิน คาร,ส.ส. เขต (เพชรบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/76/1/67659441-aa1d-457c-a89b-05db0ff7acc8.jpg,เพื่อนไทย,zone,เพชรบุรี,1
อาซิม คาร,ส.ส. เขต (เพชรบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/76/2/fab2a14a-17ad-4da2-869d-6fc5f2cfe695.jpg,เพื่อนไทย,zone,เพชรบุรี,2
เอกราช รุ่งไพรัญ,ส.ส. เขต (เพชรบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/76/3/aee95cff-e2ea-4edf-bae5-f969a2a12342.jpg,เพื่อนไทย,zone,เพชรบุรี,3
กฤช พจนา,ส.ส. เขต (ยโสธร เขต 1),http://202.6.26.16/images/candidate/thumb/35/1/64614669-41e2-4923-87e8-50e2ca14429b.jpg,เพื่อนไทย,zone,ยโสธร,1
สันติ เก่งหล้า,ส.ส. เขต (ยโสธร เขต 2),http://202.6.26.16/images/candidate/thumb/35/2/5ec1ed59-20e5-4b5e-8c16-67c2c554d59b.jpg,เพื่อนไทย,zone,ยโสธร,2
พิชญากร เสมอภาค,ส.ส. เขต (ยโสธร เขต 3),http://202.6.26.16/images/candidate/thumb/35/3/31d5058b-c272-4106-9e55-aed9bdafad9d.jpg,เพื่อนไทย,zone,ยโสธร,3
คำภีร์ ประเสริฐ,ส.ส. เขต (เลย เขต 1),http://202.6.26.16/images/candidate/thumb/42/1/77fb780e-a040-4bc5-8952-9de4e400a672.jpg,เพื่อนไทย,zone,เลย,1
เกษม สมชาย,ส.ส. เขต (เลย เขต 2),http://202.6.26.16/images/candidate/thumb/42/2/bb91e551-671e-4292-88f4-4b5d7ad6cfa1.jpg,เพื่อนไทย,zone,เลย,2
สุเมธ เหมือนศรีชัย,ส.ส. เขต (เลย เขต 3),http://202.6.26.16/images/candidate/thumb/42/3/146a735e-15ff-474d-937a-22b1aefc1fb8.jpg,เพื่อนไทย,zone,เลย,3
เทียนทอง สิงห์รัก,ส.ส. เขต (สระแก้ว เขต 1),http://202.6.26.16/images/candidate/thumb/27/1/d874752f-1878-4c3c-8c8e-1b6f0a7686e0.jpg,เพื่อนไทย,zone,สระแก้ว,1
ณฤดี ภัคพีรพงษ์,ส.ส. เขต (สระแก้ว เขต 2),http://202.6.26.16/images/candidate/thumb/27/2/f94748e0-c690-496d-9a52-7050d087b3d4.jpg,เพื่อนไทย,zone,สระแก้ว,2
วีรวิทย์ กรเศรษฐี,ส.ส. เขต (สระแก้ว เขต 3),http://202.6.26.16/images/candidate/thumb/27/3/51f0545d-8e6c-4bb0-9152-c21e7f478b61.jpg,เพื่อนไทย,zone,สระแก้ว,3
บรรพต แจ้งสว่าง,ส.ส. เขต (สระบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/19/2/2f2bb8ee-0434-4988-a718-6ce0c05b481f.jpg,เพื่อนไทย,zone,สระบุรี,2
สมเกียรติ บุทเสน,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/c5fd3a1f-2bb3-4e09-9530-5432ff06882c.jpg,เพื่อนไทย,zone,หนองคาย,1
ชุติกาญจน์ ผ่องแผ้ว,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/abd6149e-c31a-4503-9607-c9448bfd0127.jpg,เพื่อนไทย,zone,หนองคาย,2
ไกรศร ปุริวัฒน์,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/081f5a3b-ecec-4348-b22e-9f150a1266ab.jpg,เพื่อนไทย,zone,หนองคาย,3
สุนิตย์ ไชยเบ้า,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/95de5137-71e9-42f6-a433-96fe64d87c76.jpg,เพื่อนไทย,zone,หนองบัวลำภู,2
สำรวย มนทอง,ส.ส. เขต (กำแพงเพชร เขต 1),http://202.6.26.16/images/candidate/thumb/62/1/a7592a8c-435d-4545-a2fc-20517ade6047.jpg,เพื่อนไทย,zone,กำแพงเพชร,1
บุญยัง โพธิ์พฤกษ์,ส.ส. เขต (กำแพงเพชร เขต 2),http://202.6.26.16/images/candidate/thumb/62/2/f060a5bd-582b-4e4d-a50a-12012fe27819.jpg,เพื่อนไทย,zone,กำแพงเพชร,2
