name,desc,image,PartyName,memberType,province_name,zone_number
ประสงค์ สภาพฤกษ์,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/55c2e24a-3b60-4358-baf4-4b39cc3e1b49.jpg,เพื่อแผ่นดิน,zone,นครนายก,1
กุลชญา นนทรีย์,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/f37328c0-4abe-438d-8e5e-a7e857a104fa.jpg,เพื่อแผ่นดิน,zone,พังงา,1
เทียนชัย เครือแก้ว,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/2f476a1c-cbcf-4c1d-8d64-fccab041a4b0.jpg,เพื่อแผ่นดิน,zone,แม่ฮ่องสอน,1
เชาวลิต สังคะสิน,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/2c395712-5780-45df-b77f-e8608c719770.jpg,เพื่อแผ่นดิน,zone,กระบี่,1
นิพร จันทร์สีนาค,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/c83736ad-9ccb-4a18-ab62-afbee39f0449.jpg,เพื่อแผ่นดิน,zone,กระบี่,2
ประหยัด นาหอคำ,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/ccd54a9f-d7eb-4d62-90ee-8f75308587ec.jpg,เพื่อแผ่นดิน,zone,บึงกาฬ,1
โกสินธุ์ หันตุลา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/7675c394-ab94-429e-87f1-b9f7ffb19107.jpg,เพื่อแผ่นดิน,zone,บึงกาฬ,2
จารุวรรณ วิไลจิตต์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/b633ea80-8d21-4159-a3ce-63802aaa74b5.jpg,เพื่อแผ่นดิน,zone,แพร่,1
รังสรรค์ เหมะสุทธินันท์,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/0ef04626-13e9-4935-a9b3-6ce244eaa3f4.jpg,เพื่อแผ่นดิน,zone,แพร่,2
ชยิศา พิกุลศรี,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/dc112177-4a60-4ccc-8c66-dfbeb453cf24.jpg,เพื่อแผ่นดิน,zone,มุกดาหาร,1
